#
# Transition date estimate for bullshoals
#
# Site: bullshoals
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2014
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:05:59
# Spline RMSE gcc_mean: 0.0183
# Spline RMSE gcc_50: 0.01858
# Spline RMSE gcc_75: 0.01743
# Spline RMSE gcc_90: 0.02048
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
bullshoals,DB,0001,rising,gcc_90,2014-04-17,2014-04-20,2014-04-26,2014-04-11,2014-04-17,2014-04-20,2014-04-20,2014-04-23,2014-04-29,0.3367,0.34683,0.37767,0.3249,0.38413
bullshoals,DB,0001,rising,gcc_90,2015-04-08,2015-04-11,2015-04-20,2015-04-02,2015-04-08,2015-04-14,2015-04-11,2015-04-14,2015-04-23,0.34597,0.35441,0.39109,0.33154,0.41433
bullshoals,DB,0001,rising,gcc_75,2014-04-17,2014-04-20,2014-04-26,2014-04-11,2014-04-17,2014-04-20,2014-04-20,2014-04-23,2014-04-29,0.33548,0.34543,0.37673,0.32447,0.38299
bullshoals,DB,0001,rising,gcc_75,2015-04-08,2015-04-11,2015-04-20,2015-04-05,2015-04-08,2015-04-14,2015-04-11,2015-04-14,2015-04-23,0.34373,0.35289,0.39022,0.33076,0.41164
bullshoals,DB,0001,rising,gcc_50,2014-04-17,2014-04-20,2014-04-26,2014-04-11,2014-04-17,2014-04-20,2014-04-20,2014-04-23,2014-04-29,0.33481,0.34433,0.37411,0.32363,0.37742
bullshoals,DB,0001,rising,gcc_50,2015-04-08,2015-04-11,2015-04-20,2015-04-02,2015-04-08,2015-04-14,2015-04-11,2015-04-14,2015-04-23,0.34283,0.35181,0.38831,0.32984,0.40803
bullshoals,DB,0001,rising,gcc_mean,2014-04-17,2014-04-20,2014-04-26,2014-04-11,2014-04-17,2014-04-20,2014-04-20,2014-04-23,2014-04-29,0.33451,0.34404,0.37407,0.32338,0.37634
bullshoals,DB,0001,rising,gcc_mean,2015-04-08,2015-04-11,2015-04-20,2015-04-02,2015-04-08,2015-04-14,2015-04-11,2015-04-14,2015-04-23,0.34248,0.35106,0.38708,0.32984,0.40672
bullshoals,DB,0001,falling,gcc_90,2015-10-23,2015-10-11,2015-09-26,2015-10-26,2015-10-17,2015-10-05,2015-10-20,2015-10-08,2015-09-23,0.34434,0.36089,0.37823,0.33586,0.41433
bullshoals,DB,0001,falling,gcc_90,2014-11-01,2014-10-29,2014-10-17,2014-11-07,2014-11-01,2014-10-26,2014-10-29,2014-10-26,2014-10-14,0.34143,0.34684,0.3667,0.33154,0.38413
bullshoals,DB,0001,falling,gcc_75,2015-10-23,2015-10-11,2015-09-26,2015-10-29,2015-10-17,2015-10-05,2015-10-20,2015-10-08,2015-09-23,0.34377,0.35976,0.37681,0.33532,0.41164
bullshoals,DB,0001,falling,gcc_75,2014-11-01,2014-10-29,2014-10-17,2014-11-07,2014-11-01,2014-10-26,2014-10-29,2014-10-26,2014-10-14,0.34117,0.34657,0.36589,0.33076,0.38299
bullshoals,DB,0001,falling,gcc_50,2015-10-23,2015-10-14,2015-09-26,2015-10-29,2015-10-17,2015-10-05,2015-10-20,2015-10-11,2015-09-23,0.34283,0.35324,0.37491,0.33445,0.40803
bullshoals,DB,0001,falling,gcc_50,2014-11-01,2014-10-29,2014-10-20,2014-11-07,2014-11-01,2014-10-26,2014-10-29,2014-10-26,2014-10-17,0.34034,0.34565,0.35879,0.32984,0.37742
bullshoals,DB,0001,falling,gcc_mean,2015-10-23,2015-10-14,2015-09-26,2015-10-29,2015-10-17,2015-10-05,2015-10-20,2015-10-11,2015-09-23,0.3427,0.35271,0.37411,0.33419,0.40672
bullshoals,DB,0001,falling,gcc_mean,2014-11-01,2014-10-29,2014-10-17,2014-11-07,2014-11-01,2014-10-26,2014-10-29,2014-10-26,2014-10-14,0.33972,0.34461,0.36157,0.32984,0.37634
