#
# Transition date estimate for bullshoals
#
# Site: bullshoals
# Veg Type: GR
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2014
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:28
# Spline RMSE gcc_mean: 0.02941
# Spline RMSE gcc_50: 0.03042
# Spline RMSE gcc_75: 0.02957
# Spline RMSE gcc_90: 0.03251
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
bullshoals,GR,0001,rising,gcc_90,2014-04-08,2014-04-17,2014-04-26,2014-03-30,2014-04-11,2014-04-20,2014-04-11,2014-04-20,2014-04-29,0.32612,0.33608,0.3545,0.3194,0.37251
bullshoals,GR,0001,rising,gcc_90,2015-04-02,2015-04-11,2015-04-26,2015-03-30,2015-04-08,2015-04-20,2015-04-05,2015-04-14,2015-04-29,0.33445,0.35027,0.38364,0.32487,0.41932
bullshoals,GR,0001,rising,gcc_75,2014-04-08,2014-04-17,2014-04-26,2014-03-30,2014-04-11,2014-04-20,2014-04-11,2014-04-20,2014-04-29,0.32474,0.33393,0.35144,0.31904,0.36744
bullshoals,GR,0001,rising,gcc_75,2015-04-05,2015-04-11,2015-04-26,2015-03-30,2015-04-08,2015-04-20,2015-04-08,2015-04-14,2015-04-29,0.33612,0.34703,0.3792,0.32424,0.41131
bullshoals,GR,0001,rising,gcc_50,2014-04-08,2014-04-17,2014-04-29,2014-03-30,2014-04-11,2014-04-20,2014-04-14,2014-04-20,2014-05-02,0.32328,0.33115,0.35413,0.31797,0.36452
bullshoals,GR,0001,rising,gcc_50,2015-04-05,2015-04-11,2015-04-26,2015-03-30,2015-04-08,2015-04-20,2015-04-08,2015-04-14,2015-04-29,0.33345,0.34353,0.37456,0.32294,0.40444
bullshoals,GR,0001,rising,gcc_mean,2014-04-08,2014-04-17,2014-04-26,2014-03-30,2014-04-11,2014-04-20,2014-04-11,2014-04-20,2014-04-29,0.32333,0.33179,0.34787,0.31741,0.36433
bullshoals,GR,0001,rising,gcc_mean,2015-04-05,2015-04-11,2015-04-26,2015-03-30,2015-04-08,2015-04-20,2015-04-08,2015-04-14,2015-04-29,0.33318,0.34385,0.37488,0.32142,0.40606
bullshoals,GR,0001,falling,gcc_90,2015-10-17,2015-09-29,2015-09-05,2015-10-23,2015-10-05,2015-09-14,2015-10-14,2015-09-26,2015-09-02,0.33253,0.34926,0.37454,0.32183,0.41932
bullshoals,GR,0001,falling,gcc_90,2014-11-01,2014-10-20,2014-10-02,2014-11-07,2014-10-26,2014-10-11,2014-10-26,2014-10-17,2014-09-29,0.32974,0.33807,0.35276,0.32487,0.37251
bullshoals,GR,0001,falling,gcc_75,2015-10-17,2015-10-02,2015-09-05,2015-10-26,2015-10-08,2015-09-14,2015-10-14,2015-09-29,2015-09-02,0.33154,0.34451,0.36964,0.3209,0.41131
bullshoals,GR,0001,falling,gcc_75,2014-11-01,2014-10-20,2014-10-02,2014-11-07,2014-10-29,2014-10-14,2014-10-26,2014-10-17,2014-09-29,0.32866,0.33688,0.34979,0.32424,0.36744
bullshoals,GR,0001,falling,gcc_50,2015-10-20,2015-10-02,2015-09-05,2015-10-26,2015-10-08,2015-09-14,2015-10-17,2015-09-29,2015-09-02,0.32827,0.34296,0.36562,0.31888,0.40444
bullshoals,GR,0001,falling,gcc_50,2014-11-01,2014-10-20,2014-10-02,2014-11-07,2014-10-29,2014-10-14,2014-10-26,2014-10-17,2014-09-29,0.32717,0.33521,0.34677,0.32294,0.36452
bullshoals,GR,0001,falling,gcc_mean,2015-10-20,2015-10-05,2015-09-08,2015-10-26,2015-10-08,2015-09-17,2015-10-17,2015-10-02,2015-09-05,0.32782,0.34008,0.36456,0.31766,0.40606
bullshoals,GR,0001,falling,gcc_mean,2014-11-01,2014-10-23,2014-10-05,2014-11-07,2014-10-29,2014-10-14,2014-10-29,2014-10-20,2014-10-02,0.32641,0.33274,0.34579,0.32142,0.36433
