#
# Transition date estimate for burnssagebrush
#
# Site: burnssagebrush
# Veg Type: SH
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2013
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:29
# Spline RMSE gcc_mean: 0.022
# Spline RMSE gcc_50: 0.02195
# Spline RMSE gcc_75: 0.02085
# Spline RMSE gcc_90: 0.02001
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
burnssagebrush,SH,0001,rising,gcc_90,2013-03-06,2013-03-21,2013-04-11,2013-02-19,2013-03-12,2013-03-30,2013-03-15,2013-03-24,2013-04-14,0.34161,0.34444,0.34943,0.33979,0.35607
burnssagebrush,SH,0001,rising,gcc_90,2014-03-09,2014-03-18,2014-04-05,2014-02-25,2014-03-09,2014-03-27,2014-03-12,2014-03-24,2014-04-08,0.34025,0.34209,0.34599,0.3384,0.3519
burnssagebrush,SH,0001,rising,gcc_90,2015-02-19,2015-03-12,2015-04-23,2015-02-07,2015-02-28,2015-04-02,2015-02-28,2015-03-21,2015-04-29,0.3433,0.34533,0.34926,0.34179,0.35555
burnssagebrush,SH,0001,rising,gcc_75,2013-02-25,2013-03-15,2013-04-08,2013-02-13,2013-03-06,2013-03-30,2013-03-06,2013-03-18,2013-04-11,0.34046,0.34277,0.34737,0.33878,0.35427
burnssagebrush,SH,0001,rising,gcc_75,2014-03-06,2014-03-18,2014-04-05,2014-02-25,2014-03-09,2014-03-27,2014-03-12,2014-03-24,2014-04-08,0.33873,0.34074,0.34446,0.33748,0.34916
burnssagebrush,SH,0001,rising,gcc_75,2015-02-13,2015-03-06,2015-04-11,2015-02-01,2015-02-22,2015-03-27,2015-02-25,2015-03-15,2015-04-14,0.34136,0.34322,0.3468,0.34002,0.35248
burnssagebrush,SH,0001,rising,gcc_50,2013-02-22,2013-03-15,2013-04-08,2013-02-04,2013-03-06,2013-03-27,2013-03-03,2013-03-18,2013-04-11,0.33869,0.34124,0.34588,0.33705,0.35263
burnssagebrush,SH,0001,rising,gcc_50,2014-03-09,2014-03-18,2014-04-05,2014-02-25,2014-03-09,2014-03-27,2014-03-12,2014-03-24,2014-04-08,0.33777,0.33929,0.34293,0.33621,0.34738
burnssagebrush,SH,0001,rising,gcc_50,2015-02-16,2015-03-09,2015-04-14,2015-02-01,2015-02-25,2015-03-30,2015-02-25,2015-03-18,2015-04-17,0.33982,0.34168,0.34539,0.33842,0.35076
burnssagebrush,SH,0001,rising,gcc_mean,2013-02-25,2013-03-15,2013-04-08,2013-02-07,2013-03-06,2013-03-27,2013-03-06,2013-03-18,2013-04-11,0.33863,0.34093,0.34569,0.33675,0.35273
