#
# Transition date estimate for butte
#
# Site: butte
# Veg Type: GR
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2009
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:05:59
# Spline RMSE gcc_mean: 0.0394
# Spline RMSE gcc_50: 0.04238
# Spline RMSE gcc_75: 0.04277
# Spline RMSE gcc_90: 0.04416
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
butte,GR,0001,rising,gcc_90,2009-05-17,2009-05-26,2009-06-10,2009-05-14,2009-05-23,2009-06-04,2009-05-20,2009-05-29,2009-06-13,0.35975,0.36914,0.39176,0.35347,0.41476
butte,GR,0001,rising,gcc_90,2010-05-20,2010-05-29,2010-06-13,2010-05-17,2010-05-26,2010-06-07,2010-05-23,2010-06-13,2010-06-16,0.3609,0.36949,0.39259,0.35445,0.41352
butte,GR,0001,rising,gcc_90,2011-05-17,2011-05-29,2011-06-10,2011-05-14,2011-05-14,2011-05-14,2011-06-16,2011-06-16,2011-06-16,0.36012,0.36911,0.38948,0.35242,0.41511
butte,GR,0001,rising,gcc_90,2012-05-22,2012-06-06,2012-06-24,2012-05-13,2012-05-31,2012-06-15,2012-05-25,2012-06-09,2012-06-27,0.36277,0.37176,0.38904,0.35664,0.41034
butte,GR,0001,rising,gcc_90,2013-05-17,2013-05-26,2013-06-10,2013-05-11,2013-05-23,2013-06-04,2013-05-20,2013-05-29,2013-06-13,0.36358,0.37208,0.3922,0.35628,0.41526
butte,GR,0001,rising,gcc_90,2014-05-17,2014-05-26,2014-06-10,2014-05-11,2014-05-23,2014-06-04,2014-05-20,2014-05-29,2014-06-13,0.36511,0.37396,0.39277,0.35651,0.41801
butte,GR,0001,rising,gcc_90,2015-05-14,2015-05-20,2015-05-29,2015-05-08,2015-05-14,2015-05-23,2015-05-17,2015-05-23,2015-06-01,0.36765,0.37688,0.39472,0.35746,0.41961
butte,GR,0001,rising,gcc_75,2009-05-17,2009-05-26,2009-06-10,2009-05-14,2009-05-23,2009-06-04,2009-05-20,2009-05-29,2009-06-13,0.35845,0.36731,0.38882,0.35255,0.41084
butte,GR,0001,rising,gcc_75,2010-05-20,2010-05-29,2010-06-10,2010-05-17,2010-05-26,2010-05-26,2010-05-23,2010-06-13,2010-06-13,0.35945,0.36786,0.38709,0.35337,0.41019
butte,GR,0001,rising,gcc_75,2011-05-17,2011-05-29,2011-06-10,2011-05-14,2011-05-14,2011-05-14,2011-06-16,2011-06-16,2011-06-16,0.359,0.36764,0.38741,0.35172,0.41135
butte,GR,0001,rising,gcc_75,2012-05-22,2012-06-06,2012-06-24,2012-05-16,2012-05-31,2012-06-15,2012-05-25,2012-06-09,2012-06-27,0.36147,0.37019,0.3868,0.35578,0.40697
butte,GR,0001,rising,gcc_75,2013-05-17,2013-05-26,2013-06-10,2013-05-11,2013-05-23,2013-06-04,2013-05-20,2013-05-29,2013-06-13,0.36223,0.37018,0.38972,0.3553,0.41119
butte,GR,0001,rising,gcc_75,2014-05-17,2014-05-26,2014-06-10,2014-05-11,2014-05-23,2014-06-04,2014-05-20,2014-05-29,2014-06-13,0.3633,0.37163,0.38987,0.35556,0.41359
butte,GR,0001,rising,gcc_75,2015-05-14,2015-05-20,2015-05-29,2015-05-08,2015-05-14,2015-05-23,2015-05-17,2015-05-23,2015-06-01,0.36601,0.37468,0.39145,0.35668,0.4155
butte,GR,0001,rising,gcc_50,2009-05-20,2009-05-29,2009-06-10,2009-05-14,2009-05-23,2009-06-04,2009-05-23,2009-06-01,2009-06-13,0.35905,0.36879,0.38576,0.35132,0.40544
butte,GR,0001,rising,gcc_50,2010-05-23,2010-06-01,2010-06-13,2010-05-17,2010-05-26,2010-06-07,2010-05-26,2010-06-13,2010-06-16,0.35885,0.3676,0.38761,0.3519,0.40596
