#
# Transition date estimate for canadaOA
#
# Site: canadaOA
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2011
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:29
# Spline RMSE gcc_mean: 0.03252
# Spline RMSE gcc_50: 0.03284
# Spline RMSE gcc_75: 0.03304
# Spline RMSE gcc_90: 0.03584
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
canadaOA,DB,0001,rising,gcc_90,2012-05-07,2012-05-10,2012-05-19,2012-05-04,2012-05-07,2012-05-13,2012-05-10,2012-05-13,2012-05-22,0.32362,0.33587,0.37147,0.31606,0.38797
canadaOA,DB,0001,rising,gcc_90,2013-05-11,2013-05-14,2013-05-20,2013-05-08,2013-05-11,2013-05-14,2013-05-14,2013-05-17,2013-05-23,0.32679,0.34108,0.37648,0.31534,0.3863
canadaOA,DB,0001,rising,gcc_90,2014-05-17,2014-05-20,2014-05-26,2014-05-14,2014-05-17,2014-05-20,2014-05-20,2014-05-23,2014-05-29,0.32383,0.33858,0.3696,0.31574,0.39258
canadaOA,DB,0001,rising,gcc_90,2015-05-14,2015-05-17,2015-05-23,2015-05-11,2015-05-11,2015-05-17,2015-05-17,2015-05-20,2015-05-26,0.33147,0.34678,0.3803,0.31455,0.3859
canadaOA,DB,0001,rising,gcc_75,2012-05-07,2012-05-10,2012-05-19,2012-05-04,2012-05-07,2012-05-13,2012-05-10,2012-05-13,2012-05-22,0.32221,0.33396,0.36901,0.31511,0.38384
canadaOA,DB,0001,rising,gcc_75,2013-05-11,2013-05-14,2013-05-20,2013-05-08,2013-05-11,2013-05-14,2013-05-14,2013-05-17,2013-05-23,0.32493,0.33881,0.37226,0.31408,0.38157
canadaOA,DB,0001,rising,gcc_75,2014-05-20,2014-05-23,2014-05-29,2014-05-17,2014-05-20,2014-05-23,2014-05-23,2014-05-26,2014-06-01,0.32804,0.34253,0.37543,0.31446,0.3875
canadaOA,DB,0001,rising,gcc_75,2015-05-14,2015-05-17,2015-05-23,2015-05-11,2015-05-11,2015-05-17,2015-05-17,2015-05-20,2015-05-26,0.32922,0.34368,0.37479,0.31353,0.38046
canadaOA,DB,0001,rising,gcc_50,2012-05-10,2012-05-13,2012-05-19,2012-05-04,2012-05-07,2012-05-13,2012-05-13,2012-05-16,2012-05-22,0.32904,0.33922,0.36262,0.314,0.37843
canadaOA,DB,0001,rising,gcc_50,2013-05-11,2013-05-14,2013-05-20,2013-05-08,2013-05-11,2013-05-14,2013-05-14,2013-05-17,2013-05-23,0.32111,0.33386,0.36484,0.31248,0.37415
canadaOA,DB,0001,rising,gcc_50,2014-05-20,2014-05-23,2014-05-29,2014-05-17,2014-05-20,2014-05-23,2014-05-23,2014-05-26,2014-06-01,0.32361,0.33735,0.36875,0.31258,0.3804
canadaOA,DB,0001,rising,gcc_50,2015-05-14,2015-05-17,2015-05-23,2015-05-11,2015-05-11,2015-05-17,2015-05-17,2015-05-20,2015-05-26,0.3248,0.33771,0.36677,0.3116,0.37356
canadaOA,DB,0001,rising,gcc_mean,2012-05-10,2012-05-13,2012-05-19,2012-05-04,2012-05-07,2012-05-13,2012-05-13,2012-05-16,2012-05-22,0.32915,0.3394,0.36217,0.31352,0.37606
canadaOA,DB,0001,rising,gcc_mean,2013-05-11,2013-05-14,2013-05-20,2013-05-08,2013-05-11,2013-05-14,2013-05-14,2013-05-17,2013-05-23,0.32075,0.33337,0.36349,0.31212,0.37172
canadaOA,DB,0001,rising,gcc_mean,2014-05-20,2014-05-23,2014-05-29,2014-05-17,2014-05-20,2014-05-23,2014-05-23,2014-05-26,2014-06-01,0.32253,0.33586,0.36613,0.31212,0.37856
canadaOA,DB,0001,rising,gcc_mean,2015-05-14,2015-05-17,2015-05-23,2015-05-11,2015-05-11,2015-05-17,2015-05-17,2015-05-20,2015-05-26,0.32369,0.33608,0.36336,0.31144,0.36935
canadaOA,DB,0001,falling,gcc_90,2015-10-02,2015-09-29,2015-09-20,2015-10-05,2015-10-02,2015-09-29,2015-09-29,2015-09-26,2015-09-17,0.32717,0.33762,0.35988,0.31326,0.3859
canadaOA,DB,0001,falling,gcc_90,2014-09-26,2014-09-23,2014-09-14,2014-09-29,2014-09-26,2014-09-20,2014-09-23,2014-09-20,2014-09-11,0.32731,0.33794,0.3635,0.31455,0.39258
canadaOA,DB,0001,falling,gcc_90,2013-10-05,2013-10-02,2013-09-23,2013-10-11,2013-10-08,2013-10-02,2013-10-02,2013-09-29,2013-09-20,0.33232,0.34156,0.36073,0.31574,0.3863
canadaOA,DB,0001,falling,gcc_90,2012-09-28,2012-09-25,2012-09-16,2012-10-01,2012-09-28,2012-09-22,2012-09-25,2012-09-22,2012-09-13,0.32716,0.33778,0.35864,0.31534,0.38797
canadaOA,DB,0001,falling,gcc_90,2011-10-08,2011-10-08,2011-09-29,2011-11-16,2011-11-16,2011-11-16,2011-09-26,2011-09-26,2011-09-26,0.33439,0.33439,0.36186,0.31562,0.37571
canadaOA,DB,0001,falling,gcc_75,2015-10-02,2015-09-29,2015-09-20,2015-10-05,2015-10-02,2015-09-29,2015-09-29,2015-09-26,2015-09-17,0.32496,0.33571,0.35833,0.31135,0.38046
canadaOA,DB,0001,falling,gcc_75,2014-09-26,2014-09-23,2014-09-14,2014-09-29,2014-09-26,2014-09-20,2014-09-23,2014-09-20,2014-09-11,0.32532,0.33554,0.36061,0.31353,0.3875
canadaOA,DB,0001,falling,gcc_75,2013-10-05,2013-10-02,2013-09-23,2013-10-11,2013-10-08,2013-10-02,2013-10-02,2013-09-29,2013-09-20,0.32998,0.33908,0.35789,0.31446,0.38157
canadaOA,DB,0001,falling,gcc_75,2012-09-28,2012-09-25,2012-09-16,2012-10-01,2012-09-28,2012-09-22,2012-09-25,2012-09-22,2012-09-13,0.3246,0.33505,0.3565,0.31408,0.38384
canadaOA,DB,0001,falling,gcc_75,2011-10-08,2011-10-08,2011-09-29,2011-11-16,2011-11-16,2011-11-16,2011-09-26,2011-09-26,2011-09-26,0.33081,0.33081,0.35701,0.31475,0.37287
canadaOA,DB,0001,falling,gcc_50,2015-10-02,2015-09-29,2015-09-23,2015-10-05,2015-10-02,2015-09-29,2015-09-29,2015-09-26,2015-09-20,0.32201,0.33277,0.35194,0.30892,0.37356
canadaOA,DB,0001,falling,gcc_50,2014-09-26,2014-09-23,2014-09-14,2014-09-29,2014-09-26,2014-09-20,2014-09-23,2014-09-20,2014-09-11,0.32103,0.331,0.35674,0.3116,0.3804
canadaOA,DB,0001,falling,gcc_50,2013-10-05,2013-10-02,2013-09-26,2013-10-11,2013-10-08,2013-10-02,2013-10-02,2013-09-29,2013-09-23,0.32686,0.33594,0.35134,0.31258,0.37415
canadaOA,DB,0001,falling,gcc_50,2012-09-28,2012-09-25,2012-09-16,2012-10-01,2012-09-28,2012-09-22,2012-09-25,2012-09-22,2012-09-13,0.32063,0.33101,0.35364,0.31248,0.37843
canadaOA,DB,0001,falling,gcc_50,2011-10-08,2011-10-05,2011-09-26,2011-11-16,2011-11-16,2011-10-02,2011-09-26,2011-09-26,2011-09-23,0.32671,0.33411,0.36162,0.31364,0.37047
canadaOA,DB,0001,falling,gcc_mean,2015-10-02,2015-09-29,2015-09-23,2015-10-08,2015-10-05,2015-09-29,2015-09-29,2015-09-26,2015-09-20,0.32152,0.33212,0.35075,0.30812,0.36935
canadaOA,DB,0001,falling,gcc_mean,2014-09-26,2014-09-23,2014-09-14,2014-09-29,2014-09-26,2014-09-20,2014-09-23,2014-09-20,2014-09-11,0.3216,0.33125,0.35615,0.31144,0.37856
canadaOA,DB,0001,falling,gcc_mean,2013-10-05,2013-10-02,2013-09-26,2013-10-11,2013-10-08,2013-10-02,2013-10-02,2013-09-29,2013-09-23,0.32667,0.33567,0.35074,0.31212,0.37172
canadaOA,DB,0001,falling,gcc_mean,2012-09-28,2012-09-25,2012-09-16,2012-10-01,2012-09-28,2012-09-22,2012-09-25,2012-09-22,2012-09-13,0.32032,0.33034,0.35219,0.31212,0.37606
canadaOA,DB,0001,falling,gcc_mean,2011-10-08,2011-10-05,2011-09-29,2011-11-16,2011-11-16,2011-11-16,2011-09-26,2011-09-26,2011-09-26,0.32698,0.3347,0.35223,0.31316,0.36999
