#
# Transition date estimate for canadaOBS
#
# Site: canadaOBS
# Veg Type: MX
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2011
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:29
# Spline RMSE gcc_mean: 0.03724
# Spline RMSE gcc_50: 0.03539
# Spline RMSE gcc_75: 0.03692
# Spline RMSE gcc_90: 0.03713
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
canadaOBS,MX,0001,rising,gcc_90,2012-04-10,2012-05-01,2012-05-22,2012-04-01,2012-04-22,2012-05-13,2012-04-19,2012-05-04,2012-05-25,0.34097,0.34868,0.36458,0.33618,0.38336
canadaOBS,MX,0001,rising,gcc_90,2013-04-23,2013-05-05,2013-05-20,2013-04-11,2013-04-29,2013-05-14,2013-04-26,2013-05-08,2013-05-23,0.33494,0.34369,0.35954,0.32842,0.38366
canadaOBS,MX,0001,rising,gcc_90,2014-04-26,2014-05-14,2014-05-29,2014-04-08,2014-05-08,2014-05-20,2014-05-02,2014-05-17,2014-06-01,0.33517,0.3467,0.36546,0.329,0.38986
canadaOBS,MX,0001,rising,gcc_90,2015-04-02,2015-04-26,2015-05-20,2015-03-18,2015-04-17,2015-05-11,2015-04-08,2015-04-29,2015-05-23,0.33423,0.34284,0.35953,0.32868,0.38181
canadaOBS,MX,0001,rising,gcc_75,2012-04-13,2012-05-01,2012-05-22,2012-04-01,2012-04-22,2012-05-13,2012-04-19,2012-05-04,2012-05-25,0.34049,0.34706,0.36232,0.33526,0.37965
canadaOBS,MX,0001,rising,gcc_75,2013-04-23,2013-05-05,2013-05-20,2013-04-11,2013-04-29,2013-05-14,2013-04-26,2013-05-08,2013-05-23,0.33308,0.34168,0.35701,0.32681,0.38009
canadaOBS,MX,0001,rising,gcc_75,2014-04-29,2014-05-11,2014-05-29,2014-04-11,2014-05-08,2014-05-20,2014-05-02,2014-05-14,2014-06-01,0.33418,0.3422,0.36287,0.32766,0.38467
canadaOBS,MX,0001,rising,gcc_75,2015-04-02,2015-04-23,2015-05-20,2015-03-21,2015-04-14,2015-05-11,2015-04-08,2015-04-29,2015-05-23,0.3326,0.3402,0.35693,0.32718,0.37866
canadaOBS,MX,0001,rising,gcc_50,2012-04-10,2012-04-28,2012-05-19,2012-04-01,2012-04-22,2012-05-13,2012-04-16,2012-05-04,2012-05-22,0.33731,0.34355,0.35632,0.33287,0.375
canadaOBS,MX,0001,rising,gcc_50,2013-04-23,2013-05-05,2013-05-20,2013-04-11,2013-04-29,2013-05-14,2013-04-26,2013-05-08,2013-05-23,0.33072,0.33901,0.35396,0.32461,0.37517
canadaOBS,MX,0001,rising,gcc_50,2014-04-29,2014-05-11,2014-05-29,2014-04-17,2014-05-05,2014-05-20,2014-05-02,2014-05-14,2014-06-01,0.33126,0.33943,0.35943,0.32527,0.37962
canadaOBS,MX,0001,rising,gcc_50,2015-04-05,2015-04-26,2015-05-20,2015-03-24,2015-04-17,2015-05-11,2015-04-11,2015-04-29,2015-05-23,0.33122,0.33887,0.35402,0.32602,0.37395
canadaOBS,MX,0001,rising,gcc_mean,2012-04-10,2012-04-28,2012-05-19,2012-04-01,2012-04-19,2012-05-10,2012-04-16,2012-05-04,2012-05-22,0.33624,0.34253,0.35438,0.3322,0.37094
canadaOBS,MX,0001,rising,gcc_mean,2013-04-23,2013-05-05,2013-05-23,2013-04-11,2013-04-29,2013-05-20,2013-04-29,2013-05-08,2013-06-10,0.32972,0.33714,0.35377,0.3243,0.37153
canadaOBS,MX,0001,rising,gcc_mean,2014-04-29,2014-05-11,2014-05-29,2014-04-11,2014-05-05,2014-05-20,2014-05-02,2014-05-14,2014-06-01,0.33074,0.33826,0.35608,0.32449,0.37725
canadaOBS,MX,0001,rising,gcc_mean,2015-04-05,2015-04-26,2015-05-20,2015-03-27,2015-04-17,2015-05-11,2015-04-11,2015-05-02,2015-05-23,0.33025,0.33739,0.35167,0.32543,0.37138
canadaOBS,MX,0001,falling,gcc_90,2015-10-29,2015-10-08,2015-09-26,2015-11-07,2015-10-14,2015-10-02,2015-10-17,2015-10-05,2015-09-23,0.33455,0.34438,0.36054,0.32916,0.38181
canadaOBS,MX,0001,falling,gcc_90,2014-10-14,2014-10-05,2014-09-20,2014-10-20,2014-10-11,2014-09-29,2014-10-11,2014-10-02,2014-09-17,0.33634,0.34684,0.36767,0.32868,0.38986
canadaOBS,MX,0001,falling,gcc_90,2013-10-17,2013-10-08,2013-09-26,2013-10-23,2013-10-14,2013-10-05,2013-10-14,2013-10-05,2013-09-23,0.33488,0.34711,0.36184,0.329,0.38366
canadaOBS,MX,0001,falling,gcc_90,2012-10-13,2012-10-04,2012-09-22,2012-10-19,2012-10-10,2012-10-01,2012-10-10,2012-10-01,2012-09-19,0.33442,0.34478,0.36176,0.32842,0.38336
canadaOBS,MX,0001,falling,gcc_90,2011-10-23,2011-10-14,2011-09-26,2011-10-29,2011-10-17,2011-10-05,2011-10-20,2011-10-11,2011-09-23,0.33585,0.34341,0.35989,0.33064,0.3792
canadaOBS,MX,0001,falling,gcc_75,2015-10-29,2015-10-08,2015-09-26,2015-11-07,2015-10-14,2015-10-02,2015-10-17,2015-10-05,2015-09-23,0.333,0.34261,0.3583,0.32785,0.37866
canadaOBS,MX,0001,falling,gcc_75,2014-10-14,2014-10-05,2014-09-23,2014-10-20,2014-10-11,2014-09-29,2014-10-11,2014-10-02,2014-09-20,0.33453,0.34458,0.36074,0.32718,0.38467
canadaOBS,MX,0001,falling,gcc_75,2013-10-17,2013-10-08,2013-09-26,2013-10-23,2013-10-14,2013-10-05,2013-10-14,2013-10-05,2013-09-23,0.33332,0.34436,0.3582,0.32766,0.38009
canadaOBS,MX,0001,falling,gcc_75,2012-10-13,2012-10-04,2012-09-22,2012-10-19,2012-10-10,2012-09-28,2012-10-10,2012-10-01,2012-09-19,0.33301,0.34246,0.35775,0.32681,0.37965
canadaOBS,MX,0001,falling,gcc_75,2011-10-23,2011-10-14,2011-09-26,2011-10-29,2011-10-17,2011-10-05,2011-10-20,2011-10-11,2011-09-23,0.33452,0.34163,0.35665,0.32947,0.37621
canadaOBS,MX,0001,falling,gcc_50,2015-10-20,2015-10-08,2015-09-23,2015-11-07,2015-10-14,2015-10-02,2015-10-17,2015-10-05,2015-09-20,0.33135,0.33896,0.35828,0.32596,0.37395
canadaOBS,MX,0001,falling,gcc_50,2014-10-14,2014-10-05,2014-09-20,2014-10-20,2014-10-11,2014-09-29,2014-10-11,2014-10-02,2014-09-17,0.33199,0.34098,0.36023,0.32602,0.37962
canadaOBS,MX,0001,falling,gcc_50,2013-10-17,2013-10-08,2013-09-23,2013-10-26,2013-10-14,2013-10-02,2013-10-14,2013-10-05,2013-09-20,0.33119,0.34036,0.35563,0.32527,0.37517
canadaOBS,MX,0001,falling,gcc_50,2012-10-13,2012-10-04,2012-09-22,2012-10-19,2012-10-10,2012-09-28,2012-10-10,2012-10-01,2012-09-19,0.33075,0.33979,0.3541,0.32461,0.375
canadaOBS,MX,0001,falling,gcc_50,2011-10-23,2011-10-11,2011-09-26,2011-10-29,2011-10-17,2011-10-05,2011-10-17,2011-10-08,2011-09-23,0.33256,0.34102,0.35362,0.32812,0.37247
canadaOBS,MX,0001,falling,gcc_mean,2015-10-20,2015-10-08,2015-09-26,2015-11-04,2015-10-14,2015-10-02,2015-10-17,2015-10-05,2015-09-23,0.33069,0.33947,0.35302,0.32558,0.37138
canadaOBS,MX,0001,falling,gcc_mean,2014-10-14,2014-10-05,2014-09-23,2014-10-20,2014-10-11,2014-09-29,2014-10-11,2014-10-02,2014-09-20,0.33208,0.34114,0.35551,0.32543,0.37725
canadaOBS,MX,0001,falling,gcc_mean,2013-10-20,2013-10-11,2013-09-26,2013-10-26,2013-10-14,2013-10-05,2013-10-17,2013-10-08,2013-09-23,0.32982,0.33698,0.35224,0.32449,0.37153
canadaOBS,MX,0001,falling,gcc_mean,2012-10-13,2012-10-07,2012-09-22,2012-10-19,2012-10-10,2012-10-01,2012-10-10,2012-10-04,2012-09-19,0.33076,0.33598,0.35391,0.3243,0.37094
canadaOBS,MX,0001,falling,gcc_mean,2011-10-23,2011-10-14,2011-09-26,2011-11-01,2011-10-20,2011-10-05,2011-10-20,2011-10-11,2011-09-23,0.3321,0.33849,0.35273,0.32702,0.36971
