#
# Transition date estimate for caryinstitute
#
# Site: caryinstitute
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2008
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:30
# Spline RMSE gcc_mean: 0.0589
# Spline RMSE gcc_50: 0.05875
# Spline RMSE gcc_75: 0.04248
# Spline RMSE gcc_90: 0.03887
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
caryinstitute,DB,0001,rising,gcc_90,2009-04-26,2009-04-29,2009-05-05,2009-04-23,2009-04-26,2009-04-29,2009-04-29,2009-05-02,2009-05-08,0.33925,0.34715,0.36825,0.33311,0.37969
caryinstitute,DB,0001,rising,gcc_90,2010-04-05,2010-04-14,2010-04-26,2010-04-02,2010-04-08,2010-04-17,2010-04-08,2010-04-17,2010-04-29,0.33172,0.34415,0.3704,0.3257,0.38436
caryinstitute,DB,0001,rising,gcc_90,2011-04-26,2011-04-29,2011-05-05,2011-04-20,2011-04-26,2011-04-29,2011-04-29,2011-05-02,2011-05-08,0.33509,0.34294,0.36764,0.32505,0.38119
caryinstitute,DB,0001,rising,gcc_90,2012-04-16,2012-04-22,2012-05-01,2012-04-10,2012-04-19,2012-04-25,2012-04-19,2012-04-25,2012-05-04,0.33661,0.34425,0.36857,0.32976,0.38522
caryinstitute,DB,0001,rising,gcc_90,2013-04-26,2013-04-29,2013-05-08,2013-04-23,2013-04-26,2013-04-29,2013-04-29,2013-05-02,2013-05-11,0.33688,0.34584,0.38308,0.3298,0.38642
caryinstitute,DB,0001,rising,gcc_90,2014-05-05,2014-05-08,2014-05-14,2014-04-29,2014-05-05,2014-05-08,2014-05-08,2014-05-11,2014-05-17,0.33769,0.34637,0.37147,0.32796,0.37984
caryinstitute,DB,0001,rising,gcc_90,2015-04-29,2015-05-02,2015-05-08,2015-04-26,2015-04-29,2015-05-02,2015-05-02,2015-05-05,2015-05-11,0.33437,0.34452,0.36912,0.3287,0.3759
caryinstitute,DB,0001,rising,gcc_75,2009-04-26,2009-04-29,2009-05-05,2009-04-23,2009-04-26,2009-04-29,2009-04-29,2009-05-02,2009-05-08,0.3373,0.34492,0.36517,0.33108,0.3763
caryinstitute,DB,0001,rising,gcc_75,2010-04-05,2010-04-11,2010-04-26,2010-03-30,2010-04-08,2010-04-17,2010-04-08,2010-04-14,2010-04-29,0.33061,0.33799,0.36729,0.32362,0.38098
caryinstitute,DB,0001,rising,gcc_75,2011-04-26,2011-04-29,2011-05-05,2011-04-20,2011-04-26,2011-04-29,2011-04-29,2011-05-02,2011-05-08,0.33331,0.34062,0.36389,0.32331,0.37703
caryinstitute,DB,0001,rising,gcc_75,2012-04-16,2012-04-22,2012-05-01,2012-04-10,2012-04-16,2012-04-25,2012-04-19,2012-04-25,2012-05-04,0.33498,0.34258,0.36615,0.32761,0.38045
caryinstitute,DB,0001,rising,gcc_75,2013-04-26,2013-04-29,2013-05-08,2013-04-20,2013-04-26,2013-04-29,2013-04-29,2013-05-02,2013-05-11,0.3351,0.3438,0.37975,0.32779,0.38191
caryinstitute,DB,0001,rising,gcc_75,2014-05-05,2014-05-08,2014-05-14,2014-04-29,2014-05-05,2014-05-08,2014-05-08,2014-05-11,2014-05-17,0.33573,0.34375,0.36793,0.32649,0.37439
caryinstitute,DB,0001,rising,gcc_75,2015-04-29,2015-05-02,2015-05-08,2015-04-26,2015-04-29,2015-05-02,2015-05-02,2015-05-05,2015-05-11,0.33262,0.34259,0.36594,0.32691,0.3727
caryinstitute,DB,0001,rising,gcc_50,2009-04-26,2009-04-29,2009-05-05,2009-04-20,2009-04-23,2009-04-29,2009-04-29,2009-05-02,2009-05-08,0.33731,0.34513,0.35955,0.32987,0.3701
