#
# Transition date estimate for chibougamau
#
# Site: chibougamau
# Veg Type: EN
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2008
# Year max: 2011
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:30
# Spline RMSE gcc_mean: 0.03333
# Spline RMSE gcc_50: 0.03403
# Spline RMSE gcc_75: 0.03369
# Spline RMSE gcc_90: 0.03594
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
chibougamau,EN,0001,rising,gcc_90,2009-04-23,2009-05-05,2009-05-23,2009-04-17,2009-04-26,2009-05-14,2009-04-29,2009-05-08,2009-05-26,0.35681,0.36035,0.36628,0.35416,0.37611
chibougamau,EN,0001,rising,gcc_90,2010-03-06,2010-03-21,2010-04-17,2010-02-25,2010-03-15,2010-04-08,2010-03-09,2010-03-24,2010-04-20,0.34951,0.35469,0.3648,0.345,0.38235
chibougamau,EN,0001,rising,gcc_90,2011-03-09,2011-03-27,2011-04-23,2011-02-28,2011-03-18,2011-04-14,2011-03-15,2011-03-30,2011-04-26,0.3461,0.35113,0.36111,0.34223,0.37535
chibougamau,EN,0001,rising,gcc_75,2009-04-23,2009-05-05,2009-05-23,2009-04-17,2009-04-26,2009-05-14,2009-04-29,2009-05-08,2009-05-26,0.3546,0.35824,0.36438,0.35201,0.3745
chibougamau,EN,0001,rising,gcc_75,2010-03-06,2010-03-21,2010-04-17,2010-02-25,2010-03-15,2010-04-08,2010-03-09,2010-03-24,2010-04-20,0.34747,0.35282,0.36327,0.34276,0.38089
chibougamau,EN,0001,rising,gcc_75,2011-03-09,2011-03-27,2011-04-20,2011-02-28,2011-03-18,2011-04-11,2011-03-12,2011-03-30,2011-04-23,0.34413,0.34922,0.35796,0.34018,0.37331
chibougamau,EN,0001,rising,gcc_50,2009-04-20,2009-04-29,2009-05-26,2009-04-17,2009-04-26,2009-05-14,2009-05-05,2009-05-14,2009-06-01,0.35086,0.35382,0.36294,0.34936,0.37258
chibougamau,EN,0001,rising,gcc_50,2010-03-06,2010-03-21,2010-04-17,2010-02-25,2010-03-15,2010-04-08,2010-03-09,2010-03-24,2010-04-20,0.34509,0.35059,0.36134,0.34039,0.37943
chibougamau,EN,0001,rising,gcc_50,2011-03-09,2011-03-27,2011-04-23,2011-02-28,2011-03-18,2011-04-14,2011-03-12,2011-03-30,2011-04-26,0.34133,0.34648,0.35672,0.33728,0.37132
chibougamau,EN,0001,rising,gcc_mean,2009-04-23,2009-05-05,2009-05-29,2009-04-14,2009-04-26,2009-05-14,2009-05-02,2009-05-14,2009-06-01,0.35111,0.35472,0.36277,0.34905,0.37145
