#
# Transition date estimate for columbiamissouri
#
# Site: columbiamissouri
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2007
# Year max: 2008
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:06:01
# Spline RMSE gcc_mean: 0.02331
# Spline RMSE gcc_50: 0.02331
# Spline RMSE gcc_75: 0.02331
# Spline RMSE gcc_90: 0.02331
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
columbiamissouri,DB,0001,rising,gcc_90,2007-05-02,2007-05-02,2007-05-08,2007-04-26,2007-04-29,2007-05-02,2007-05-05,2007-05-05,2007-05-11,0.33849,0.33849,0.3576,0.32961,0.35684
columbiamissouri,DB,0001,rising,gcc_90,2008-05-01,2008-05-04,2008-05-13,2008-04-25,2008-05-01,2008-05-04,2008-05-04,2008-05-07,2008-05-16,0.32649,0.32995,0.34884,0.32309,0.34871
columbiamissouri,DB,0001,rising,gcc_75,2007-05-02,2007-05-02,2007-05-08,2007-04-26,2007-04-29,2007-05-02,2007-05-05,2007-05-05,2007-05-11,0.33849,0.33849,0.3576,0.32961,0.35684
columbiamissouri,DB,0001,rising,gcc_75,2008-05-01,2008-05-04,2008-05-13,2008-04-25,2008-05-01,2008-05-04,2008-05-04,2008-05-07,2008-05-16,0.32649,0.32995,0.34884,0.32309,0.34871
columbiamissouri,DB,0001,rising,gcc_50,2007-05-02,2007-05-02,2007-05-08,2007-04-26,2007-04-29,2007-05-02,2007-05-05,2007-05-05,2007-05-11,0.33849,0.33849,0.3576,0.32961,0.35684
columbiamissouri,DB,0001,rising,gcc_50,2008-05-01,2008-05-04,2008-05-13,2008-04-25,2008-05-01,2008-05-04,2008-05-04,2008-05-07,2008-05-16,0.32649,0.32995,0.34884,0.32309,0.34871
columbiamissouri,DB,0001,rising,gcc_mean,2007-05-02,2007-05-02,2007-05-08,2007-04-26,2007-04-29,2007-05-02,2007-05-05,2007-05-05,2007-05-11,0.33849,0.33849,0.3576,0.32961,0.35684
columbiamissouri,DB,0001,rising,gcc_mean,2008-05-01,2008-05-04,2008-05-13,2008-04-25,2008-05-01,2008-05-04,2008-05-04,2008-05-07,2008-05-16,0.32649,0.32995,0.34884,0.32309,0.34871
columbiamissouri,DB,0001,falling,gcc_90,2008-10-28,2008-10-25,2008-10-22,2008-11-18,2008-11-18,2008-11-18,2008-08-17,2008-08-17,2008-08-17,0.32377,0.33464,0.33926,0.31713,0.34874
columbiamissouri,DB,0001,falling,gcc_90,2007-10-26,2007-10-26,2007-10-20,2007-10-29,2007-10-29,2007-10-26,2007-10-23,2007-10-23,2007-10-17,0.33227,0.33227,0.34206,0.32309,0.35684
columbiamissouri,DB,0001,falling,gcc_75,2008-10-28,2008-10-25,2008-10-22,2008-11-18,2008-11-18,2008-11-18,2008-08-17,2008-08-17,2008-08-17,0.32377,0.33464,0.33926,0.31713,0.34874
columbiamissouri,DB,0001,falling,gcc_75,2007-10-26,2007-10-26,2007-10-20,2007-10-29,2007-10-29,2007-10-26,2007-10-23,2007-10-23,2007-10-17,0.33227,0.33227,0.34206,0.32309,0.35684
columbiamissouri,DB,0001,falling,gcc_50,2008-10-28,2008-10-25,2008-10-22,2008-11-18,2008-11-18,2008-11-18,2008-08-17,2008-08-17,2008-08-17,0.32377,0.33464,0.33926,0.31713,0.34874
columbiamissouri,DB,0001,falling,gcc_50,2007-10-26,2007-10-26,2007-10-20,2007-10-29,2007-10-29,2007-10-26,2007-10-23,2007-10-23,2007-10-17,0.33227,0.33227,0.34206,0.32309,0.35684
columbiamissouri,DB,0001,falling,gcc_mean,2008-10-28,2008-10-25,2008-10-22,2008-11-18,2008-11-18,2008-11-18,2008-08-17,2008-08-17,2008-08-17,0.32377,0.33464,0.33926,0.31713,0.34874
columbiamissouri,DB,0001,falling,gcc_mean,2007-10-26,2007-10-26,2007-10-20,2007-10-29,2007-10-29,2007-10-26,2007-10-23,2007-10-23,2007-10-17,0.33227,0.33227,0.34206,0.32309,0.35684
