#
# Transition date estimate for contactcreek
#
# Site: contactcreek
# Veg Type: SH
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2011
# Year max: 2013
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:30
# Spline RMSE gcc_mean: 0.02696
# Spline RMSE gcc_50: 0.03239
# Spline RMSE gcc_75: 0.02762
# Spline RMSE gcc_90: 0.02741
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
contactcreek,SH,0001,rising,gcc_90,2011-06-01,2011-06-07,2011-06-19,2011-05-29,2011-06-04,2011-06-10,2011-06-04,2011-06-10,2011-06-22,0.33548,0.3407,0.35431,0.33187,0.36611
contactcreek,SH,0001,rising,gcc_90,2012-06-06,2012-06-12,2012-06-24,2012-05-31,2012-06-09,2012-06-15,2012-06-09,2012-06-15,2012-06-27,0.33617,0.34289,0.35853,0.33112,0.37115
contactcreek,SH,0001,rising,gcc_90,2013-05-29,2013-06-04,2013-06-13,2013-05-23,2013-05-29,2013-06-07,2013-06-01,2013-06-07,2013-06-16,0.33646,0.34199,0.35224,0.33126,0.36532
contactcreek,SH,0001,rising,gcc_75,2011-06-01,2011-06-07,2011-06-19,2011-05-26,2011-06-04,2011-06-10,2011-06-04,2011-06-10,2011-06-22,0.33459,0.3396,0.35256,0.3308,0.36323
contactcreek,SH,0001,rising,gcc_75,2012-06-06,2012-06-12,2012-06-24,2012-05-31,2012-06-06,2012-06-15,2012-06-09,2012-06-15,2012-06-27,0.33536,0.34163,0.35621,0.33044,0.36815
contactcreek,SH,0001,rising,gcc_75,2013-05-29,2013-06-04,2013-06-13,2013-05-23,2013-05-29,2013-06-07,2013-06-01,2013-06-07,2013-06-16,0.33549,0.34084,0.35056,0.33093,0.36198
contactcreek,SH,0001,rising,gcc_50,2011-06-01,2011-06-07,2011-06-16,2011-05-26,2011-06-01,2011-06-07,2011-06-04,2011-06-10,2011-06-19,0.33378,0.33792,0.3471,0.3295,0.35527
contactcreek,SH,0001,rising,gcc_50,2012-06-03,2012-06-12,2012-06-27,2012-05-28,2012-06-06,2012-06-18,2012-06-06,2012-06-15,2012-06-30,0.3331,0.33856,0.35114,0.32907,0.36257
contactcreek,SH,0001,rising,gcc_50,2013-05-29,2013-06-01,2013-06-13,2013-05-23,2013-05-29,2013-06-04,2013-06-01,2013-06-04,2013-06-16,0.3345,0.33658,0.3471,0.32968,0.35719
contactcreek,SH,0001,rising,gcc_mean,2011-06-01,2011-06-07,2011-06-16,2011-05-26,2011-06-01,2011-06-10,2011-06-04,2011-06-10,2011-06-19,0.33322,0.33749,0.34532,0.32924,0.35555
