#
# Transition date estimate for contactcreek
#
# Site: contactcreek
# Veg Type: TN
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2011
# Year max: 2013
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:06:01
# Spline RMSE gcc_mean: 0.02123
# Spline RMSE gcc_50: 0.02254
# Spline RMSE gcc_75: 0.02418
# Spline RMSE gcc_90: 0.02504
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
contactcreek,TN,0001,rising,gcc_90,2011-06-07,2011-06-22,2011-07-13,2011-06-01,2011-06-13,2011-07-04,2011-06-10,2011-06-25,2011-07-16,0.3334,0.33685,0.34527,0.3306,0.35453
contactcreek,TN,0001,rising,gcc_90,2012-06-03,2012-06-15,2012-07-09,2012-05-31,2012-06-09,2012-06-30,2012-06-06,2012-06-18,2012-07-12,0.333,0.33726,0.34401,0.33054,0.35464
contactcreek,TN,0001,rising,gcc_90,2013-06-07,2013-06-16,2013-07-01,2013-06-01,2013-06-10,2013-06-22,2013-06-10,2013-06-19,2013-07-04,0.33489,0.33916,0.34835,0.33119,0.35837
contactcreek,TN,0001,rising,gcc_75,2011-06-07,2011-06-22,2011-07-13,2011-06-01,2011-06-13,2011-07-04,2011-06-10,2011-06-28,2011-07-16,0.33331,0.3362,0.34436,0.3302,0.35384
contactcreek,TN,0001,rising,gcc_75,2012-06-03,2012-06-15,2012-07-09,2012-05-28,2012-06-09,2012-06-30,2012-06-06,2012-06-18,2012-07-12,0.33269,0.33687,0.34299,0.33007,0.35373
contactcreek,TN,0001,rising,gcc_75,2013-06-04,2013-06-16,2013-07-01,2013-05-29,2013-06-10,2013-06-22,2013-06-07,2013-06-19,2013-07-04,0.33358,0.33847,0.34763,0.33071,0.35731
contactcreek,TN,0001,rising,gcc_50,2011-06-04,2011-06-25,2011-07-13,2011-05-29,2011-06-13,2011-07-07,2011-06-07,2011-06-28,2011-07-16,0.33233,0.33584,0.34296,0.3295,0.35239
contactcreek,TN,0001,rising,gcc_50,2012-06-03,2012-06-12,2012-07-12,2012-05-28,2012-06-09,2012-07-03,2012-06-06,2012-06-15,2012-07-15,0.33236,0.33548,0.34267,0.3296,0.35231
contactcreek,TN,0001,rising,gcc_50,2013-06-04,2013-06-16,2013-07-01,2013-05-29,2013-06-10,2013-06-22,2013-06-07,2013-06-19,2013-07-04,0.33328,0.33746,0.34655,0.33041,0.35552
contactcreek,TN,0001,rising,gcc_mean,2011-06-04,2011-06-25,2011-07-13,2011-05-29,2011-06-13,2011-07-07,2011-06-07,2011-06-28,2011-07-16,0.33229,0.33594,0.34304,0.32952,0.35257
contactcreek,TN,0001,rising,gcc_mean,2012-06-03,2012-06-12,2012-07-12,2012-05-28,2012-06-09,2012-07-03,2012-06-06,2012-06-15,2012-07-15,0.33242,0.33557,0.34295,0.32961,0.35241
contactcreek,TN,0001,rising,gcc_mean,2013-06-04,2013-06-16,2013-07-01,2013-05-29,2013-06-10,2013-06-22,2013-06-07,2013-06-19,2013-07-04,0.33329,0.33757,0.34653,0.33036,0.35565
contactcreek,TN,0001,falling,gcc_90,2013-10-08,2013-09-23,2013-09-08,2013-10-20,2013-09-29,2013-09-17,2013-10-02,2013-09-20,2013-09-05,0.33505,0.33971,0.34906,0.3323,0.35837
contactcreek,TN,0001,falling,gcc_90,2012-10-16,2012-10-07,2012-09-22,2012-10-22,2012-10-13,2012-10-01,2012-10-13,2012-10-04,2012-09-19,0.3338,0.33803,0.34591,0.33119,0.35464
contactcreek,TN,0001,falling,gcc_90,2011-10-17,2011-10-05,2011-09-08,2011-10-23,2011-10-11,2011-09-20,2011-10-11,2011-10-02,2011-09-05,0.33298,0.33704,0.34308,0.33054,0.35453
contactcreek,TN,0001,falling,gcc_75,2013-10-08,2013-09-23,2013-09-08,2013-10-23,2013-09-29,2013-09-17,2013-10-02,2013-09-20,2013-09-05,0.33449,0.33919,0.34812,0.33175,0.35731
contactcreek,TN,0001,falling,gcc_75,2012-10-16,2012-10-07,2012-09-22,2012-10-22,2012-10-13,2012-10-01,2012-10-13,2012-10-04,2012-09-19,0.33317,0.33739,0.34501,0.33071,0.35373
contactcreek,TN,0001,falling,gcc_75,2011-10-14,2011-10-05,2011-09-08,2011-10-23,2011-10-11,2011-09-20,2011-10-11,2011-10-02,2011-09-05,0.3331,0.33653,0.34237,0.33007,0.35384
contactcreek,TN,0001,falling,gcc_50,2013-10-08,2013-09-23,2013-09-11,2013-10-26,2013-09-29,2013-09-17,2013-10-02,2013-09-20,2013-09-08,0.33371,0.33856,0.34532,0.33117,0.35552
contactcreek,TN,0001,falling,gcc_50,2012-10-13,2012-10-07,2012-09-22,2012-10-19,2012-10-10,2012-10-01,2012-10-10,2012-10-04,2012-09-19,0.33344,0.33656,0.34348,0.33041,0.35231
contactcreek,TN,0001,falling,gcc_50,2011-10-14,2011-10-05,2011-09-05,2011-10-20,2011-10-11,2011-09-20,2011-10-11,2011-10-02,2011-09-02,0.33219,0.33571,0.34163,0.3296,0.35239
contactcreek,TN,0001,falling,gcc_mean,2013-10-17,2013-09-23,2013-09-11,2013-10-29,2013-09-29,2013-09-17,2013-10-05,2013-09-20,2013-09-08,0.33354,0.33861,0.34535,0.33106,0.35565
