#
# Transition date estimate for coville
#
# Site: coville
# Veg Type: TN
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2011
# Year max: 2013
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:06:01
# Spline RMSE gcc_mean: 0.02394
# Spline RMSE gcc_50: 0.02555
# Spline RMSE gcc_75: 0.02414
# Spline RMSE gcc_90: 0.02334
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
coville,TN,0001,rising,gcc_90,2011-05-08,2011-05-29,2011-06-22,2011-04-29,2011-05-23,2011-06-13,2011-05-14,2011-06-01,2011-06-25,0.33312,0.33801,0.34581,0.32994,0.35901
coville,TN,0001,rising,gcc_90,2012-05-22,2012-06-06,2012-06-24,2012-05-13,2012-05-31,2012-06-15,2012-05-25,2012-06-09,2012-06-27,0.3332,0.33837,0.34825,0.32938,0.36138
coville,TN,0001,rising,gcc_90,2013-05-23,2013-06-04,2013-06-19,2013-05-17,2013-05-29,2013-06-10,2013-05-26,2013-06-07,2013-06-22,0.33446,0.33956,0.34866,0.33069,0.36026
coville,TN,0001,rising,gcc_75,2011-05-08,2011-05-26,2011-06-22,2011-04-29,2011-05-23,2011-06-13,2011-05-14,2011-05-29,2011-06-25,0.33291,0.33684,0.34529,0.32979,0.3579
coville,TN,0001,rising,gcc_75,2012-05-22,2012-06-06,2012-06-24,2012-05-13,2012-05-31,2012-06-15,2012-05-25,2012-06-09,2012-06-27,0.33288,0.33802,0.34798,0.32905,0.36123
coville,TN,0001,rising,gcc_75,2013-05-23,2013-06-01,2013-06-19,2013-05-14,2013-05-29,2013-06-10,2013-05-26,2013-06-04,2013-06-22,0.33423,0.33779,0.34836,0.33038,0.35968
coville,TN,0001,rising,gcc_50,2011-05-08,2011-05-26,2011-06-22,2011-04-26,2011-05-20,2011-06-13,2011-05-14,2011-05-29,2011-06-25,0.33242,0.33641,0.3444,0.32947,0.35642
coville,TN,0001,rising,gcc_50,2012-05-19,2012-06-06,2012-06-24,2012-05-10,2012-05-31,2012-06-15,2012-05-25,2012-06-09,2012-06-27,0.33177,0.33738,0.34739,0.32843,0.36036
coville,TN,0001,rising,gcc_50,2013-05-20,2013-06-01,2013-06-19,2013-05-14,2013-05-29,2013-06-10,2013-05-23,2013-06-04,2013-06-22,0.33291,0.33739,0.34787,0.32998,0.35874
coville,TN,0001,rising,gcc_mean,2011-05-08,2011-05-26,2011-06-22,2011-04-29,2011-05-20,2011-06-13,2011-05-14,2011-05-29,2011-06-25,0.33234,0.33637,0.34442,0.32941,0.35637
coville,TN,0001,rising,gcc_mean,2012-05-19,2012-06-06,2012-06-24,2012-05-10,2012-05-31,2012-06-15,2012-05-25,2012-06-09,2012-06-27,0.33166,0.33721,0.34701,0.3283,0.35997
coville,TN,0001,rising,gcc_mean,2013-05-20,2013-06-01,2013-06-19,2013-05-14,2013-05-29,2013-06-10,2013-05-23,2013-06-04,2013-06-22,0.33292,0.33736,0.34769,0.32988,0.35858
coville,TN,0001,falling,gcc_90,2013-10-26,2013-09-29,2013-09-14,2013-11-01,2013-10-05,2013-09-23,2013-10-20,2013-09-26,2013-09-11,0.33426,0.33947,0.35105,0.33114,0.36026
coville,TN,0001,falling,gcc_90,2012-10-10,2012-10-04,2012-09-22,2012-10-16,2012-10-07,2012-09-28,2012-10-07,2012-10-01,2012-09-19,0.33561,0.33941,0.34829,0.33069,0.36138
coville,TN,0001,falling,gcc_90,2011-10-23,2011-10-11,2011-09-26,2011-10-29,2011-10-17,2011-10-02,2011-10-20,2011-10-08,2011-09-23,0.33254,0.33758,0.346,0.32938,0.35901
coville,TN,0001,falling,gcc_75,2013-10-26,2013-09-29,2013-09-14,2013-11-01,2013-10-05,2013-09-23,2013-10-20,2013-09-26,2013-09-11,0.33391,0.33904,0.35063,0.33084,0.35968
coville,TN,0001,falling,gcc_75,2012-10-10,2012-10-04,2012-09-19,2012-10-16,2012-10-07,2012-09-28,2012-10-07,2012-10-01,2012-09-16,0.33528,0.33898,0.34971,0.33038,0.36123
