#
# Transition date estimate for coweeta
#
# Site: coweeta
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2011
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:31
# Spline RMSE gcc_mean: 0.07085
# Spline RMSE gcc_50: 0.07845
# Spline RMSE gcc_75: 0.08357
# Spline RMSE gcc_90: 0.0722
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
coweeta,DB,0001,rising,gcc_90,2012-04-10,2012-04-13,2012-04-19,2012-04-04,2012-04-10,2012-04-13,2012-04-13,2012-04-16,2012-04-22,0.40717,0.42058,0.45086,0.38968,0.48306
coweeta,DB,0001,rising,gcc_90,2013-04-20,2013-04-26,2013-05-08,2013-04-14,2013-04-23,2013-04-29,2013-04-23,2013-04-29,2013-05-11,0.38685,0.40308,0.45372,0.37229,0.48704
coweeta,DB,0001,rising,gcc_90,2014-04-23,2014-04-29,2014-05-08,2014-04-17,2014-04-23,2014-04-29,2014-04-26,2014-05-02,2014-05-11,0.38695,0.41275,0.4676,0.3705,0.48953
coweeta,DB,0001,rising,gcc_90,2015-04-11,2015-04-23,2015-05-05,2015-04-02,2015-04-17,2015-04-26,2015-04-14,2015-04-26,2015-05-08,0.38682,0.41062,0.45907,0.37297,0.4949
coweeta,DB,0001,rising,gcc_75,2012-04-10,2012-04-13,2012-04-22,2012-04-04,2012-04-10,2012-04-16,2012-04-13,2012-04-16,2012-04-25,0.4018,0.4128,0.45023,0.38603,0.47576
coweeta,DB,0001,rising,gcc_75,2013-04-20,2013-04-26,2013-05-08,2013-04-14,2013-04-23,2013-04-29,2013-04-23,2013-04-29,2013-05-11,0.3832,0.40002,0.44637,0.36926,0.4776
coweeta,DB,0001,rising,gcc_75,2014-04-20,2014-04-26,2014-05-05,2014-04-14,2014-04-23,2014-04-29,2014-04-23,2014-04-29,2014-05-08,0.38088,0.40077,0.44737,0.36797,0.48114
coweeta,DB,0001,rising,gcc_75,2015-04-11,2015-04-23,2015-05-05,2015-04-02,2015-04-17,2015-04-26,2015-04-14,2015-04-26,2015-05-08,0.38348,0.40502,0.45073,0.36925,0.48643
coweeta,DB,0001,rising,gcc_50,2012-04-10,2012-04-13,2012-04-22,2012-04-04,2012-04-10,2012-04-13,2012-04-13,2012-04-16,2012-04-25,0.39599,0.40596,0.44008,0.38056,0.4638
coweeta,DB,0001,rising,gcc_50,2013-04-20,2013-04-26,2013-05-08,2013-04-14,2013-04-23,2013-04-29,2013-04-23,2013-04-29,2013-05-11,0.37892,0.39462,0.43659,0.36648,0.46391
coweeta,DB,0001,rising,gcc_50,2014-04-20,2014-04-26,2014-05-08,2014-04-14,2014-04-23,2014-04-29,2014-04-23,2014-04-29,2014-05-11,0.37573,0.39145,0.44106,0.36533,0.46715
coweeta,DB,0001,rising,gcc_50,2015-04-11,2015-04-23,2015-05-05,2015-03-30,2015-04-17,2015-04-26,2015-04-14,2015-04-26,2015-05-08,0.37869,0.39723,0.43954,0.36572,0.47327
coweeta,DB,0001,rising,gcc_mean,2012-04-10,2012-04-13,2012-04-22,2012-04-04,2012-04-10,2012-04-13,2012-04-13,2012-04-16,2012-04-25,0.39542,0.40564,0.44049,0.38042,0.46384
coweeta,DB,0001,rising,gcc_mean,2013-04-20,2013-04-26,2013-05-08,2013-04-14,2013-04-23,2013-04-29,2013-04-23,2013-04-29,2013-05-11,0.37885,0.39436,0.43619,0.3654,0.46588
coweeta,DB,0001,rising,gcc_mean,2014-04-20,2014-04-26,2014-05-08,2014-04-14,2014-04-23,2014-04-29,2014-04-23,2014-04-29,2014-05-11,0.37489,0.39095,0.44166,0.36438,0.4685
coweeta,DB,0001,rising,gcc_mean,2015-04-08,2015-04-23,2015-05-05,2015-03-30,2015-04-17,2015-04-26,2015-04-14,2015-04-26,2015-05-08,0.37673,0.39885,0.44128,0.36528,0.4745
coweeta,DB,0001,falling,gcc_90,2015-10-17,2015-10-14,2015-10-02,2015-10-20,2015-10-17,2015-10-11,2015-10-14,2015-10-11,2015-09-29,0.39338,0.40694,0.4467,0.37524,0.4949
coweeta,DB,0001,falling,gcc_90,2014-10-17,2014-10-14,2014-10-02,2014-10-23,2014-10-17,2014-10-11,2014-10-14,2014-10-11,2014-09-29,0.39616,0.40959,0.44195,0.37297,0.48953
coweeta,DB,0001,falling,gcc_90,2013-10-20,2013-10-17,2013-10-05,2013-10-23,2013-10-20,2013-10-11,2013-10-17,2013-10-14,2013-10-02,0.38933,0.40223,0.43924,0.3705,0.48704
coweeta,DB,0001,falling,gcc_90,2012-10-10,2012-10-04,2012-09-16,2012-10-13,2012-10-10,2012-09-25,2012-10-07,2012-10-01,2012-09-13,0.39078,0.40856,0.43124,0.37229,0.48306
coweeta,DB,0001,falling,gcc_90,2011-10-11,2011-10-05,2011-09-26,2011-10-14,2011-10-11,2011-10-02,2011-10-08,2011-10-02,2011-09-23,0.38094,0.40087,0.42743,0.36801,0.46868
coweeta,DB,0001,falling,gcc_75,2015-10-17,2015-10-11,2015-10-02,2015-10-20,2015-10-17,2015-10-08,2015-10-14,2015-10-08,2015-09-29,0.38814,0.41273,0.43852,0.373,0.48643
coweeta,DB,0001,falling,gcc_75,2014-10-17,2014-10-14,2014-10-02,2014-10-23,2014-10-17,2014-10-11,2014-10-14,2014-10-11,2014-09-29,0.39096,0.4027,0.43378,0.36925,0.48114
coweeta,DB,0001,falling,gcc_75,2013-10-20,2013-10-14,2013-10-02,2013-10-23,2013-10-20,2013-10-11,2013-10-17,2013-10-11,2013-09-29,0.38052,0.40366,0.43333,0.36797,0.4776
coweeta,DB,0001,falling,gcc_75,2012-10-10,2012-10-04,2012-09-16,2012-10-13,2012-10-07,2012-09-28,2012-10-07,2012-10-01,2012-09-13,0.3829,0.40061,0.42721,0.36926,0.47576
coweeta,DB,0001,falling,gcc_75,2011-10-11,2011-10-05,2011-09-23,2011-10-14,2011-10-11,2011-10-02,2011-10-08,2011-10-02,2011-09-20,0.37709,0.3963,0.42491,0.36519,0.46084
coweeta,DB,0001,falling,gcc_50,2015-10-17,2015-10-11,2015-10-02,2015-10-20,2015-10-17,2015-10-11,2015-10-14,2015-10-08,2015-09-29,0.38204,0.40586,0.43034,0.36888,0.47327
coweeta,DB,0001,falling,gcc_50,2014-10-17,2014-10-14,2014-10-02,2014-10-23,2014-10-17,2014-10-08,2014-10-14,2014-10-11,2014-09-29,0.3831,0.39372,0.42245,0.36572,0.46715
coweeta,DB,0001,falling,gcc_50,2013-10-17,2013-10-14,2013-10-02,2013-10-23,2013-10-17,2013-10-08,2013-10-14,2013-10-11,2013-09-29,0.38278,0.39327,0.41958,0.36533,0.46391
coweeta,DB,0001,falling,gcc_50,2012-10-10,2012-10-04,2012-09-16,2012-10-13,2012-10-07,2012-09-28,2012-10-07,2012-10-01,2012-09-13,0.37737,0.39423,0.41761,0.36648,0.4638
coweeta,DB,0001,falling,gcc_50,2011-10-11,2011-10-05,2011-09-23,2011-10-14,2011-10-11,2011-10-02,2011-10-08,2011-10-02,2011-09-20,0.37191,0.38889,0.41524,0.36229,0.45401
coweeta,DB,0001,falling,gcc_mean,2015-10-14,2015-10-11,2015-10-02,2015-10-20,2015-10-17,2015-10-11,2015-10-11,2015-10-08,2015-09-29,0.39101,0.40439,0.4301,0.36828,0.4745
coweeta,DB,0001,falling,gcc_mean,2014-10-17,2014-10-14,2014-10-02,2014-10-23,2014-10-17,2014-10-08,2014-10-14,2014-10-11,2014-09-29,0.38344,0.39431,0.4233,0.36528,0.4685
coweeta,DB,0001,falling,gcc_mean,2013-10-17,2013-10-14,2013-10-02,2013-10-23,2013-10-17,2013-10-11,2013-10-14,2013-10-11,2013-09-29,0.38439,0.39533,0.42222,0.36438,0.46588
coweeta,DB,0001,falling,gcc_mean,2012-10-10,2012-10-04,2012-09-16,2012-10-13,2012-10-07,2012-09-28,2012-10-07,2012-10-01,2012-09-13,0.37721,0.39421,0.41725,0.3654,0.46384
coweeta,DB,0001,falling,gcc_mean,2011-10-11,2011-10-05,2011-09-23,2011-10-14,2011-10-11,2011-10-02,2011-10-08,2011-10-02,2011-09-20,0.372,0.38935,0.415,0.36116,0.45309
