#
# Transition date estimate for dollysods
#
# Site: dollysods
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2004
# Year max: 2013
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:06:02
# Spline RMSE gcc_mean: 0.18743
# Spline RMSE gcc_50: 0.2007
# Spline RMSE gcc_75: 0.17051
# Spline RMSE gcc_90: 0.15527
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
dollysods,DB,0001,rising,gcc_90,2004-05-04,2004-05-07,2004-05-16,2004-04-28,2004-05-04,2004-05-10,2004-05-07,2004-05-10,2004-05-19,0.34351,0.35347,0.39097,0.32708,0.42109
dollysods,DB,0001,rising,gcc_90,2005-05-11,2005-05-17,2005-05-26,2005-04-14,2005-05-14,2005-05-20,2005-05-14,2005-05-20,2005-05-29,0.33538,0.35747,0.3981,0.32344,0.44038
dollysods,DB,0001,rising,gcc_90,2006-05-11,2006-05-17,2006-05-29,2006-05-08,2006-05-14,2006-05-23,2006-05-14,2006-05-20,2006-06-01,0.334,0.3479,0.39096,0.32254,0.4216
dollysods,DB,0001,rising,gcc_90,2007-05-05,2007-05-11,2007-05-20,2007-04-29,2007-05-05,2007-05-14,2007-05-08,2007-05-14,2007-05-23,0.34056,0.3612,0.40338,0.3229,0.43566
dollysods,DB,0001,rising,gcc_90,2008-05-04,2008-05-10,2008-05-22,2008-04-28,2008-05-07,2008-05-16,2008-05-07,2008-05-13,2008-05-25,0.34256,0.35816,0.40175,0.32566,0.43699
dollysods,DB,0001,rising,gcc_90,2009-05-05,2009-05-08,2009-05-20,2009-05-02,2009-05-05,2009-05-11,2009-05-08,2009-05-11,2009-05-23,0.34591,0.35906,0.41362,0.32768,0.4519
dollysods,DB,0001,rising,gcc_90,2010-04-26,2010-05-02,2010-05-14,2010-04-23,2010-04-29,2010-05-08,2010-04-29,2010-05-05,2010-05-17,0.33916,0.35639,0.39461,0.32754,0.43441
dollysods,DB,0001,rising,gcc_90,2011-05-05,2011-05-11,2011-05-20,2011-05-02,2011-05-05,2011-05-14,2011-05-08,2011-05-14,2011-05-23,0.3444,0.3659,0.39734,0.32856,0.43481
dollysods,DB,0001,rising,gcc_90,2012-04-28,2012-05-04,2012-05-16,2012-04-25,2012-05-01,2012-05-10,2012-05-01,2012-05-07,2012-05-19,0.33876,0.35558,0.40153,0.32282,0.43548
dollysods,DB,0001,rising,gcc_90,2013-05-08,2013-05-14,2013-05-23,2013-05-05,2013-05-11,2013-05-17,2013-05-11,2013-05-17,2013-05-26,0.33349,0.3491,0.38349,0.32401,0.41588
dollysods,DB,0001,rising,gcc_75,2004-05-04,2004-05-07,2004-05-16,2004-04-28,2004-05-04,2004-05-10,2004-05-07,2004-05-10,2004-05-19,0.34258,0.3524,0.38928,0.32638,0.41913
dollysods,DB,0001,rising,gcc_75,2005-05-11,2005-05-17,2005-05-26,2005-04-14,2005-05-14,2005-05-20,2005-05-14,2005-05-20,2005-05-29,0.33477,0.35648,0.39644,0.32279,0.43876
dollysods,DB,0001,rising,gcc_75,2006-05-11,2006-05-17,2006-05-29,2006-05-08,2006-05-14,2006-05-23,2006-05-14,2006-05-20,2006-06-01,0.33309,0.34673,0.38906,0.32196,0.4193
dollysods,DB,0001,rising,gcc_75,2007-05-05,2007-05-11,2007-05-20,2007-04-29,2007-05-05,2007-05-14,2007-05-08,2007-05-14,2007-05-23,0.34005,0.3603,0.40166,0.32239,0.43365
dollysods,DB,0001,rising,gcc_75,2008-05-04,2008-05-10,2008-05-22,2008-04-28,2008-05-07,2008-05-16,2008-05-07,2008-05-13,2008-05-25,0.34113,0.35626,0.399,0.32513,0.43355
dollysods,DB,0001,rising,gcc_75,2009-05-05,2009-05-08,2009-05-20,2009-05-02,2009-05-05,2009-05-11,2009-05-08,2009-05-11,2009-05-23,0.34456,0.35739,0.41071,0.3264,0.44854
dollysods,DB,0001,rising,gcc_75,2010-04-26,2010-05-02,2010-05-14,2010-04-23,2010-04-29,2010-05-08,2010-04-29,2010-05-05,2010-05-17,0.33812,0.35468,0.39142,0.32656,0.42995
dollysods,DB,0001,rising,gcc_75,2011-05-05,2011-05-11,2011-05-20,2011-05-02,2011-05-05,2011-05-14,2011-05-08,2011-05-14,2011-05-23,0.34274,0.36385,0.39477,0.3271,0.43172
dollysods,DB,0001,rising,gcc_75,2012-04-28,2012-05-04,2012-05-16,2012-04-25,2012-05-01,2012-05-10,2012-05-01,2012-05-07,2012-05-19,0.33777,0.35416,0.39923,0.32139,0.43256
dollysods,DB,0001,rising,gcc_75,2013-05-11,2013-05-14,2013-05-23,2013-05-05,2013-05-11,2013-05-17,2013-05-14,2013-05-17,2013-05-26,0.33847,0.34737,0.38226,0.32256,0.41443
dollysods,DB,0001,rising,gcc_50,2004-05-04,2004-05-07,2004-05-16,2004-04-28,2004-05-04,2004-05-10,2004-05-07,2004-05-10,2004-05-19,0.34105,0.35061,0.38647,0.3253,0.41622
dollysods,DB,0001,rising,gcc_50,2005-05-11,2005-05-17,2005-05-26,2005-04-14,2005-05-14,2005-05-20,2005-05-14,2005-05-20,2005-05-29,0.33373,0.35456,0.39315,0.32156,0.43702
dollysods,DB,0001,rising,gcc_50,2006-05-11,2006-05-17,2006-05-29,2006-05-08,2006-05-14,2006-05-23,2006-05-14,2006-05-20,2006-06-01,0.33157,0.34478,0.38589,0.32102,0.41583
dollysods,DB,0001,rising,gcc_50,2007-05-02,2007-05-11,2007-05-20,2007-04-29,2007-05-05,2007-05-14,2007-05-05,2007-05-14,2007-05-23,0.33236,0.35882,0.39879,0.32112,0.43029
dollysods,DB,0001,rising,gcc_50,2008-05-04,2008-05-10,2008-05-22,2008-05-01,2008-05-07,2008-05-16,2008-05-07,2008-05-13,2008-05-25,0.33774,0.35171,0.3937,0.32424,0.42872
dollysods,DB,0001,rising,gcc_50,2009-05-05,2009-05-08,2009-05-20,2009-05-02,2009-05-05,2009-05-11,2009-05-08,2009-05-11,2009-05-23,0.34275,0.3552,0.40671,0.32484,0.44325
dollysods,DB,0001,rising,gcc_50,2010-04-26,2010-05-02,2010-05-14,2010-04-23,2010-04-29,2010-05-08,2010-04-29,2010-05-05,2010-05-17,0.33657,0.35208,0.38674,0.3251,0.42353
dollysods,DB,0001,rising,gcc_50,2011-05-05,2011-05-11,2011-05-20,2011-05-02,2011-05-05,2011-05-14,2011-05-08,2011-05-14,2011-05-23,0.34104,0.36107,0.39057,0.32541,0.42674
dollysods,DB,0001,rising,gcc_50,2012-04-28,2012-05-04,2012-05-16,2012-04-22,2012-05-01,2012-05-07,2012-05-01,2012-05-07,2012-05-19,0.33629,0.35248,0.39594,0.31905,0.42907
dollysods,DB,0001,rising,gcc_50,2013-05-11,2013-05-14,2013-05-23,2013-05-05,2013-05-11,2013-05-17,2013-05-14,2013-05-17,2013-05-26,0.33665,0.34557,0.38024,0.32086,0.41146
