#
# Transition date estimate for downerwoods
#
# Site: downerwoods
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2013
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:32
# Spline RMSE gcc_mean: 0.03072
# Spline RMSE gcc_50: 0.03381
# Spline RMSE gcc_75: 0.02989
# Spline RMSE gcc_90: 0.03142
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
downerwoods,DB,0001,rising,gcc_90,2013-05-11,2013-05-14,2013-05-23,2013-05-08,2013-05-11,2013-05-17,2013-05-14,2013-05-17,2013-05-26,0.35055,0.36372,0.40951,0.33903,0.43636
downerwoods,DB,0001,rising,gcc_90,2014-05-17,2014-05-20,2014-05-29,2014-05-11,2014-05-17,2014-05-23,2014-05-20,2014-05-23,2014-06-01,0.35466,0.36571,0.41706,0.33809,0.43426
downerwoods,DB,0001,rising,gcc_90,2015-05-08,2015-05-14,2015-05-23,2015-05-02,2015-05-11,2015-05-17,2015-05-11,2015-05-17,2015-05-26,0.34929,0.36281,0.40124,0.33802,0.42285
downerwoods,DB,0001,rising,gcc_75,2013-05-11,2013-05-17,2013-05-23,2013-05-08,2013-05-11,2013-05-17,2013-05-14,2013-05-20,2013-05-26,0.34765,0.37189,0.40219,0.33735,0.43128
downerwoods,DB,0001,rising,gcc_75,2014-05-17,2014-05-20,2014-05-29,2014-05-11,2014-05-17,2014-05-23,2014-05-20,2014-05-23,2014-06-01,0.35325,0.36361,0.4095,0.33673,0.42887
downerwoods,DB,0001,rising,gcc_75,2015-05-08,2015-05-14,2015-05-23,2015-04-29,2015-05-11,2015-05-17,2015-05-11,2015-05-17,2015-05-26,0.34857,0.3613,0.39731,0.33723,0.41829
downerwoods,DB,0001,rising,gcc_50,2013-05-14,2013-05-17,2013-05-26,2013-05-08,2013-05-14,2013-05-17,2013-05-17,2013-05-20,2013-05-29,0.3542,0.36549,0.40943,0.3364,0.42326
downerwoods,DB,0001,rising,gcc_50,2014-05-17,2014-05-20,2014-05-29,2014-05-11,2014-05-17,2014-05-23,2014-05-20,2014-05-23,2014-06-01,0.35078,0.35994,0.40031,0.33508,0.42038
downerwoods,DB,0001,rising,gcc_50,2015-05-08,2015-05-14,2015-05-23,2015-04-29,2015-05-11,2015-05-17,2015-05-11,2015-05-17,2015-05-26,0.34649,0.35715,0.39036,0.33632,0.41229
downerwoods,DB,0001,rising,gcc_mean,2013-05-11,2013-05-17,2013-05-26,2013-05-08,2013-05-11,2013-05-17,2013-05-14,2013-05-20,2013-05-29,0.34579,0.36592,0.40583,0.33606,0.42195
downerwoods,DB,0001,rising,gcc_mean,2014-05-14,2014-05-20,2014-05-29,2014-05-08,2014-05-17,2014-05-23,2014-05-17,2014-05-23,2014-06-01,0.34365,0.35939,0.40021,0.33472,0.41813
downerwoods,DB,0001,rising,gcc_mean,2015-05-08,2015-05-14,2015-05-23,2015-04-29,2015-05-11,2015-05-17,2015-05-11,2015-05-17,2015-05-26,0.34598,0.35701,0.39083,0.33595,0.4103
downerwoods,DB,0001,falling,gcc_90,2015-10-20,2015-10-17,2015-10-05,2015-10-26,2015-10-20,2015-10-14,2015-10-17,2015-10-14,2015-10-02,0.35261,0.36064,0.3971,0.33881,0.42285
downerwoods,DB,0001,falling,gcc_90,2014-10-17,2014-10-11,2014-10-02,2014-10-20,2014-10-17,2014-10-08,2014-10-14,2014-10-08,2014-09-29,0.35164,0.37092,0.39121,0.33802,0.43426
downerwoods,DB,0001,falling,gcc_90,2013-10-29,2013-10-23,2013-09-26,2013-11-01,2013-10-26,2013-10-05,2013-10-26,2013-10-20,2013-09-23,0.3503,0.36352,0.39601,0.33809,0.43636
downerwoods,DB,0001,falling,gcc_75,2015-10-20,2015-10-17,2015-10-05,2015-10-26,2015-10-20,2015-10-14,2015-10-17,2015-10-14,2015-10-02,0.35065,0.35843,0.39484,0.33755,0.41829
downerwoods,DB,0001,falling,gcc_75,2014-10-17,2014-10-11,2014-09-29,2014-10-20,2014-10-17,2014-10-08,2014-10-14,2014-10-08,2014-09-26,0.34902,0.3673,0.39153,0.33723,0.42887
downerwoods,DB,0001,falling,gcc_75,2013-10-29,2013-10-23,2013-09-26,2013-11-01,2013-10-26,2013-10-02,2013-10-26,2013-10-20,2013-09-23,0.34838,0.36146,0.39098,0.33673,0.43128
downerwoods,DB,0001,falling,gcc_50,2015-10-20,2015-10-14,2015-10-05,2015-10-26,2015-10-20,2015-10-14,2015-10-17,2015-10-11,2015-10-02,0.34697,0.36317,0.38923,0.3356,0.41229
downerwoods,DB,0001,falling,gcc_50,2014-10-17,2014-10-11,2014-09-29,2014-10-20,2014-10-17,2014-10-08,2014-10-14,2014-10-08,2014-09-26,0.34566,0.36341,0.38692,0.33632,0.42038
