#
# Transition date estimate for drippingsprings
#
# Site: drippingsprings
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2001
# Year max: 2009
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:32
# Spline RMSE gcc_mean: 0.05877
# Spline RMSE gcc_50: 0.06008
# Spline RMSE gcc_75: 0.06771
# Spline RMSE gcc_90: 0.06876
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
drippingsprings,DB,0001,rising,gcc_90,2003-03-12,2003-03-18,2003-03-27,2003-03-06,2003-03-12,2003-03-21,2003-03-15,2003-03-21,2003-03-30,0.34451,0.35221,0.3648,0.33751,0.38344
drippingsprings,DB,0001,rising,gcc_90,2004-03-11,2004-03-14,2004-03-23,2004-03-05,2004-03-11,2004-03-17,2004-03-14,2004-03-17,2004-03-26,0.34619,0.35605,0.38215,0.33455,0.40733
drippingsprings,DB,0001,rising,gcc_90,2005-03-09,2005-03-12,2005-03-18,2005-03-06,2005-03-06,2005-03-12,2005-03-12,2005-03-15,2005-03-21,0.36149,0.37008,0.38296,0.35067,0.40061
drippingsprings,DB,0001,rising,gcc_90,2006-04-02,2006-04-08,2006-04-17,2006-03-27,2006-04-02,2006-04-11,2006-04-05,2006-04-11,2006-04-20,0.34758,0.36031,0.38351,0.33624,0.41238
drippingsprings,DB,0001,rising,gcc_90,2007-03-12,2007-03-18,2007-03-30,2007-03-09,2007-03-15,2007-03-21,2007-03-15,2007-03-21,2007-04-02,0.3446,0.3568,0.38811,0.33623,0.40929
drippingsprings,DB,0001,rising,gcc_90,2008-03-17,2008-03-20,2008-04-01,2008-03-11,2008-03-17,2008-03-23,2008-03-20,2008-03-23,2008-04-04,0.34634,0.35406,0.38778,0.33196,0.41034
drippingsprings,DB,0001,rising,gcc_90,2009-03-18,2009-03-24,2009-04-02,2009-03-12,2009-03-18,2009-03-24,2009-03-21,2009-03-27,2009-04-05,0.34464,0.3601,0.38398,0.33563,0.40829
drippingsprings,DB,0001,rising,gcc_75,2003-03-12,2003-03-18,2003-03-27,2003-03-06,2003-03-12,2003-03-21,2003-03-15,2003-03-21,2003-03-30,0.34186,0.34888,0.36071,0.3364,0.37827
drippingsprings,DB,0001,rising,gcc_75,2004-03-11,2004-03-14,2004-03-23,2004-03-05,2004-03-11,2004-03-17,2004-03-14,2004-03-17,2004-03-26,0.34458,0.35378,0.37805,0.33311,0.40313
drippingsprings,DB,0001,rising,gcc_75,2005-03-09,2005-03-12,2005-03-21,2005-03-06,2005-03-06,2005-03-12,2005-03-12,2005-03-15,2005-03-24,0.35891,0.3654,0.37937,0.34788,0.39696
drippingsprings,DB,0001,rising,gcc_75,2006-04-02,2006-04-08,2006-04-17,2006-03-27,2006-04-02,2006-04-11,2006-04-05,2006-04-11,2006-04-20,0.34531,0.35692,0.37814,0.33384,0.40888
drippingsprings,DB,0001,rising,gcc_75,2007-03-12,2007-03-18,2007-03-30,2007-03-09,2007-03-15,2007-03-21,2007-03-15,2007-03-21,2007-04-02,0.34262,0.35385,0.38354,0.33551,0.40531
drippingsprings,DB,0001,rising,gcc_75,2008-03-17,2008-03-20,2008-04-01,2008-03-11,2008-03-17,2008-03-26,2008-03-20,2008-03-23,2008-04-04,0.34444,0.35165,0.38309,0.3305,0.40692
drippingsprings,DB,0001,rising,gcc_75,2009-03-18,2009-03-24,2009-04-02,2009-03-12,2009-03-18,2009-03-24,2009-03-21,2009-03-27,2009-04-05,0.34306,0.35758,0.3802,0.33409,0.4038
drippingsprings,DB,0001,rising,gcc_50,2002-03-24,2002-03-30,2002-04-08,2002-03-18,2002-03-24,2002-04-02,2002-03-27,2002-04-02,2002-04-11,0.33608,0.34445,0.35836,0.33052,0.37439
drippingsprings,DB,0001,rising,gcc_50,2003-03-12,2003-03-18,2003-03-30,2003-03-09,2003-03-12,2003-03-27,2003-03-15,2003-03-21,2003-04-08,0.33909,0.34521,0.35762,0.33483,0.37318
drippingsprings,DB,0001,rising,gcc_50,2004-03-11,2004-03-14,2004-03-23,2004-03-05,2004-03-11,2004-03-17,2004-03-14,2004-03-17,2004-03-26,0.34216,0.35053,0.37309,0.33106,0.39735
drippingsprings,DB,0001,rising,gcc_50,2005-03-09,2005-03-12,2005-03-21,2005-03-06,2005-03-06,2005-03-12,2005-03-12,2005-03-15,2005-03-24,0.35335,0.36004,0.37431,0.34155,0.39079
drippingsprings,DB,0001,rising,gcc_50,2006-04-02,2006-04-08,2006-04-17,2006-03-27,2006-04-02,2006-04-11,2006-04-05,2006-04-11,2006-04-20,0.34189,0.35259,0.37269,0.33106,0.4028
drippingsprings,DB,0001,rising,gcc_50,2007-03-12,2007-03-18,2007-03-27,2007-03-09,2007-03-12,2007-03-21,2007-03-15,2007-03-21,2007-03-30,0.34054,0.35108,0.37195,0.33222,0.39626
drippingsprings,DB,0001,rising,gcc_50,2008-03-14,2008-03-20,2008-04-01,2008-03-11,2008-03-17,2008-03-26,2008-03-17,2008-03-23,2008-04-04,0.33591,0.3483,0.37608,0.32869,0.40058
drippingsprings,DB,0001,rising,gcc_50,2009-03-18,2009-03-24,2009-04-02,2009-03-15,2009-03-21,2009-03-27,2009-03-21,2009-03-27,2009-04-05,0.33927,0.35206,0.37259,0.33222,0.39699
drippingsprings,DB,0001,rising,gcc_mean,2003-03-12,2003-03-18,2003-03-27,2003-03-06,2003-03-12,2003-03-18,2003-03-15,2003-03-21,2003-03-30,0.33948,0.34603,0.3572,0.33312,0.37231
drippingsprings,DB,0001,rising,gcc_mean,2004-03-11,2004-03-14,2004-03-23,2004-03-05,2004-03-11,2004-03-17,2004-03-14,2004-03-17,2004-03-26,0.34164,0.35,0.37239,0.33063,0.39456
drippingsprings,DB,0001,rising,gcc_mean,2005-03-09,2005-03-12,2005-03-21,2005-03-06,2005-03-06,2005-03-12,2005-03-12,2005-03-15,2005-03-24,0.35245,0.35987,0.37458,0.3456,0.38852
drippingsprings,DB,0001,rising,gcc_mean,2006-04-02,2006-04-08,2006-04-17,2006-03-27,2006-04-02,2006-04-11,2006-04-05,2006-04-11,2006-04-20,0.34202,0.35279,0.37295,0.33119,0.40181
drippingsprings,DB,0001,rising,gcc_mean,2007-03-12,2007-03-18,2007-03-27,2007-03-09,2007-03-15,2007-03-21,2007-03-15,2007-03-21,2007-03-30,0.34029,0.35084,0.3725,0.33194,0.39698
