#
# Transition date estimate for dukehw
#
# Site: dukehw
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2013
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:32
# Spline RMSE gcc_mean: 0.02659
# Spline RMSE gcc_50: 0.02576
# Spline RMSE gcc_75: 0.02462
# Spline RMSE gcc_90: 0.02804
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
dukehw,DB,0001,rising,gcc_90,2014-04-02,2014-04-08,2014-04-17,2014-03-30,2014-04-02,2014-04-11,2014-04-05,2014-04-11,2014-04-20,0.33813,0.36124,0.40018,0.32813,0.42486
dukehw,DB,0001,rising,gcc_90,2015-03-30,2015-04-05,2015-04-11,2015-03-24,2015-03-30,2015-04-05,2015-04-02,2015-04-08,2015-04-14,0.33611,0.3579,0.38694,0.31851,0.42704
dukehw,DB,0001,rising,gcc_75,2014-04-05,2014-04-08,2014-04-17,2014-03-30,2014-04-05,2014-04-11,2014-04-08,2014-04-11,2014-04-20,0.34675,0.35806,0.39668,0.32617,0.42103
dukehw,DB,0001,rising,gcc_75,2015-03-30,2015-04-05,2015-04-14,2015-03-27,2015-04-02,2015-04-05,2015-04-02,2015-04-08,2015-04-17,0.3324,0.35378,0.39584,0.31797,0.42345
dukehw,DB,0001,rising,gcc_50,2014-04-05,2014-04-08,2014-04-17,2014-03-30,2014-04-05,2014-04-11,2014-04-08,2014-04-11,2014-04-20,0.34303,0.35304,0.39018,0.32477,0.41593
dukehw,DB,0001,rising,gcc_50,2015-03-30,2015-04-05,2015-04-14,2015-03-27,2015-04-02,2015-04-05,2015-04-02,2015-04-08,2015-04-17,0.33166,0.35133,0.38994,0.31725,0.41826
dukehw,DB,0001,rising,gcc_mean,2014-04-05,2014-04-08,2014-04-17,2014-03-30,2014-04-05,2014-04-11,2014-04-08,2014-04-11,2014-04-20,0.34349,0.35372,0.39037,0.32451,0.41349
dukehw,DB,0001,rising,gcc_mean,2015-03-30,2015-04-05,2015-04-14,2015-03-24,2015-03-30,2015-04-05,2015-04-02,2015-04-08,2015-04-17,0.33199,0.3518,0.38978,0.31649,0.41601
dukehw,DB,0001,falling,gcc_90,2015-10-26,2015-10-17,2015-10-05,2015-10-29,2015-10-20,2015-10-11,2015-10-23,2015-10-14,2015-10-02,0.33115,0.35072,0.37954,0.3202,0.42704
dukehw,DB,0001,falling,gcc_90,2014-10-26,2014-10-20,2014-10-05,2014-11-01,2014-10-23,2014-10-11,2014-10-23,2014-10-17,2014-10-02,0.33233,0.34569,0.37753,0.31851,0.42486
dukehw,DB,0001,falling,gcc_90,2013-10-26,2013-10-20,2013-10-05,2013-11-01,2013-10-23,2013-10-14,2013-10-23,2013-10-17,2013-10-02,0.33426,0.34946,0.37658,0.3183,0.4216
dukehw,DB,0001,falling,gcc_75,2015-10-26,2015-10-17,2015-10-02,2015-10-29,2015-10-20,2015-10-11,2015-10-23,2015-10-14,2015-09-29,0.32986,0.34893,0.38292,0.31942,0.42345
dukehw,DB,0001,falling,gcc_75,2014-10-26,2014-10-20,2014-10-05,2014-10-29,2014-10-23,2014-10-11,2014-10-23,2014-10-17,2014-10-02,0.33075,0.34402,0.37554,0.31797,0.42103
dukehw,DB,0001,falling,gcc_75,2013-10-26,2013-10-20,2013-10-05,2013-11-01,2013-10-23,2013-10-14,2013-10-23,2013-10-17,2013-10-02,0.33243,0.34779,0.3742,0.31778,0.41816
dukehw,DB,0001,falling,gcc_50,2015-10-23,2015-10-17,2015-10-05,2015-10-29,2015-10-20,2015-10-11,2015-10-20,2015-10-14,2015-10-02,0.3333,0.34654,0.37408,0.31854,0.41826
dukehw,DB,0001,falling,gcc_50,2014-10-26,2014-10-17,2014-10-05,2014-10-29,2014-10-23,2014-10-11,2014-10-23,2014-10-14,2014-10-02,0.32895,0.34843,0.37279,0.31725,0.41593
dukehw,DB,0001,falling,gcc_50,2013-10-26,2013-10-20,2013-10-05,2013-11-01,2013-10-23,2013-10-11,2013-10-23,2013-10-17,2013-10-02,0.33073,0.34532,0.37091,0.31698,0.41343
dukehw,DB,0001,falling,gcc_mean,2015-10-23,2015-10-17,2015-10-05,2015-10-29,2015-10-20,2015-10-11,2015-10-20,2015-10-14,2015-10-02,0.33268,0.34604,0.37399,0.31775,0.41601
dukehw,DB,0001,falling,gcc_mean,2014-10-26,2014-10-20,2014-10-05,2014-10-29,2014-10-23,2014-10-11,2014-10-23,2014-10-17,2014-10-02,0.32886,0.34149,0.37143,0.31649,0.41349
dukehw,DB,0001,falling,gcc_mean,2013-10-26,2013-10-20,2013-10-05,2013-11-01,2013-10-23,2013-10-14,2013-10-23,2013-10-17,2013-10-02,0.33039,0.34501,0.37063,0.3163,0.41165
