#
# Transition date estimate for eastend
#
# Site: eastend
# Veg Type: WL
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2014
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:06:02
# Spline RMSE gcc_mean: 0.02663
# Spline RMSE gcc_50: 0.03163
# Spline RMSE gcc_75: 0.02697
# Spline RMSE gcc_90: 0.02731
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
eastend,WL,0001,rising,gcc_90,2015-03-30,2015-04-05,2015-04-14,2014-12-28,2014-12-28,2014-12-28,2015-04-23,2015-04-23,2015-04-23,0.36598,0.38017,0.40229,0.3547,0.43003
eastend,WL,0001,rising,gcc_75,2015-03-30,2015-04-05,2015-04-14,2014-12-28,2014-12-28,2014-12-28,2015-04-23,2015-04-23,2015-04-23,0.36242,0.37637,0.39618,0.3533,0.42315
eastend,WL,0001,rising,gcc_50,2015-04-02,2015-04-05,2015-04-17,2014-12-28,2014-12-28,2014-12-28,2015-04-23,2015-04-23,2015-04-23,0.36291,0.36939,0.39292,0.35117,0.41589
eastend,WL,0001,rising,gcc_mean,2015-04-02,2015-04-05,2015-04-17,2014-12-28,2014-12-28,2014-12-28,2015-04-23,2015-04-23,2015-04-23,0.36009,0.36593,0.38669,0.35063,0.40659
eastend,WL,0001,falling,gcc_90,2015-11-16,2015-11-07,2015-10-20,2015-11-19,2015-11-13,2015-10-26,2015-11-13,2015-10-29,2015-10-17,0.36047,0.3744,0.39339,0.35154,0.43003
eastend,WL,0001,falling,gcc_90,2014-12-22,2014-12-16,2014-12-01,2014-12-25,2014-12-25,2014-12-10,2014-12-10,2014-12-10,2014-11-28,0.35955,0.36675,0.38393,0.3547,0.39963
eastend,WL,0001,falling,gcc_75,2015-11-16,2015-11-10,2015-10-23,2015-11-19,2015-11-13,2015-10-29,2015-11-13,2015-10-29,2015-10-20,0.35728,0.36712,0.38826,0.34749,0.42315
eastend,WL,0001,falling,gcc_75,2014-12-22,2014-12-16,2014-12-01,2014-12-25,2014-12-25,2014-12-10,2014-12-10,2014-12-10,2014-11-28,0.35799,0.36478,0.3808,0.3533,0.39631
eastend,WL,0001,falling,gcc_50,2015-11-16,2015-11-10,2015-10-23,2015-11-19,2015-11-13,2015-11-01,2015-11-13,2015-10-29,2015-10-20,0.35187,0.36179,0.38401,0.34301,0.41589
eastend,WL,0001,falling,gcc_50,2014-12-19,2014-12-16,2014-12-01,2014-12-25,2014-12-25,2014-12-10,2014-12-10,2014-12-10,2014-11-28,0.35788,0.36098,0.37518,0.35117,0.39032
eastend,WL,0001,falling,gcc_mean,2015-11-16,2015-11-10,2015-10-26,2015-11-19,2015-11-13,2015-11-01,2015-11-13,2015-10-29,2015-10-23,0.35137,0.36058,0.37892,0.34319,0.40659
eastend,WL,0001,falling,gcc_mean,2014-12-22,2014-12-16,2014-12-04,2014-12-25,2014-12-25,2014-12-13,2014-12-10,2014-12-10,2014-12-01,0.35443,0.36075,0.3729,0.35063,0.38667
