#
# Transition date estimate for farewellgap
#
# Site: farewellgap
# Veg Type: SH
# ROI ID Number: 0002
# Aggregation period: 3
# Year min: 2013
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:32
# Spline RMSE gcc_mean: 0.05429
# Spline RMSE gcc_50: 0.0587
# Spline RMSE gcc_75: 0.05951
# Spline RMSE gcc_90: 0.06337
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
farewellgap,SH,0002,rising,gcc_90,2013-05-23,2013-05-26,2013-06-04,2013-05-20,2013-05-23,2013-06-01,2013-05-26,2013-05-29,2013-06-07,0.34433,0.34985,0.36362,0.33404,0.38091
farewellgap,SH,0002,rising,gcc_90,2015-05-23,2015-06-04,2015-06-19,2015-05-14,2015-05-26,2015-06-10,2015-05-29,2015-06-07,2015-06-22,0.33816,0.3485,0.36439,0.33168,0.38859
farewellgap,SH,0002,rising,gcc_75,2014-05-17,2014-05-23,2014-06-04,2014-05-11,2014-05-17,2014-05-26,2014-05-20,2014-05-26,2014-06-07,0.3393,0.34633,0.36611,0.3332,0.38027
farewellgap,SH,0002,rising,gcc_75,2015-05-23,2015-06-01,2015-06-19,2015-05-14,2015-05-26,2015-06-10,2015-05-29,2015-06-04,2015-06-22,0.33676,0.3445,0.36312,0.33043,0.38451
farewellgap,SH,0002,rising,gcc_50,2014-05-17,2014-05-23,2014-06-04,2014-05-11,2014-05-17,2014-05-26,2014-05-20,2014-05-26,2014-06-07,0.33789,0.34491,0.3649,0.33171,0.37863
farewellgap,SH,0002,rising,gcc_50,2015-05-23,2015-06-01,2015-06-19,2015-05-14,2015-05-26,2015-06-07,2015-05-29,2015-06-04,2015-06-22,0.3346,0.34253,0.36118,0.32859,0.38097
farewellgap,SH,0002,rising,gcc_mean,2014-05-17,2014-05-23,2014-06-01,2014-05-11,2014-05-17,2014-05-26,2014-05-20,2014-05-26,2014-06-04,0.33758,0.34488,0.36102,0.33164,0.37875
farewellgap,SH,0002,rising,gcc_mean,2015-05-23,2015-06-01,2015-06-16,2015-05-17,2015-05-26,2015-06-07,2015-05-29,2015-06-04,2015-06-19,0.33462,0.34281,0.35805,0.32881,0.37955
farewellgap,SH,0002,falling,gcc_90,2015-10-23,2015-10-17,2015-10-02,2015-10-29,2015-10-23,2015-10-11,2015-10-20,2015-10-14,2015-09-29,0.34438,0.35209,0.37066,0.33808,0.38859
farewellgap,SH,0002,falling,gcc_90,2014-10-26,2014-10-17,2014-10-05,2014-11-07,2014-10-26,2014-10-14,2014-10-23,2014-10-14,2014-10-02,0.33826,0.34757,0.36071,0.33168,0.38091
farewellgap,SH,0002,falling,gcc_90,2013-10-20,2013-10-11,2013-10-02,2013-10-26,2013-10-17,2013-10-08,2013-10-14,2013-10-08,2013-09-29,0.335,0.34793,0.3619,0.32918,0.38505
farewellgap,SH,0002,falling,gcc_75,2015-10-23,2015-10-17,2015-10-05,2015-10-29,2015-10-23,2015-10-14,2015-10-20,2015-10-14,2015-10-02,0.34287,0.35078,0.36535,0.33686,0.38451
farewellgap,SH,0002,falling,gcc_75,2014-10-26,2014-10-17,2014-10-05,2014-11-07,2014-10-23,2014-10-14,2014-10-20,2014-10-14,2014-10-02,0.33666,0.34594,0.35906,0.33043,0.38027
farewellgap,SH,0002,falling,gcc_75,2013-10-17,2013-10-11,2013-09-29,2013-10-23,2013-10-17,2013-10-08,2013-10-14,2013-10-08,2013-09-26,0.33521,0.34479,0.36293,0.32798,0.38314
farewellgap,SH,0002,falling,gcc_50,2015-10-23,2015-10-17,2015-10-05,2015-10-29,2015-10-23,2015-10-14,2015-10-20,2015-10-14,2015-10-02,0.3406,0.3481,0.36283,0.33611,0.38097
farewellgap,SH,0002,falling,gcc_50,2014-10-26,2014-10-17,2014-10-02,2014-11-04,2014-10-23,2014-10-11,2014-10-20,2014-10-14,2014-09-29,0.33429,0.34264,0.35735,0.32859,0.37863
farewellgap,SH,0002,falling,gcc_50,2013-10-14,2013-10-11,2013-09-29,2013-10-20,2013-10-14,2013-10-08,2013-10-11,2013-10-08,2013-09-26,0.33536,0.3404,0.35818,0.32647,0.37804
farewellgap,SH,0002,falling,gcc_mean,2015-10-20,2015-10-17,2015-10-05,2015-10-26,2015-10-20,2015-10-14,2015-10-17,2015-10-14,2015-10-02,0.34366,0.34754,0.36237,0.33632,0.37955
farewellgap,SH,0002,falling,gcc_mean,2014-10-23,2014-10-14,2014-10-02,2014-11-01,2014-10-20,2014-10-11,2014-10-20,2014-10-11,2014-09-29,0.33475,0.34481,0.35715,0.32881,0.37875
farewellgap,SH,0002,falling,gcc_mean,2013-10-14,2013-10-11,2013-09-29,2013-10-20,2013-10-14,2013-10-08,2013-10-11,2013-10-08,2013-09-26,0.33486,0.34013,0.35837,0.32629,0.37734
