#
# Transition date estimate for freemangrass
#
# Site: freemangrass
# Veg Type: GR
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2012
# Year max: 2013
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:33
# Spline RMSE gcc_mean: 0.02648
# Spline RMSE gcc_50: 0.02624
# Spline RMSE gcc_75: 0.02771
# Spline RMSE gcc_90: 0.03156
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
freemangrass,GR,0001,rising,gcc_90,2013-02-13,2013-03-15,2013-04-02,2013-02-04,2013-03-09,2013-03-24,2013-03-09,2013-03-18,2013-04-05,0.32547,0.33558,0.36046,0.31893,0.38324
freemangrass,GR,0001,rising,gcc_75,2013-02-13,2013-03-15,2013-04-02,2013-02-04,2013-03-09,2013-03-24,2013-03-09,2013-03-18,2013-04-05,0.32494,0.3341,0.35554,0.31822,0.37869
freemangrass,GR,0001,rising,gcc_50,2013-02-13,2013-03-15,2013-04-02,2013-02-04,2013-03-09,2013-03-24,2013-03-06,2013-03-18,2013-04-05,0.32384,0.33302,0.35261,0.3172,0.37459
freemangrass,GR,0001,rising,gcc_mean,2013-02-13,2013-03-15,2013-04-02,2013-02-04,2013-03-09,2013-03-24,2013-03-06,2013-03-18,2013-04-05,0.32316,0.33275,0.35303,0.31638,0.37471
freemangrass,GR,0001,falling,gcc_90,2013-12-10,2013-11-16,2013-10-20,2013-12-25,2013-11-19,2013-10-23,2013-11-28,2013-11-13,2013-10-17,0.32725,0.33754,0.35433,0.32092,0.3816
freemangrass,GR,0001,falling,gcc_90,2012-11-18,2012-11-09,2012-10-25,2012-11-21,2012-11-12,2012-10-28,2012-11-15,2012-11-06,2012-10-22,0.32873,0.34549,0.36872,0.31893,0.40956
freemangrass,GR,0001,falling,gcc_75,2013-12-10,2013-11-16,2013-10-20,2013-12-25,2013-11-19,2013-10-23,2013-11-28,2013-11-13,2013-10-17,0.32605,0.33581,0.35239,0.32021,0.37705
freemangrass,GR,0001,falling,gcc_75,2012-11-18,2012-11-09,2012-10-22,2012-11-21,2012-11-12,2012-10-25,2012-11-15,2012-11-06,2012-10-19,0.32694,0.34339,0.36854,0.31822,0.40505
freemangrass,GR,0001,falling,gcc_50,2013-12-10,2013-11-16,2013-10-20,2013-12-13,2013-11-19,2013-10-23,2013-11-28,2013-11-13,2013-10-17,0.32472,0.33427,0.35009,0.31929,0.3736
freemangrass,GR,0001,falling,gcc_50,2012-11-15,2012-11-09,2012-10-22,2012-11-21,2012-11-12,2012-10-25,2012-11-12,2012-11-06,2012-10-19,0.33082,0.34115,0.36535,0.3172,0.40063
freemangrass,GR,0001,falling,gcc_mean,2013-12-10,2013-11-16,2013-10-23,2013-12-25,2013-11-19,2013-10-26,2013-11-28,2013-11-13,2013-10-20,0.32436,0.33405,0.34781,0.31831,0.37368
freemangrass,GR,0001,falling,gcc_mean,2012-11-15,2012-11-09,2012-10-25,2012-11-21,2012-11-12,2012-10-28,2012-11-12,2012-11-06,2012-10-22,0.33064,0.34147,0.36284,0.31638,0.40107
