#
# Transition date estimate for gatesofthemountains
#
# Site: gatesofthemountains
# Veg Type: GR
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:06:03
# Spline RMSE gcc_mean: 0.02922
# Spline RMSE gcc_50: 0.03061
# Spline RMSE gcc_75: 0.02899
# Spline RMSE gcc_90: 0.02723
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
gatesofthemountains,GR,0001,rising,gcc_90,2012-04-13,2012-06-03,2012-06-21,2012-03-23,2012-05-04,2012-06-12,2012-05-04,2012-06-09,2012-06-24,0.33545,0.3382,0.34517,0.33332,0.35256
gatesofthemountains,GR,0001,rising,gcc_90,2013-06-01,2013-06-07,2013-06-22,2013-05-26,2013-06-04,2013-06-13,2013-06-04,2013-06-10,2013-06-25,0.33673,0.34128,0.35511,0.3318,0.36863
gatesofthemountains,GR,0001,rising,gcc_90,2014-05-20,2014-05-29,2014-06-16,2014-05-14,2014-05-26,2014-06-10,2014-05-23,2014-06-01,2014-06-19,0.33834,0.34385,0.35309,0.33371,0.37052
gatesofthemountains,GR,0001,rising,gcc_90,2015-05-23,2015-05-29,2015-06-10,2015-04-08,2015-05-26,2015-06-04,2015-05-26,2015-06-01,2015-06-13,0.33574,0.33893,0.34782,0.33298,0.35589
gatesofthemountains,GR,0001,rising,gcc_75,2012-04-28,2012-06-03,2012-06-21,2012-03-17,2012-05-04,2012-06-12,2012-05-04,2012-06-09,2012-06-24,0.33467,0.33757,0.34469,0.33268,0.35201
gatesofthemountains,GR,0001,rising,gcc_75,2013-06-01,2013-06-07,2013-06-22,2013-05-26,2013-06-04,2013-06-13,2013-06-04,2013-06-10,2013-06-25,0.33634,0.34056,0.3545,0.33112,0.36773
gatesofthemountains,GR,0001,rising,gcc_75,2014-05-20,2014-05-29,2014-06-19,2014-05-14,2014-05-26,2014-06-10,2014-05-23,2014-06-01,2014-06-22,0.3374,0.34248,0.35332,0.33289,0.36915
gatesofthemountains,GR,0001,rising,gcc_75,2015-05-23,2015-05-29,2015-06-10,2015-04-08,2015-05-26,2015-06-04,2015-05-26,2015-06-01,2015-06-13,0.33491,0.33797,0.34685,0.33223,0.35453
gatesofthemountains,GR,0001,rising,gcc_50,2012-05-01,2012-06-06,2012-06-21,2012-03-23,2012-05-07,2012-06-12,2012-05-07,2012-06-09,2012-06-24,0.33417,0.33714,0.34371,0.33195,0.35048
gatesofthemountains,GR,0001,rising,gcc_50,2013-06-01,2013-06-07,2013-06-22,2013-05-26,2013-06-04,2013-06-13,2013-06-04,2013-06-10,2013-06-25,0.33509,0.33942,0.35333,0.33012,0.3665
gatesofthemountains,GR,0001,rising,gcc_50,2014-05-20,2014-05-29,2014-06-22,2014-05-14,2014-05-26,2014-06-13,2014-05-23,2014-06-01,2014-06-25,0.33618,0.34132,0.35216,0.33202,0.36665
gatesofthemountains,GR,0001,rising,gcc_50,2015-05-26,2015-06-01,2015-06-10,2015-04-11,2015-05-26,2015-06-04,2015-05-29,2015-06-04,2015-06-13,0.33494,0.33858,0.34563,0.3315,0.35342
gatesofthemountains,GR,0001,rising,gcc_mean,2012-04-28,2012-06-03,2012-06-21,2012-03-23,2012-05-04,2012-06-12,2012-05-04,2012-06-09,2012-06-24,0.33369,0.33639,0.34333,0.33181,0.34994
gatesofthemountains,GR,0001,rising,gcc_mean,2013-06-01,2013-06-10,2013-06-22,2013-05-26,2013-06-04,2013-06-16,2013-06-04,2013-06-13,2013-06-25,0.33466,0.34121,0.35205,0.32995,0.36508
gatesofthemountains,GR,0001,rising,gcc_mean,2014-05-20,2014-05-29,2014-06-22,2014-05-14,2014-05-26,2014-06-13,2014-05-23,2014-06-01,2014-06-25,0.3355,0.34049,0.352,0.33176,0.36597
gatesofthemountains,GR,0001,rising,gcc_mean,2015-05-26,2015-06-01,2015-06-10,2015-05-20,2015-05-26,2015-06-04,2015-05-29,2015-06-04,2015-06-13,0.33433,0.33789,0.34501,0.33125,0.35282
gatesofthemountains,GR,0001,falling,gcc_90,2015-08-24,2015-08-21,2015-08-12,2015-08-30,2015-08-24,2015-08-18,2015-08-21,2015-08-18,2015-08-09,0.33626,0.33957,0.34923,0.33175,0.35589
gatesofthemountains,GR,0001,falling,gcc_90,2014-09-14,2014-09-02,2014-08-18,2014-09-17,2014-09-08,2014-08-27,2014-09-11,2014-08-30,2014-08-15,0.33721,0.34251,0.35728,0.33298,0.37052
gatesofthemountains,GR,0001,falling,gcc_90,2013-09-20,2013-09-14,2013-08-27,2013-09-26,2013-09-17,2013-09-05,2013-09-17,2013-09-11,2013-08-24,0.33864,0.34286,0.35659,0.33371,0.36863
gatesofthemountains,GR,0001,falling,gcc_90,2012-09-07,2012-09-01,2012-08-17,2012-09-13,2012-09-07,2012-08-26,2012-09-04,2012-08-29,2012-08-14,0.33501,0.33782,0.34343,0.3318,0.35256
gatesofthemountains,GR,0001,falling,gcc_75,2015-08-27,2015-08-21,2015-08-12,2015-08-30,2015-08-27,2015-08-18,2015-08-24,2015-08-18,2015-08-09,0.33314,0.33882,0.34723,0.33072,0.35453
gatesofthemountains,GR,0001,falling,gcc_75,2014-09-14,2014-09-02,2014-08-18,2014-09-17,2014-09-08,2014-08-27,2014-09-11,2014-08-30,2014-08-15,0.33621,0.34239,0.35589,0.33223,0.36915
gatesofthemountains,GR,0001,falling,gcc_75,2013-09-20,2013-09-11,2013-08-27,2013-09-26,2013-09-17,2013-09-05,2013-09-17,2013-09-08,2013-08-24,0.3377,0.34348,0.35534,0.33289,0.36773
gatesofthemountains,GR,0001,falling,gcc_75,2012-09-07,2012-09-01,2012-08-14,2012-09-13,2012-09-07,2012-08-23,2012-09-04,2012-08-29,2012-08-11,0.33408,0.33692,0.34398,0.33112,0.35201
gatesofthemountains,GR,0001,falling,gcc_50,2015-08-24,2015-08-21,2015-08-12,2015-08-30,2015-08-24,2015-08-18,2015-08-21,2015-08-18,2015-08-09,0.33407,0.33698,0.34533,0.32953,0.35342
gatesofthemountains,GR,0001,falling,gcc_50,2014-09-14,2014-09-02,2014-08-18,2014-09-17,2014-09-08,2014-08-27,2014-09-11,2014-08-30,2014-08-15,0.33511,0.34106,0.35373,0.3315,0.36665
gatesofthemountains,GR,0001,falling,gcc_50,2013-09-20,2013-09-11,2013-08-27,2013-09-26,2013-09-14,2013-09-02,2013-09-17,2013-09-08,2013-08-24,0.33604,0.34116,0.35337,0.33202,0.3665
gatesofthemountains,GR,0001,falling,gcc_50,2012-09-07,2012-09-01,2012-08-17,2012-09-13,2012-09-07,2012-08-26,2012-09-04,2012-08-29,2012-08-14,0.33303,0.33569,0.34153,0.33012,0.35048
gatesofthemountains,GR,0001,falling,gcc_mean,2015-08-24,2015-08-21,2015-08-12,2015-08-30,2015-08-24,2015-08-18,2015-08-21,2015-08-18,2015-08-09,0.3337,0.33666,0.34482,0.32938,0.35282
gatesofthemountains,GR,0001,falling,gcc_mean,2014-09-11,2014-09-02,2014-08-21,2014-09-17,2014-09-08,2014-08-27,2014-09-08,2014-08-30,2014-08-18,0.33631,0.34113,0.35137,0.33125,0.36597
gatesofthemountains,GR,0001,falling,gcc_mean,2013-09-20,2013-09-11,2013-08-27,2013-09-26,2013-09-14,2013-09-05,2013-09-17,2013-09-08,2013-08-24,0.33553,0.34088,0.35265,0.33176,0.36508
gatesofthemountains,GR,0001,falling,gcc_mean,2012-09-07,2012-09-01,2012-08-17,2012-09-13,2012-09-07,2012-08-26,2012-09-04,2012-08-29,2012-08-14,0.3327,0.33541,0.34135,0.32995,0.34994
