#
# Transition date estimate for gcesapelo
#
# Site: gcesapelo
# Veg Type: WL
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2013
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:06:03
# Spline RMSE gcc_mean: 0.04364
# Spline RMSE gcc_50: 0.05105
# Spline RMSE gcc_75: 0.04198
# Spline RMSE gcc_90: 0.04431
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
gcesapelo,WL,0001,rising,gcc_90,2014-04-08,2014-05-05,2014-05-23,2014-04-02,2014-04-29,2014-05-14,2014-04-14,2014-05-08,2014-05-26,0.35381,0.36139,0.37401,0.34806,0.39729
gcesapelo,WL,0001,rising,gcc_90,2015-03-21,2015-04-14,2015-05-26,2015-03-12,2015-04-05,2015-05-17,2015-04-02,2015-04-17,2015-05-29,0.34249,0.35174,0.36697,0.33661,0.39397
gcesapelo,WL,0001,rising,gcc_75,2014-04-08,2014-05-05,2014-05-23,2014-04-02,2014-04-20,2014-05-14,2014-04-11,2014-05-08,2014-05-26,0.3527,0.35989,0.37125,0.34716,0.39213
gcesapelo,WL,0001,rising,gcc_75,2015-03-15,2015-04-11,2015-05-26,2015-03-06,2015-04-02,2015-05-14,2015-03-21,2015-04-14,2015-05-29,0.33952,0.3481,0.36411,0.33352,0.38869
gcesapelo,WL,0001,rising,gcc_50,2014-04-08,2014-04-26,2014-05-23,2014-04-02,2014-04-20,2014-05-14,2014-04-11,2014-04-29,2014-05-26,0.35068,0.35672,0.36804,0.34657,0.38443
gcesapelo,WL,0001,rising,gcc_50,2015-03-24,2015-04-17,2015-05-20,2015-03-18,2015-04-11,2015-05-11,2015-03-30,2015-04-20,2015-05-23,0.34055,0.34775,0.36021,0.33583,0.38128
gcesapelo,WL,0001,rising,gcc_mean,2014-04-14,2014-04-29,2014-05-23,2014-04-05,2014-04-23,2014-05-14,2014-04-17,2014-05-02,2014-05-26,0.3502,0.35597,0.3687,0.34506,0.38796
gcesapelo,WL,0001,rising,gcc_mean,2015-03-21,2015-04-11,2015-05-23,2015-03-12,2015-04-02,2015-05-14,2015-03-24,2015-04-14,2015-05-26,0.33926,0.34634,0.35879,0.33396,0.38106
gcesapelo,WL,0001,falling,gcc_90,2015-10-17,2015-10-08,2015-09-29,2015-11-19,2015-10-14,2015-10-08,2015-10-14,2015-10-05,2015-09-26,0.35145,0.36208,0.38074,0.34582,0.39397
gcesapelo,WL,0001,falling,gcc_90,2014-10-29,2014-10-20,2014-10-02,2014-11-04,2014-10-26,2014-10-08,2014-10-26,2014-10-14,2014-09-29,0.34381,0.35256,0.37427,0.33661,0.39729
gcesapelo,WL,0001,falling,gcc_90,2013-11-16,2013-11-01,2013-10-14,2013-11-28,2013-11-10,2013-10-23,2013-11-13,2013-10-29,2013-10-11,0.35243,0.36127,0.37809,0.34544,0.40363
gcesapelo,WL,0001,falling,gcc_75,2015-10-14,2015-10-08,2015-09-29,2015-11-16,2015-10-14,2015-10-05,2015-10-11,2015-10-05,2015-09-26,0.35231,0.35943,0.37562,0.34608,0.3897
gcesapelo,WL,0001,falling,gcc_75,2014-11-01,2014-10-23,2014-10-02,2014-11-10,2014-10-29,2014-10-11,2014-10-29,2014-10-20,2014-09-29,0.34098,0.34835,0.37033,0.33352,0.39213
gcesapelo,WL,0001,falling,gcc_75,2013-11-19,2013-11-04,2013-10-14,2013-11-28,2013-11-10,2013-10-23,2013-11-13,2013-10-29,2013-10-11,0.34973,0.35752,0.37596,0.34408,0.39744
gcesapelo,WL,0001,falling,gcc_50,2015-11-13,2015-10-29,2015-10-05,2015-11-19,2015-11-04,2015-10-14,2015-11-10,2015-10-26,2015-10-02,0.34557,0.35156,0.36327,0.34109,0.38128
gcesapelo,WL,0001,falling,gcc_50,2014-11-04,2014-10-23,2014-10-02,2014-11-10,2014-10-29,2014-10-11,2014-11-01,2014-10-20,2014-09-29,0.34207,0.34902,0.36373,0.33583,0.38443
gcesapelo,WL,0001,falling,gcc_50,2013-11-25,2013-11-10,2013-10-17,2013-12-01,2013-11-16,2013-10-26,2013-11-22,2013-11-07,2013-10-14,0.34791,0.35519,0.37051,0.34246,0.39041
gcesapelo,WL,0001,falling,gcc_mean,2015-11-04,2015-10-20,2015-10-02,2015-11-10,2015-10-26,2015-10-08,2015-10-29,2015-10-17,2015-09-29,0.34534,0.35152,0.36311,0.34102,0.38106
gcesapelo,WL,0001,falling,gcc_mean,2014-11-01,2014-10-20,2014-10-02,2014-11-07,2014-10-26,2014-10-08,2014-10-29,2014-10-17,2014-09-29,0.34092,0.34947,0.36376,0.33396,0.38796
gcesapelo,WL,0001,falling,gcc_mean,2013-11-19,2013-11-07,2013-10-17,2013-11-28,2013-11-13,2013-10-23,2013-11-16,2013-11-04,2013-10-14,0.34737,0.35353,0.36739,0.34167,0.3877
