#
# Transition date estimate for groundhog
#
# Site: groundhog
# Veg Type: DB
# ROI ID Number: 0002
# Aggregation period: 3
# Year min: 2012
# Year max: 2013
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:34
# Spline RMSE gcc_mean: 0.02087
# Spline RMSE gcc_50: 0.02153
# Spline RMSE gcc_75: 0.018
# Spline RMSE gcc_90: 0.01797
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
groundhog,DB,0002,rising,gcc_90,2012-05-10,2012-05-13,2012-05-22,2012-05-07,2012-05-10,2012-05-13,2012-05-13,2012-05-16,2012-05-25,0.3571,0.36504,0.39818,0.35057,0.4033
groundhog,DB,0002,rising,gcc_90,2013-05-02,2013-05-17,2013-05-26,2013-04-23,2013-05-11,2013-05-20,2013-05-11,2013-05-20,2013-05-29,0.35165,0.36285,0.38496,0.34561,0.4033
groundhog,DB,0002,rising,gcc_75,2012-05-10,2012-05-16,2012-05-22,2012-05-07,2012-05-10,2012-05-13,2012-05-13,2012-05-19,2012-05-25,0.35534,0.37364,0.39506,0.34972,0.40172
groundhog,DB,0002,rising,gcc_75,2013-05-02,2013-05-17,2013-05-26,2013-04-23,2013-05-14,2013-05-20,2013-05-08,2013-05-20,2013-05-29,0.35115,0.36043,0.38196,0.34433,0.40154
groundhog,DB,0002,rising,gcc_50,2012-05-10,2012-05-13,2012-05-22,2012-05-07,2012-05-10,2012-05-16,2012-05-13,2012-05-16,2012-05-25,0.35519,0.36201,0.39104,0.34814,0.39973
groundhog,DB,0002,rising,gcc_50,2013-04-29,2013-05-17,2013-05-26,2013-04-20,2013-05-11,2013-05-20,2013-05-05,2013-05-20,2013-05-29,0.34851,0.35862,0.37895,0.34198,0.39926
groundhog,DB,0002,rising,gcc_mean,2012-05-10,2012-05-13,2012-05-22,2012-05-07,2012-05-10,2012-05-13,2012-05-13,2012-05-16,2012-05-25,0.35514,0.36209,0.38936,0.34756,0.39779
groundhog,DB,0002,rising,gcc_mean,2013-04-29,2013-05-17,2013-05-26,2013-04-20,2013-05-11,2013-05-20,2013-05-08,2013-05-20,2013-05-29,0.34787,0.35777,0.3777,0.34156,0.39773
groundhog,DB,0002,falling,gcc_90,2013-10-08,2013-09-29,2013-09-17,2013-10-17,2013-10-05,2013-09-26,2013-10-05,2013-09-26,2013-09-14,0.35351,0.36402,0.38154,0.34701,0.4033
groundhog,DB,0002,falling,gcc_90,2012-10-10,2012-10-04,2012-09-25,2012-10-25,2012-10-07,2012-10-01,2012-10-07,2012-10-01,2012-09-22,0.35226,0.3632,0.38058,0.34561,0.4033
groundhog,DB,0002,falling,gcc_75,2013-10-08,2013-09-29,2013-09-17,2013-10-20,2013-10-05,2013-09-26,2013-10-05,2013-09-26,2013-09-14,0.35273,0.36281,0.38024,0.34581,0.40154
groundhog,DB,0002,falling,gcc_75,2012-10-10,2012-10-04,2012-09-25,2012-10-25,2012-10-07,2012-10-01,2012-10-07,2012-10-01,2012-09-22,0.35096,0.36139,0.37883,0.34433,0.40172
groundhog,DB,0002,falling,gcc_50,2013-10-11,2013-10-02,2013-09-17,2013-10-26,2013-10-05,2013-09-26,2013-10-08,2013-09-29,2013-09-14,0.35009,0.35758,0.37776,0.34354,0.39926
groundhog,DB,0002,falling,gcc_50,2012-10-10,2012-10-04,2012-09-22,2012-10-25,2012-10-07,2012-10-01,2012-10-07,2012-10-01,2012-09-19,0.34988,0.35914,0.37936,0.34198,0.39973
groundhog,DB,0002,falling,gcc_mean,2013-10-11,2013-10-02,2013-09-17,2013-10-23,2013-10-05,2013-09-26,2013-10-08,2013-09-29,2013-09-14,0.34947,0.3569,0.37638,0.34309,0.39773
groundhog,DB,0002,falling,gcc_mean,2012-10-10,2012-10-04,2012-09-22,2012-10-28,2012-10-07,2012-10-01,2012-10-07,2012-10-01,2012-09-19,0.34904,0.3586,0.37828,0.34156,0.39779
