#
# Transition date estimate for groundhog
#
# Site: groundhog
# Veg Type: EN
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2009
# Year max: 2013
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:06:03
# Spline RMSE gcc_mean: 0.06309
# Spline RMSE gcc_50: 0.06319
# Spline RMSE gcc_75: 0.05996
# Spline RMSE gcc_90: 0.0579
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
groundhog,EN,0001,rising,gcc_90,2009-03-09,2009-04-14,2009-04-29,2009-03-03,2009-04-11,2009-04-20,2009-03-12,2009-04-17,2009-05-02,0.33723,0.3449,0.36275,0.33128,0.38436
groundhog,EN,0001,rising,gcc_90,2010-03-03,2010-03-09,2010-04-02,2010-02-28,2010-03-06,2010-03-24,2010-03-06,2010-03-12,2010-04-05,0.33874,0.34524,0.35913,0.33304,0.38164
groundhog,EN,0001,rising,gcc_90,2011-03-18,2011-03-27,2011-05-02,2011-03-03,2011-03-03,2011-04-23,2011-04-14,2011-04-14,2011-05-05,0.34061,0.347,0.36228,0.33384,0.3824
groundhog,EN,0001,rising,gcc_90,2012-03-08,2012-03-11,2012-03-23,2012-03-02,2012-03-08,2012-03-14,2012-03-11,2012-03-14,2012-03-26,0.34216,0.34793,0.36632,0.33408,0.38546
groundhog,EN,0001,rising,gcc_90,2013-04-11,2013-04-23,2013-05-05,2013-03-30,2013-04-17,2013-04-29,2013-04-17,2013-04-26,2013-05-08,0.34501,0.35359,0.36682,0.3398,0.38697
groundhog,EN,0001,rising,gcc_75,2009-03-09,2009-04-14,2009-04-29,2009-02-28,2009-04-08,2009-04-20,2009-03-12,2009-04-17,2009-05-02,0.33636,0.34422,0.36125,0.32983,0.3827
groundhog,EN,0001,rising,gcc_75,2010-03-03,2010-03-12,2010-04-02,2010-02-25,2010-03-06,2010-03-24,2010-03-06,2010-03-15,2010-04-05,0.33768,0.34611,0.35812,0.33145,0.38063
groundhog,EN,0001,rising,gcc_75,2011-03-15,2011-03-30,2011-05-02,2011-03-03,2011-03-03,2011-04-23,2011-04-14,2011-04-14,2011-05-05,0.33891,0.34528,0.36152,0.33274,0.38124
groundhog,EN,0001,rising,gcc_75,2012-03-05,2012-03-11,2012-03-23,2012-03-02,2012-03-08,2012-03-17,2012-03-08,2012-03-14,2012-03-26,0.33927,0.34773,0.36407,0.33324,0.38424
groundhog,EN,0001,rising,gcc_75,2013-04-11,2013-04-23,2013-05-05,2013-03-30,2013-04-17,2013-04-29,2013-04-14,2013-04-26,2013-05-08,0.34418,0.35287,0.36534,0.33817,0.38586
