#
# Transition date estimate for harvard
#
# Site: harvard
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2008
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:06:04
# Spline RMSE gcc_mean: 0.07243
# Spline RMSE gcc_50: 0.06801
# Spline RMSE gcc_75: 0.071
# Spline RMSE gcc_90: 0.08092
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvard,DB,0001,rising,gcc_90,2008-05-07,2008-05-10,2008-05-19,2008-05-04,2008-05-07,2008-05-13,2008-05-10,2008-05-13,2008-05-22,0.38749,0.39701,0.43214,0.3785,0.44913
harvard,DB,0001,rising,gcc_90,2009-04-29,2009-05-05,2009-05-14,2009-04-23,2009-04-29,2009-05-08,2009-05-02,2009-05-08,2009-05-17,0.37986,0.3973,0.43219,0.36672,0.45673
harvard,DB,0001,rising,gcc_90,2010-04-23,2010-04-26,2010-05-05,2010-04-14,2010-04-23,2010-04-29,2010-04-26,2010-04-29,2010-05-08,0.38162,0.39061,0.42751,0.36821,0.45494
harvard,DB,0001,rising,gcc_90,2011-05-02,2011-05-08,2011-05-17,2011-04-26,2011-05-05,2011-05-11,2011-05-05,2011-05-11,2011-05-20,0.38027,0.39558,0.43565,0.36886,0.4588
harvard,DB,0001,rising,gcc_90,2012-04-22,2012-05-01,2012-05-10,2012-04-13,2012-04-28,2012-05-04,2012-04-25,2012-05-04,2012-05-13,0.38179,0.39603,0.43393,0.37152,0.46191
harvard,DB,0001,rising,gcc_90,2013-05-02,2013-05-05,2013-05-14,2013-04-26,2013-05-02,2013-05-08,2013-05-05,2013-05-08,2013-05-17,0.38737,0.39795,0.43942,0.37119,0.46512
harvard,DB,0001,rising,gcc_90,2014-05-08,2014-05-11,2014-05-20,2014-05-02,2014-05-08,2014-05-14,2014-05-11,2014-05-14,2014-05-23,0.38588,0.39751,0.44761,0.37192,0.47068
harvard,DB,0001,rising,gcc_90,2015-05-02,2015-05-08,2015-05-14,2015-04-29,2015-05-02,2015-05-08,2015-05-05,2015-05-11,2015-05-17,0.38176,0.40363,0.43031,0.37162,0.46172
harvard,DB,0001,rising,gcc_75,2008-05-07,2008-05-10,2008-05-19,2008-05-04,2008-05-07,2008-05-13,2008-05-10,2008-05-13,2008-05-22,0.38551,0.39469,0.4285,0.37687,0.44452
harvard,DB,0001,rising,gcc_75,2009-04-26,2009-05-05,2009-05-14,2009-04-23,2009-04-29,2009-05-08,2009-04-29,2009-05-08,2009-05-17,0.37417,0.39413,0.42856,0.36532,0.4523
