#
# Transition date estimate for harvardbarn2
#
# Site: harvardbarn2
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:35
# Spline RMSE gcc_mean: 0.03316
# Spline RMSE gcc_50: 0.03245
# Spline RMSE gcc_75: 0.03645
# Spline RMSE gcc_90: 0.03955
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvardbarn2,DB,0001,rising,gcc_90,2012-05-01,2012-05-04,2012-05-13,2012-04-28,2012-05-01,2012-05-04,2012-05-04,2012-05-07,2012-05-16,0.33062,0.3409,0.38738,0.32252,0.39457
harvardbarn2,DB,0001,rising,gcc_90,2013-05-05,2013-05-08,2013-05-14,2013-04-29,2013-05-05,2013-05-08,2013-05-08,2013-05-11,2013-05-17,0.3323,0.3477,0.38195,0.31268,0.41476
harvardbarn2,DB,0001,rising,gcc_90,2014-05-11,2014-05-14,2014-05-23,2014-05-08,2014-05-11,2014-05-17,2014-05-14,2014-05-17,2014-05-26,0.32782,0.33988,0.39384,0.31319,0.41289
harvardbarn2,DB,0001,rising,gcc_90,2015-05-05,2015-05-11,2015-05-17,2015-05-02,2015-05-05,2015-05-11,2015-05-08,2015-05-14,2015-05-20,0.32987,0.36148,0.39594,0.3179,0.42365
harvardbarn2,DB,0001,rising,gcc_75,2012-05-01,2012-05-07,2012-05-13,2012-04-28,2012-05-01,2012-05-07,2012-05-04,2012-05-10,2012-05-16,0.32853,0.35221,0.38242,0.32124,0.3909
harvardbarn2,DB,0001,rising,gcc_75,2013-05-05,2013-05-08,2013-05-14,2013-04-29,2013-05-05,2013-05-08,2013-05-08,2013-05-11,2013-05-17,0.3295,0.34433,0.37725,0.31047,0.4091
harvardbarn2,DB,0001,rising,gcc_75,2014-05-11,2014-05-14,2014-05-23,2014-05-08,2014-05-11,2014-05-17,2014-05-14,2014-05-17,2014-05-26,0.32598,0.33758,0.3902,0.31105,0.40835
harvardbarn2,DB,0001,rising,gcc_75,2015-05-05,2015-05-11,2015-05-17,2015-05-02,2015-05-05,2015-05-11,2015-05-08,2015-05-14,2015-05-20,0.32752,0.35804,0.39211,0.31652,0.41847
harvardbarn2,DB,0001,rising,gcc_50,2012-05-04,2012-05-07,2012-05-13,2012-04-28,2012-05-04,2012-05-07,2012-05-07,2012-05-10,2012-05-16,0.32993,0.34284,0.37378,0.31848,0.38562
harvardbarn2,DB,0001,rising,gcc_50,2013-05-05,2013-05-08,2013-05-17,2013-05-02,2013-05-05,2013-05-08,2013-05-08,2013-05-11,2013-05-20,0.32425,0.33845,0.38615,0.30801,0.403
harvardbarn2,DB,0001,rising,gcc_50,2014-05-11,2014-05-14,2014-05-23,2014-05-08,2014-05-11,2014-05-17,2014-05-14,2014-05-17,2014-05-26,0.3211,0.33215,0.38718,0.30846,0.40102
harvardbarn2,DB,0001,rising,gcc_50,2015-05-08,2015-05-11,2015-05-17,2015-05-02,2015-05-08,2015-05-11,2015-05-11,2015-05-14,2015-05-20,0.33467,0.35263,0.38733,0.31427,0.41086
harvardbarn2,DB,0001,rising,gcc_mean,2012-05-04,2012-05-07,2012-05-13,2012-04-28,2012-05-01,2012-05-07,2012-05-07,2012-05-10,2012-05-16,0.33144,0.34416,0.37273,0.31821,0.38319
harvardbarn2,DB,0001,rising,gcc_mean,2013-05-05,2013-05-08,2013-05-17,2013-04-29,2013-05-05,2013-05-08,2013-05-08,2013-05-11,2013-05-20,0.3243,0.33793,0.38163,0.30757,0.39875
harvardbarn2,DB,0001,rising,gcc_mean,2014-05-11,2014-05-14,2014-05-23,2014-05-05,2014-05-11,2014-05-14,2014-05-14,2014-05-17,2014-05-26,0.32259,0.33364,0.38331,0.30767,0.3979
harvardbarn2,DB,0001,rising,gcc_mean,2015-05-05,2015-05-11,2015-05-17,2015-05-02,2015-05-05,2015-05-11,2015-05-08,2015-05-14,2015-05-20,0.32338,0.35201,0.38453,0.31339,0.4086
harvardbarn2,DB,0001,falling,gcc_90,2015-10-20,2015-10-14,2015-10-02,2015-10-26,2015-10-17,2015-10-08,2015-10-17,2015-10-11,2015-09-29,0.33168,0.34571,0.38049,0.31835,0.42365
harvardbarn2,DB,0001,falling,gcc_90,2014-10-20,2014-10-14,2014-10-02,2014-10-23,2014-10-17,2014-10-11,2014-10-17,2014-10-11,2014-09-29,0.32896,0.34549,0.37897,0.3179,0.41289
harvardbarn2,DB,0001,falling,gcc_90,2013-10-17,2013-10-08,2013-09-20,2013-10-23,2013-10-14,2013-09-26,2013-10-14,2013-10-05,2013-09-17,0.32688,0.34345,0.37037,0.31319,0.41476
harvardbarn2,DB,0001,falling,gcc_90,2012-10-16,2012-10-13,2012-09-28,2012-10-22,2012-10-16,2012-10-07,2012-10-13,2012-10-10,2012-09-25,0.32723,0.3361,0.35971,0.31268,0.39312
harvardbarn2,DB,0001,falling,gcc_75,2015-10-20,2015-10-14,2015-10-02,2015-10-26,2015-10-17,2015-10-08,2015-10-17,2015-10-11,2015-09-29,0.32892,0.34276,0.37659,0.31634,0.41847
