#
# Transition date estimate for harvardbarn2
#
# Site: harvardbarn2
# Veg Type: EN
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:35
# Spline RMSE gcc_mean: 0.0479
# Spline RMSE gcc_50: 0.05573
# Spline RMSE gcc_75: 0.05296
# Spline RMSE gcc_90: 0.04572
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvardbarn2,EN,0001,rising,gcc_90,2013-05-02,2013-05-05,2013-05-14,2013-04-26,2013-04-29,2013-05-05,2013-05-05,2013-05-08,2013-05-17,0.39082,0.39426,0.40209,0.38626,0.41052
harvardbarn2,EN,0001,rising,gcc_90,2014-04-08,2014-04-11,2014-04-23,2014-04-02,2014-04-08,2014-04-17,2014-04-11,2014-04-14,2014-04-26,0.36121,0.36623,0.38604,0.35078,0.41093
harvardbarn2,EN,0001,rising,gcc_90,2015-04-11,2015-04-14,2015-04-26,2015-04-05,2015-04-11,2015-04-17,2015-04-14,2015-04-17,2015-04-29,0.35918,0.36657,0.3921,0.34833,0.41953
harvardbarn2,EN,0001,rising,gcc_75,2013-05-02,2013-05-05,2013-05-14,2013-04-26,2013-04-29,2013-05-05,2013-05-05,2013-05-08,2013-05-17,0.38669,0.38998,0.39736,0.38194,0.4061
harvardbarn2,EN,0001,rising,gcc_75,2014-04-08,2014-04-14,2014-04-26,2014-04-02,2014-04-08,2014-04-17,2014-04-11,2014-04-17,2014-04-29,0.35821,0.36734,0.38576,0.3489,0.40669
harvardbarn2,EN,0001,rising,gcc_75,2015-04-08,2015-04-14,2015-04-26,2015-04-02,2015-04-11,2015-04-17,2015-04-11,2015-04-17,2015-04-29,0.35007,0.36262,0.38758,0.34117,0.41482
harvardbarn2,EN,0001,rising,gcc_50,2013-05-02,2013-05-05,2013-05-14,2013-04-26,2013-04-29,2013-05-05,2013-05-05,2013-05-08,2013-05-17,0.38089,0.38423,0.39175,0.37628,0.40052
harvardbarn2,EN,0001,rising,gcc_50,2014-04-08,2014-04-11,2014-04-23,2014-04-02,2014-04-08,2014-04-14,2014-04-11,2014-04-14,2014-04-26,0.35419,0.35878,0.37819,0.3442,0.39968
harvardbarn2,EN,0001,rising,gcc_50,2015-04-08,2015-04-14,2015-04-26,2015-04-02,2015-04-08,2015-04-17,2015-04-11,2015-04-17,2015-04-29,0.3442,0.35719,0.38213,0.33357,0.40878
harvardbarn2,EN,0001,rising,gcc_mean,2013-05-02,2013-05-05,2013-05-17,2013-04-26,2013-04-29,2013-05-05,2013-05-05,2013-05-11,2013-05-23,0.37984,0.38241,0.38962,0.37571,0.3994
harvardbarn2,EN,0001,rising,gcc_mean,2014-04-05,2014-04-11,2014-04-23,2014-04-02,2014-04-08,2014-04-17,2014-04-08,2014-04-14,2014-04-26,0.34769,0.35725,0.37589,0.34196,0.399
harvardbarn2,EN,0001,rising,gcc_mean,2015-04-08,2015-04-14,2015-04-26,2015-04-02,2015-04-11,2015-04-17,2015-04-11,2015-04-17,2015-04-29,0.34283,0.35544,0.38022,0.3337,0.40636
