#
# Transition date estimate for harvardbarn
#
# Site: harvardbarn
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:35
# Spline RMSE gcc_mean: 0.02947
# Spline RMSE gcc_50: 0.02913
# Spline RMSE gcc_75: 0.03314
# Spline RMSE gcc_90: 0.03436
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvardbarn,DB,0001,rising,gcc_90,2012-05-01,2012-05-04,2012-05-13,2012-04-25,2012-05-01,2012-05-04,2012-05-04,2012-05-07,2012-05-16,0.32303,0.33268,0.37929,0.30996,0.38757
harvardbarn,DB,0001,rising,gcc_90,2013-05-05,2013-05-08,2013-05-14,2013-04-29,2013-05-02,2013-05-08,2013-05-08,2013-05-11,2013-05-17,0.31982,0.33239,0.36123,0.3028,0.38105
harvardbarn,DB,0001,rising,gcc_90,2014-05-08,2014-05-14,2014-05-20,2014-05-05,2014-05-08,2014-05-14,2014-05-11,2014-05-17,2014-05-23,0.31117,0.33422,0.36578,0.30018,0.39098
harvardbarn,DB,0001,rising,gcc_90,2015-05-02,2015-05-08,2015-05-14,2015-04-29,2015-05-02,2015-05-08,2015-05-05,2015-05-11,2015-05-17,0.31936,0.33728,0.36115,0.3113,0.3829
harvardbarn,DB,0001,rising,gcc_75,2012-05-01,2012-05-04,2012-05-13,2012-04-25,2012-05-01,2012-05-04,2012-05-04,2012-05-07,2012-05-16,0.32041,0.3295,0.37498,0.30764,0.38404
harvardbarn,DB,0001,rising,gcc_75,2013-05-05,2013-05-08,2013-05-14,2013-04-29,2013-05-02,2013-05-08,2013-05-08,2013-05-11,2013-05-17,0.31685,0.32899,0.35672,0.3006,0.37731
harvardbarn,DB,0001,rising,gcc_75,2014-05-08,2014-05-14,2014-05-20,2014-05-05,2014-05-08,2014-05-14,2014-05-11,2014-05-17,2014-05-23,0.30858,0.33149,0.36257,0.2975,0.38573
harvardbarn,DB,0001,rising,gcc_75,2015-05-02,2015-05-08,2015-05-14,2015-04-14,2015-05-02,2015-05-08,2015-05-05,2015-05-11,2015-05-17,0.31759,0.33515,0.35824,0.30739,0.38022
harvardbarn,DB,0001,rising,gcc_50,2012-05-01,2012-05-07,2012-05-13,2012-04-25,2012-05-01,2012-05-07,2012-05-04,2012-05-10,2012-05-16,0.31619,0.3365,0.36818,0.30644,0.37794
harvardbarn,DB,0001,rising,gcc_50,2013-05-05,2013-05-08,2013-05-14,2013-05-02,2013-05-05,2013-05-08,2013-05-08,2013-05-11,2013-05-17,0.31189,0.32462,0.35226,0.29789,0.37206
harvardbarn,DB,0001,rising,gcc_50,2014-05-08,2014-05-14,2014-05-20,2014-05-05,2014-05-11,2014-05-14,2014-05-11,2014-05-17,2014-05-23,0.30283,0.3252,0.35829,0.29385,0.38094
harvardbarn,DB,0001,rising,gcc_50,2015-05-02,2015-05-08,2015-05-14,2015-04-11,2015-05-02,2015-05-08,2015-05-05,2015-05-11,2015-05-17,0.31412,0.33091,0.3543,0.30385,0.37595
harvardbarn,DB,0001,rising,gcc_mean,2012-05-01,2012-05-04,2012-05-13,2012-04-25,2012-05-01,2012-05-07,2012-05-04,2012-05-07,2012-05-16,0.31619,0.32352,0.36615,0.30616,0.37488
harvardbarn,DB,0001,rising,gcc_mean,2013-05-05,2013-05-08,2013-05-14,2013-05-02,2013-05-05,2013-05-08,2013-05-08,2013-05-11,2013-05-17,0.31171,0.32447,0.35104,0.29679,0.36936
