#
# Transition date estimate for harvardbarn
#
# Site: harvardbarn
# Veg Type: EN
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:35
# Spline RMSE gcc_mean: 0.04166
# Spline RMSE gcc_50: 0.04194
# Spline RMSE gcc_75: 0.03614
# Spline RMSE gcc_90: 0.03549
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvardbarn,EN,0001,rising,gcc_90,2013-05-02,2013-05-05,2013-05-17,2013-04-26,2013-04-29,2013-05-08,2013-05-05,2013-05-08,2013-05-20,0.35493,0.35773,0.36823,0.35137,0.37514
harvardbarn,EN,0001,rising,gcc_90,2014-04-11,2014-04-17,2014-05-11,2014-04-05,2014-04-14,2014-05-02,2014-04-14,2014-04-20,2014-05-14,0.33298,0.34035,0.36037,0.32391,0.38779
harvardbarn,EN,0001,rising,gcc_90,2015-04-08,2015-04-11,2015-04-23,2015-04-02,2015-04-08,2015-04-14,2015-04-11,2015-04-14,2015-04-26,0.33514,0.34115,0.36085,0.3269,0.38166
harvardbarn,EN,0001,rising,gcc_75,2013-05-02,2013-05-05,2013-05-17,2013-04-26,2013-04-29,2013-05-08,2013-05-05,2013-05-08,2013-05-20,0.35188,0.35441,0.36418,0.34799,0.37242
harvardbarn,EN,0001,rising,gcc_75,2014-04-08,2014-04-17,2014-05-11,2014-04-02,2014-04-11,2014-05-02,2014-04-11,2014-04-20,2014-05-14,0.32686,0.33776,0.35626,0.31949,0.38431
harvardbarn,EN,0001,rising,gcc_75,2015-04-08,2015-04-11,2015-04-23,2015-04-02,2015-04-08,2015-04-14,2015-04-11,2015-04-14,2015-04-26,0.33198,0.33805,0.35764,0.32321,0.37868
harvardbarn,EN,0001,rising,gcc_50,2013-05-02,2013-05-05,2013-05-17,2013-04-26,2013-04-29,2013-05-08,2013-05-05,2013-05-11,2013-05-20,0.34808,0.35042,0.35836,0.34385,0.36855
harvardbarn,EN,0001,rising,gcc_50,2014-04-08,2014-04-17,2014-05-08,2014-04-02,2014-04-11,2014-04-29,2014-04-11,2014-04-20,2014-05-11,0.32289,0.33331,0.35102,0.31405,0.37944
harvardbarn,EN,0001,rising,gcc_50,2015-04-05,2015-04-11,2015-04-23,2015-03-30,2015-04-08,2015-04-14,2015-04-08,2015-04-14,2015-04-26,0.32442,0.33404,0.35253,0.31724,0.37521
harvardbarn,EN,0001,rising,gcc_mean,2013-05-02,2013-05-05,2013-05-20,2013-04-26,2013-04-29,2013-05-08,2013-05-05,2013-05-11,2013-05-23,0.34708,0.34916,0.35721,0.34317,0.36635
