#
# Transition date estimate for harvardblo
#
# Site: harvardblo
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2009
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:06:05
# Spline RMSE gcc_mean: 0.0545
# Spline RMSE gcc_50: 0.05945
# Spline RMSE gcc_75: 0.06736
# Spline RMSE gcc_90: 0.06864
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvardblo,DB,0001,rising,gcc_90,2010-04-29,2010-05-02,2010-05-08,2010-04-26,2010-04-29,2010-05-02,2010-05-02,2010-05-05,2010-05-11,0.36845,0.38155,0.41278,0.35537,0.42601
harvardblo,DB,0001,rising,gcc_90,2011-05-05,2011-05-08,2011-05-17,2011-05-02,2011-05-05,2011-05-08,2011-05-08,2011-05-11,2011-05-20,0.36048,0.37234,0.42281,0.34516,0.4342
harvardblo,DB,0001,rising,gcc_90,2012-04-25,2012-05-01,2012-05-10,2012-04-16,2012-04-28,2012-05-04,2012-04-28,2012-05-04,2012-05-13,0.35587,0.36874,0.41098,0.34585,0.42684
harvardblo,DB,0001,rising,gcc_90,2013-05-02,2013-05-05,2013-05-14,2013-04-29,2013-05-02,2013-05-08,2013-05-05,2013-05-08,2013-05-17,0.3589,0.37037,0.41893,0.3468,0.44095
harvardblo,DB,0001,rising,gcc_90,2014-05-11,2014-05-14,2014-05-20,2014-05-05,2014-05-11,2014-05-14,2014-05-14,2014-05-17,2014-05-23,0.36586,0.38031,0.41633,0.34806,0.43301
harvardblo,DB,0001,rising,gcc_90,2015-05-05,2015-05-08,2015-05-14,2015-04-29,2015-05-05,2015-05-08,2015-05-08,2015-05-11,2015-05-17,0.36683,0.38203,0.41904,0.34806,0.4418
harvardblo,DB,0001,rising,gcc_75,2010-04-29,2010-05-02,2010-05-08,2010-04-26,2010-04-29,2010-05-02,2010-05-02,2010-05-05,2010-05-11,0.3672,0.37979,0.40763,0.35419,0.41945
harvardblo,DB,0001,rising,gcc_75,2011-05-05,2011-05-08,2011-05-14,2011-04-29,2011-05-05,2011-05-08,2011-05-08,2011-05-11,2011-05-17,0.35909,0.37005,0.40066,0.34446,0.42654
harvardblo,DB,0001,rising,gcc_75,2012-04-22,2012-05-01,2012-05-10,2012-04-13,2012-04-28,2012-05-04,2012-04-28,2012-05-04,2012-05-13,0.35299,0.36727,0.40624,0.34525,0.41978
harvardblo,DB,0001,rising,gcc_75,2013-05-02,2013-05-05,2013-05-14,2013-04-29,2013-05-02,2013-05-08,2013-05-05,2013-05-08,2013-05-17,0.35801,0.36906,0.41343,0.34622,0.43204
