#
# Transition date estimate for harvardhemlock
#
# Site: harvardhemlock
# Veg Type: EN
# ROI ID Number: 0002
# Aggregation period: 1
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:06:05
# Spline RMSE gcc_mean: 0.04189
# Spline RMSE gcc_50: 0.04158
# Spline RMSE gcc_75: 0.04686
# Spline RMSE gcc_90: 0.05931
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvardhemlock,EN,0002,rising,gcc_90,2013-04-08,2013-04-20,2013-05-11,2013-03-30,2013-04-14,2013-05-02,2013-04-11,2013-04-23,2013-05-14,0.38425,0.38941,0.39952,0.38038,0.41288
harvardhemlock,EN,0002,rising,gcc_90,2014-03-30,2014-04-17,2014-05-11,2014-03-21,2014-04-08,2014-04-29,2014-04-05,2014-04-20,2014-05-14,0.37875,0.38491,0.39593,0.37482,0.41194
harvardhemlock,EN,0002,rising,gcc_90,2015-03-27,2015-04-08,2015-04-29,2015-03-21,2015-04-02,2015-04-20,2015-04-02,2015-04-14,2015-05-02,0.37808,0.38209,0.39025,0.37519,0.40232
harvardhemlock,EN,0002,rising,gcc_75,2013-04-05,2013-04-17,2013-05-08,2013-03-30,2013-04-11,2013-05-02,2013-04-08,2013-04-20,2013-05-11,0.38013,0.3848,0.39436,0.37646,0.40908
harvardhemlock,EN,0002,rising,gcc_75,2014-03-30,2014-04-14,2014-05-08,2014-03-21,2014-04-08,2014-04-29,2014-04-02,2014-04-17,2014-05-11,0.3759,0.38101,0.39127,0.37165,0.40782
harvardhemlock,EN,0002,rising,gcc_75,2015-03-30,2015-04-11,2015-04-29,2015-03-21,2015-04-05,2015-04-20,2015-04-02,2015-04-14,2015-05-02,0.37502,0.37931,0.38663,0.37185,0.39808
harvardhemlock,EN,0002,rising,gcc_50,2013-04-05,2013-04-17,2013-05-08,2013-03-30,2013-04-11,2013-04-29,2013-04-08,2013-04-20,2013-05-11,0.37508,0.37947,0.38831,0.372,0.39986
harvardhemlock,EN,0002,rising,gcc_50,2014-03-30,2014-04-14,2014-05-05,2014-03-24,2014-04-08,2014-04-26,2014-04-02,2014-04-17,2014-05-08,0.37109,0.37608,0.38488,0.36772,0.39791
harvardhemlock,EN,0002,rising,gcc_50,2015-03-27,2015-04-08,2015-04-29,2015-03-21,2015-04-02,2015-04-17,2015-04-02,2015-04-11,2015-05-02,0.36918,0.37278,0.38059,0.36675,0.39026
harvardhemlock,EN,0002,rising,gcc_mean,2013-04-08,2013-04-20,2013-05-11,2013-04-02,2013-04-14,2013-05-02,2013-04-11,2013-04-23,2013-05-14,0.37386,0.37799,0.38606,0.371,0.39594
harvardhemlock,EN,0002,rising,gcc_mean,2014-03-30,2014-04-11,2014-05-02,2014-03-21,2014-04-05,2014-04-26,2014-04-02,2014-04-17,2014-05-05,0.36966,0.37333,0.3813,0.36639,0.3936
harvardhemlock,EN,0002,rising,gcc_mean,2015-03-27,2015-04-08,2015-04-26,2015-03-21,2015-04-02,2015-04-17,2015-03-30,2015-04-11,2015-04-29,0.36827,0.37165,0.37763,0.36571,0.38714
harvardhemlock,EN,0002,falling,gcc_90,2015-11-10,2015-10-26,2015-10-02,2015-11-19,2015-11-04,2015-10-14,2015-11-01,2015-10-23,2015-09-29,0.38139,0.38532,0.39252,0.37898,0.40232
harvardhemlock,EN,0002,falling,gcc_90,2014-11-28,2014-11-10,2014-10-11,2014-12-07,2014-11-16,2014-10-20,2014-11-22,2014-11-04,2014-10-08,0.37942,0.38457,0.39486,0.37519,0.41194
harvardhemlock,EN,0002,falling,gcc_90,2013-11-22,2013-11-07,2013-10-11,2013-12-01,2013-11-13,2013-10-23,2013-11-19,2013-11-04,2013-10-08,0.37927,0.38454,0.39596,0.37482,0.41288
harvardhemlock,EN,0002,falling,gcc_90,2012-12-03,2012-11-18,2012-10-22,2012-12-12,2012-11-27,2012-11-03,2012-11-30,2012-11-15,2012-10-19,0.3805,0.38563,0.39509,0.37646,0.41012
harvardhemlock,EN,0002,falling,gcc_75,2015-11-10,2015-10-26,2015-10-05,2015-11-19,2015-11-04,2015-10-17,2015-11-04,2015-10-23,2015-10-02,0.37749,0.38164,0.38842,0.37514,0.39808
harvardhemlock,EN,0002,falling,gcc_75,2014-11-28,2014-11-07,2014-10-11,2014-12-07,2014-11-16,2014-10-20,2014-11-22,2014-11-04,2014-10-08,0.37561,0.38151,0.39129,0.37185,0.40782
harvardhemlock,EN,0002,falling,gcc_75,2013-11-22,2013-11-07,2013-10-11,2013-12-01,2013-11-13,2013-10-20,2013-11-19,2013-11-04,2013-10-08,0.37616,0.38133,0.39161,0.37165,0.40908
harvardhemlock,EN,0002,falling,gcc_75,2012-11-30,2012-11-15,2012-10-22,2012-12-09,2012-11-24,2012-10-31,2012-11-27,2012-11-12,2012-10-19,0.37705,0.38206,0.39064,0.37291,0.40567
harvardhemlock,EN,0002,falling,gcc_50,2015-11-13,2015-10-29,2015-10-05,2015-11-22,2015-11-07,2015-10-17,2015-11-07,2015-10-26,2015-10-02,0.37293,0.37609,0.38189,0.37083,0.39026
harvardhemlock,EN,0002,falling,gcc_50,2014-12-01,2014-11-13,2014-10-14,2014-12-10,2014-11-19,2014-10-23,2014-11-28,2014-11-10,2014-10-11,0.37036,0.37494,0.38411,0.36675,0.39791
harvardhemlock,EN,0002,falling,gcc_50,2013-11-25,2013-11-10,2013-10-14,2013-12-04,2013-11-16,2013-10-23,2013-11-22,2013-11-07,2013-10-11,0.37175,0.37614,0.38514,0.36772,0.39986
harvardhemlock,EN,0002,falling,gcc_50,2012-12-03,2012-11-18,2012-10-25,2012-12-12,2012-11-24,2012-11-03,2012-11-30,2012-11-15,2012-10-22,0.372,0.37672,0.38449,0.36832,0.39837
harvardhemlock,EN,0002,falling,gcc_mean,2015-11-13,2015-10-29,2015-10-08,2015-11-22,2015-11-07,2015-10-17,2015-11-07,2015-10-26,2015-10-05,0.37118,0.3742,0.379,0.36919,0.38714
harvardhemlock,EN,0002,falling,gcc_mean,2014-12-07,2014-11-19,2014-10-23,2014-12-16,2014-11-28,2014-11-01,2014-12-01,2014-11-16,2014-10-20,0.36877,0.37324,0.38065,0.36571,0.3936
harvardhemlock,EN,0002,falling,gcc_mean,2013-11-28,2013-11-10,2013-10-14,2013-12-04,2013-11-19,2013-10-26,2013-11-22,2013-11-07,2013-10-11,0.36953,0.37434,0.38283,0.36639,0.39594
harvardhemlock,EN,0002,falling,gcc_mean,2012-12-06,2012-11-21,2012-10-25,2012-12-12,2012-11-27,2012-11-06,2012-11-30,2012-11-18,2012-10-22,0.37041,0.3748,0.38275,0.36746,0.39548
