#
# Transition date estimate for harvardlph
#
# Site: harvardlph
# Veg Type: DB
# ROI ID Number: 0002
# Aggregation period: 1
# Year min: 2011
# Year max: 2014
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:06:05
# Spline RMSE gcc_mean: 0.05174
# Spline RMSE gcc_50: 0.05532
# Spline RMSE gcc_75: 0.05009
# Spline RMSE gcc_90: 0.04779
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvardlph,DB,0002,rising,gcc_90,2012-04-25,2012-05-04,2012-05-13,2012-04-19,2012-05-01,2012-05-07,2012-04-28,2012-05-07,2012-05-16,0.33073,0.34801,0.39376,0.31976,0.41584
harvardlph,DB,0002,rising,gcc_90,2013-05-02,2013-05-08,2013-05-14,2013-04-29,2013-05-02,2013-05-08,2013-05-05,2013-05-11,2013-05-17,0.33042,0.35902,0.3942,0.31866,0.42043
harvardlph,DB,0002,rising,gcc_90,2014-05-11,2014-05-14,2014-05-23,2014-05-08,2014-05-11,2014-05-14,2014-05-14,2014-05-17,2014-05-26,0.33951,0.35348,0.41187,0.32203,0.42791
harvardlph,DB,0002,rising,gcc_75,2012-04-25,2012-05-04,2012-05-13,2012-04-19,2012-05-01,2012-05-07,2012-04-28,2012-05-07,2012-05-16,0.32812,0.34581,0.39148,0.31693,0.41316
harvardlph,DB,0002,rising,gcc_75,2013-05-02,2013-05-05,2013-05-14,2013-04-29,2013-05-02,2013-05-08,2013-05-05,2013-05-08,2013-05-17,0.32908,0.34278,0.39146,0.3159,0.41501
harvardlph,DB,0002,rising,gcc_75,2014-05-11,2014-05-14,2014-05-20,2014-05-08,2014-05-11,2014-05-14,2014-05-14,2014-05-17,2014-05-23,0.33712,0.35106,0.38975,0.31966,0.42226
harvardlph,DB,0002,rising,gcc_50,2012-04-25,2012-05-04,2012-05-13,2012-04-19,2012-05-01,2012-05-07,2012-04-28,2012-05-07,2012-05-16,0.32493,0.34266,0.38682,0.31358,0.40698
harvardlph,DB,0002,rising,gcc_50,2013-05-02,2013-05-05,2013-05-14,2013-04-29,2013-05-02,2013-05-08,2013-05-05,2013-05-08,2013-05-17,0.32442,0.33798,0.38606,0.31159,0.40759
harvardlph,DB,0002,rising,gcc_50,2014-05-11,2014-05-14,2014-05-20,2014-05-08,2014-05-11,2014-05-14,2014-05-14,2014-05-17,2014-05-23,0.33328,0.34709,0.38507,0.31536,0.41506
harvardlph,DB,0002,rising,gcc_mean,2012-04-22,2012-05-04,2012-05-13,2012-04-16,2012-04-28,2012-05-07,2012-04-25,2012-05-07,2012-05-16,0.32256,0.34193,0.38426,0.31284,0.40325
harvardlph,DB,0002,rising,gcc_mean,2013-05-02,2013-05-05,2013-05-14,2013-04-29,2013-05-02,2013-05-08,2013-05-05,2013-05-08,2013-05-17,0.32484,0.33887,0.38479,0.31071,0.40473
harvardlph,DB,0002,rising,gcc_mean,2014-05-11,2014-05-14,2014-05-20,2014-05-05,2014-05-11,2014-05-14,2014-05-14,2014-05-17,2014-05-23,0.33346,0.3469,0.38388,0.31384,0.41232
harvardlph,DB,0002,falling,gcc_90,2014-10-17,2014-10-14,2014-10-05,2014-10-20,2014-10-17,2014-10-11,2014-10-14,2014-10-11,2014-10-02,0.35651,0.36952,0.3947,0.34566,0.42791
harvardlph,DB,0002,falling,gcc_90,2013-10-14,2013-10-08,2013-09-23,2013-10-17,2013-10-11,2013-09-29,2013-10-11,2013-10-05,2013-09-20,0.33382,0.35219,0.3763,0.32203,0.42043
harvardlph,DB,0002,falling,gcc_90,2012-10-16,2012-10-10,2012-10-04,2012-10-31,2012-10-31,2012-10-31,2012-09-16,2012-09-16,2012-09-16,0.33256,0.35665,0.37667,0.31867,0.41614
harvardlph,DB,0002,falling,gcc_90,2011-10-26,2011-10-23,2011-10-11,2011-11-01,2011-10-29,2011-10-20,2011-10-23,2011-10-20,2011-10-08,0.33539,0.34347,0.36739,0.31722,0.39989
harvardlph,DB,0002,falling,gcc_75,2014-10-17,2014-10-14,2014-10-05,2014-10-20,2014-10-17,2014-10-11,2014-10-14,2014-10-11,2014-10-02,0.35553,0.36839,0.39335,0.34498,0.42226
harvardlph,DB,0002,falling,gcc_75,2013-10-14,2013-10-08,2013-09-23,2013-10-17,2013-10-11,2013-09-29,2013-10-11,2013-10-05,2013-09-20,0.33152,0.34924,0.37278,0.31966,0.41501
harvardlph,DB,0002,falling,gcc_75,2012-10-16,2012-10-10,2012-10-04,2012-10-31,2012-10-31,2012-10-31,2012-09-16,2012-09-16,2012-09-16,0.3316,0.35485,0.37264,0.31596,0.41349
harvardlph,DB,0002,falling,gcc_75,2011-10-29,2011-10-23,2011-10-11,2011-11-01,2011-10-29,2011-10-20,2011-10-26,2011-10-20,2011-10-08,0.32315,0.34122,0.36408,0.3143,0.396
harvardlph,DB,0002,falling,gcc_50,2014-10-17,2014-10-14,2014-10-05,2014-10-20,2014-10-17,2014-10-11,2014-10-14,2014-10-11,2014-10-02,0.35399,0.3665,0.39123,0.34388,0.41506
harvardlph,DB,0002,falling,gcc_50,2013-10-14,2013-10-08,2013-09-23,2013-10-17,2013-10-14,2013-10-02,2013-10-11,2013-10-05,2013-09-20,0.32956,0.34628,0.36724,0.31536,0.40759
harvardlph,DB,0002,falling,gcc_50,2012-10-19,2012-10-13,2012-10-04,2012-10-31,2012-10-31,2012-10-31,2012-09-16,2012-09-16,2012-09-16,0.32285,0.33923,0.36875,0.31166,0.40737
harvardlph,DB,0002,falling,gcc_50,2011-10-29,2011-10-26,2011-10-14,2011-11-01,2011-10-29,2011-10-20,2011-10-26,2011-10-23,2011-10-11,0.32054,0.33045,0.35518,0.31005,0.38788
