#
# Transition date estimate for howland1
#
# Site: howland1
# Veg Type: EN
# ROI ID Number: 0002
# Aggregation period: 3
# Year min: 2008
# Year max: 2010
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:36
# Spline RMSE gcc_mean: 0.09924
# Spline RMSE gcc_50: 0.10731
# Spline RMSE gcc_75: 0.10862
# Spline RMSE gcc_90: 0.10673
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
howland1,EN,0002,rising,gcc_90,2009-05-05,2009-05-08,2009-05-23,2009-04-26,2009-04-29,2009-05-11,2009-05-08,2009-05-14,2009-05-29,0.4983,0.50034,0.50885,0.49379,0.51847
howland1,EN,0002,rising,gcc_75,2009-04-29,2009-05-05,2009-05-20,2009-04-20,2009-04-26,2009-05-08,2009-05-05,2009-05-11,2009-05-26,0.48373,0.48787,0.49698,0.4802,0.50853
howland1,EN,0002,rising,gcc_50,2009-04-26,2009-05-02,2009-05-17,2009-04-14,2009-04-23,2009-05-05,2009-05-02,2009-05-08,2009-05-23,0.4668,0.47064,0.47953,0.46254,0.49181
howland1,EN,0002,rising,gcc_mean,2009-04-29,2009-05-05,2009-05-20,2009-04-20,2009-04-26,2009-05-08,2009-05-05,2009-05-11,2009-05-26,0.46786,0.47158,0.47976,0.46473,0.49002
howland1,EN,0002,falling,gcc_90,2010-01-08,2009-12-07,2009-10-20,2010-01-23,2009-12-22,2009-11-04,2009-12-31,2009-11-28,2009-10-17,0.4501,0.46148,0.48275,0.44147,0.51785
howland1,EN,0002,falling,gcc_90,2008-11-21,2008-11-09,2008-10-13,2008-12-06,2008-11-18,2008-10-25,2008-11-15,2008-11-03,2008-10-07,0.47059,0.47791,0.493,0.46352,0.51893
howland1,EN,0002,falling,gcc_75,2010-01-02,2009-11-28,2009-10-17,2010-01-20,2009-12-16,2009-10-29,2009-12-19,2009-11-16,2009-10-11,0.44161,0.45317,0.47272,0.43359,0.50796
howland1,EN,0002,falling,gcc_75,2008-11-18,2008-11-06,2008-10-10,2008-12-03,2008-11-15,2008-10-25,2008-11-12,2008-10-31,2008-10-04,0.45851,0.46604,0.48102,0.45133,0.50638
howland1,EN,0002,falling,gcc_50,2010-01-02,2009-11-25,2009-10-11,2010-01-20,2009-12-13,2009-10-26,2009-12-19,2009-11-13,2009-10-05,0.42668,0.43767,0.45716,0.41895,0.4912
howland1,EN,0002,falling,gcc_50,2008-11-15,2008-11-03,2008-10-04,2008-11-27,2008-11-12,2008-10-19,2008-11-09,2008-10-25,2008-10-01,0.44015,0.44805,0.46533,0.43346,0.48984
howland1,EN,0002,falling,gcc_mean,2009-12-10,2009-11-10,2009-10-08,2009-12-28,2009-11-25,2009-10-20,2009-11-28,2009-11-01,2009-09-29,0.43433,0.44405,0.46019,0.4274,0.49002
howland1,EN,0002,falling,gcc_mean,2008-11-18,2008-11-06,2008-10-07,2008-11-27,2008-11-15,2008-10-22,2008-11-12,2008-10-28,2008-10-04,0.44043,0.44807,0.46473,0.43436,0.48895
