#
# Transition date estimate for howland2
#
# Site: howland2
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2010
# Year max: 2013
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:06:06
# Spline RMSE gcc_mean: 0.04619
# Spline RMSE gcc_50: 0.04627
# Spline RMSE gcc_75: 0.04578
# Spline RMSE gcc_90: 0.04603
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
howland2,DB,0001,rising,gcc_90,2011-05-23,2011-05-26,2011-06-04,2011-05-17,2011-05-23,2011-05-29,2011-05-26,2011-05-29,2011-06-07,0.34489,0.35086,0.37507,0.33863,0.38548
howland2,DB,0001,rising,gcc_90,2012-04-10,2012-05-16,2012-05-25,2012-03-17,2012-05-13,2012-05-19,2012-04-16,2012-05-19,2012-05-28,0.33695,0.34738,0.37643,0.33027,0.3876
howland2,DB,0001,rising,gcc_90,2013-04-17,2013-05-23,2013-06-04,2013-03-30,2013-05-20,2013-05-26,2013-04-20,2013-05-26,2013-06-07,0.33723,0.34445,0.37121,0.33125,0.38402
howland2,DB,0001,rising,gcc_75,2011-05-23,2011-05-26,2011-06-04,2011-05-17,2011-05-23,2011-05-29,2011-05-26,2011-05-29,2011-06-07,0.34438,0.35025,0.37415,0.33828,0.38397
howland2,DB,0001,rising,gcc_75,2012-04-10,2012-05-16,2012-05-25,2012-03-17,2012-05-13,2012-05-19,2012-04-13,2012-05-19,2012-05-28,0.33658,0.3467,0.37556,0.32948,0.38643
howland2,DB,0001,rising,gcc_75,2013-04-17,2013-05-26,2013-06-04,2013-03-30,2013-05-20,2013-05-26,2013-04-20,2013-05-29,2013-06-07,0.33672,0.34868,0.37027,0.33106,0.38308
howland2,DB,0001,rising,gcc_50,2011-05-23,2011-05-26,2011-06-04,2011-05-17,2011-05-23,2011-05-29,2011-05-26,2011-05-29,2011-06-07,0.34323,0.34889,0.37243,0.3376,0.38176
howland2,DB,0001,rising,gcc_50,2012-03-26,2012-05-16,2012-05-25,2012-03-14,2012-05-13,2012-05-16,2012-04-13,2012-05-19,2012-05-28,0.33407,0.3457,0.37411,0.3281,0.3835
howland2,DB,0001,rising,gcc_50,2013-04-17,2013-05-26,2013-06-04,2013-03-30,2013-05-20,2013-05-26,2013-04-20,2013-05-29,2013-06-07,0.33609,0.34771,0.36906,0.33003,0.38086
howland2,DB,0001,rising,gcc_mean,2011-05-23,2011-05-26,2011-06-04,2011-05-17,2011-05-23,2011-05-29,2011-05-26,2011-05-29,2011-06-07,0.34308,0.34877,0.37231,0.33664,0.38184
howland2,DB,0001,rising,gcc_mean,2012-03-26,2012-05-16,2012-05-25,2012-03-14,2012-05-13,2012-05-16,2012-04-13,2012-05-19,2012-05-28,0.33406,0.34573,0.37422,0.32799,0.38357
howland2,DB,0001,rising,gcc_mean,2013-04-17,2013-05-23,2013-06-01,2013-03-27,2013-05-17,2013-05-26,2013-04-20,2013-05-26,2013-06-04,0.33581,0.34292,0.36228,0.32964,0.38078
howland2,DB,0001,falling,gcc_90,2013-09-20,2013-09-17,2013-09-08,2013-09-26,2013-09-23,2013-09-17,2013-09-17,2013-09-14,2013-09-05,0.34015,0.3475,0.36467,0.32786,0.38402
howland2,DB,0001,falling,gcc_90,2012-09-22,2012-09-19,2012-09-13,2012-09-25,2012-09-22,2012-09-19,2012-09-19,2012-09-16,2012-09-10,0.33906,0.35414,0.37006,0.33125,0.3876
howland2,DB,0001,falling,gcc_90,2011-09-26,2011-09-23,2011-09-11,2011-09-29,2011-09-26,2011-09-17,2011-09-23,2011-09-20,2011-09-08,0.33874,0.34411,0.3617,0.33027,0.38548
howland2,DB,0001,falling,gcc_90,2010-09-29,2010-09-26,2010-09-17,2010-10-02,2010-09-29,2010-09-26,2010-09-26,2010-09-23,2010-09-14,0.34019,0.34752,0.36501,0.33234,0.37888
howland2,DB,0001,falling,gcc_75,2013-09-20,2013-09-17,2013-09-08,2013-09-26,2013-09-23,2013-09-17,2013-09-17,2013-09-14,2013-09-05,0.33936,0.34674,0.36369,0.32688,0.38308
howland2,DB,0001,falling,gcc_75,2012-09-22,2012-09-19,2012-09-13,2012-09-25,2012-09-22,2012-09-19,2012-09-19,2012-09-16,2012-09-10,0.3381,0.35351,0.36915,0.33106,0.38643
howland2,DB,0001,falling,gcc_75,2011-09-26,2011-09-23,2011-09-11,2011-10-02,2011-09-26,2011-09-17,2011-09-23,2011-09-20,2011-09-08,0.33826,0.34357,0.36105,0.32948,0.38397
howland2,DB,0001,falling,gcc_75,2010-09-29,2010-09-26,2010-09-17,2010-10-05,2010-10-02,2010-09-26,2010-09-26,2010-09-23,2010-09-14,0.34068,0.34725,0.36416,0.33146,0.37771
howland2,DB,0001,falling,gcc_50,2013-09-20,2013-09-17,2013-09-08,2013-09-23,2013-09-23,2013-09-17,2013-09-17,2013-09-14,2013-09-05,0.33794,0.3458,0.36292,0.32538,0.38086
howland2,DB,0001,falling,gcc_50,2012-09-22,2012-09-19,2012-09-13,2012-09-25,2012-09-22,2012-09-19,2012-09-19,2012-09-16,2012-09-10,0.33693,0.3526,0.36787,0.33003,0.3835
howland2,DB,0001,falling,gcc_50,2011-09-26,2011-09-23,2011-09-11,2011-10-02,2011-09-26,2011-09-20,2011-09-23,2011-09-20,2011-09-08,0.33746,0.34264,0.35976,0.3281,0.38176
howland2,DB,0001,falling,gcc_50,2010-09-29,2010-09-26,2010-09-17,2010-10-05,2010-10-02,2010-09-26,2010-09-26,2010-09-23,2010-09-14,0.33964,0.34621,0.36291,0.33056,0.37494
howland2,DB,0001,falling,gcc_mean,2013-09-20,2013-09-17,2013-09-08,2013-09-23,2013-09-23,2013-09-17,2013-09-17,2013-09-14,2013-09-05,0.33768,0.34561,0.36267,0.32522,0.38078
howland2,DB,0001,falling,gcc_mean,2012-09-22,2012-09-19,2012-09-13,2012-09-25,2012-09-22,2012-09-19,2012-09-19,2012-09-16,2012-09-10,0.33688,0.35244,0.36788,0.32964,0.38357
howland2,DB,0001,falling,gcc_mean,2011-09-26,2011-09-23,2011-09-11,2011-10-02,2011-09-26,2011-09-17,2011-09-23,2011-09-20,2011-09-08,0.3372,0.34243,0.35969,0.32799,0.38184
howland2,DB,0001,falling,gcc_mean,2010-09-29,2010-09-26,2010-09-17,2010-10-02,2010-09-29,2010-09-26,2010-09-26,2010-09-23,2010-09-14,0.33803,0.34532,0.36279,0.3303,0.37553
