#
# Transition date estimate for hubbardbrook
#
# Site: hubbardbrook
# Veg Type: DB
# ROI ID Number: 0002
# Aggregation period: 1
# Year min: 2011
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:06:06
# Spline RMSE gcc_mean: 0.03326
# Spline RMSE gcc_50: 0.03636
# Spline RMSE gcc_75: 0.04093
# Spline RMSE gcc_90: 0.03909
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
hubbardbrook,DB,0002,rising,gcc_90,2011-05-08,2011-05-11,2011-05-17,2011-05-05,2011-05-05,2011-05-11,2011-05-11,2011-05-14,2011-05-20,0.37594,0.38338,0.40109,0.36817,0.40354
hubbardbrook,DB,0002,rising,gcc_90,2012-04-16,2012-04-25,2012-05-07,2012-04-10,2012-04-19,2012-05-01,2012-04-19,2012-04-28,2012-05-10,0.36389,0.37268,0.39151,0.35656,0.41085
hubbardbrook,DB,0002,rising,gcc_90,2013-04-29,2013-05-02,2013-05-11,2013-04-26,2013-04-29,2013-05-05,2013-05-02,2013-05-05,2013-05-14,0.36327,0.3713,0.39827,0.35616,0.4109
hubbardbrook,DB,0002,rising,gcc_90,2014-05-08,2014-05-11,2014-05-20,2014-05-02,2014-05-08,2014-05-11,2014-05-11,2014-05-14,2014-05-23,0.36653,0.37367,0.40046,0.3555,0.41031
hubbardbrook,DB,0002,rising,gcc_90,2015-05-02,2015-05-05,2015-05-14,2015-04-29,2015-05-02,2015-05-08,2015-05-05,2015-05-08,2015-05-17,0.36368,0.36996,0.39586,0.35626,0.4088
hubbardbrook,DB,0002,rising,gcc_75,2011-05-08,2011-05-11,2011-05-17,2011-05-05,2011-05-05,2011-05-11,2011-05-11,2011-05-14,2011-05-20,0.37474,0.38193,0.39895,0.36721,0.40087
hubbardbrook,DB,0002,rising,gcc_75,2012-04-16,2012-04-25,2012-05-07,2012-04-10,2012-04-19,2012-05-01,2012-04-19,2012-04-28,2012-05-10,0.36309,0.37159,0.38984,0.35563,0.40826
hubbardbrook,DB,0002,rising,gcc_75,2013-04-29,2013-05-02,2013-05-11,2013-04-26,2013-04-29,2013-05-05,2013-05-02,2013-05-05,2013-05-14,0.36252,0.37021,0.39625,0.35534,0.40797
hubbardbrook,DB,0002,rising,gcc_75,2014-05-08,2014-05-11,2014-05-20,2014-05-02,2014-05-08,2014-05-11,2014-05-11,2014-05-14,2014-05-23,0.36549,0.37249,0.39843,0.35479,0.40666
hubbardbrook,DB,0002,rising,gcc_75,2015-05-02,2015-05-05,2015-05-14,2015-04-26,2015-05-02,2015-05-08,2015-05-05,2015-05-08,2015-05-17,0.36246,0.36855,0.39352,0.35518,0.40581
