#
# Transition date estimate for hubbardbrooksfws
#
# Site: hubbardbrooksfws
# Veg Type: DB
# ROI ID Number: 0002
# Aggregation period: 3
# Year min: 2013
# Year max: 2014
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:38
# Spline RMSE gcc_mean: 0.01536
# Spline RMSE gcc_50: 0.01616
# Spline RMSE gcc_75: 0.01236
# Spline RMSE gcc_90: 0.00698
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
hubbardbrooksfws,DB,0002,rising,gcc_90,2013-05-23,2013-05-26,2013-06-01,2013-05-17,2013-05-20,2013-05-26,2013-05-26,2013-05-29,2013-06-04,0.34866,0.35789,0.37431,0.33864,0.38205
hubbardbrooksfws,DB,0002,rising,gcc_90,2014-05-02,2014-05-26,2014-06-04,2014-04-23,2014-05-23,2014-05-29,2014-05-26,2014-05-29,2014-06-07,0.34337,0.35146,0.3746,0.33836,0.38779
hubbardbrooksfws,DB,0002,rising,gcc_75,2013-05-17,2013-05-23,2013-06-01,2013-05-14,2013-05-20,2013-05-26,2013-05-20,2013-05-26,2013-06-04,0.34197,0.35133,0.36748,0.33733,0.38015
hubbardbrooksfws,DB,0002,rising,gcc_75,2014-05-17,2014-05-23,2014-06-04,2014-04-23,2014-04-23,2014-05-29,2014-05-26,2014-05-26,2014-06-07,0.34257,0.3494,0.36807,0.33736,0.38534
hubbardbrooksfws,DB,0002,rising,gcc_50,2013-05-20,2013-05-23,2013-06-01,2013-05-14,2013-05-20,2013-05-26,2013-05-23,2013-05-26,2013-06-04,0.34368,0.34867,0.36377,0.33606,0.37621
hubbardbrooksfws,DB,0002,rising,gcc_50,2014-05-17,2014-05-23,2014-06-04,2014-04-23,2014-04-23,2014-05-26,2014-05-26,2014-05-26,2014-06-07,0.34141,0.34773,0.36466,0.33594,0.37996
hubbardbrooksfws,DB,0002,rising,gcc_mean,2013-05-17,2013-05-23,2013-06-01,2013-05-14,2013-05-20,2013-05-23,2013-05-20,2013-05-26,2013-06-04,0.33994,0.34802,0.3621,0.33585,0.37366
hubbardbrooksfws,DB,0002,rising,gcc_mean,2014-05-02,2014-05-23,2014-06-04,2014-04-23,2014-04-23,2014-05-26,2014-05-26,2014-05-26,2014-06-07,0.34022,0.3485,0.36486,0.33571,0.37938
hubbardbrooksfws,DB,0002,falling,gcc_90,2013-09-17,2013-08-30,2013-08-03,2013-09-23,2013-09-08,2013-08-15,2013-09-14,2013-08-27,2013-07-31,0.34363,0.35198,0.36314,0.33897,0.38205
hubbardbrooksfws,DB,0002,falling,gcc_75,2013-09-17,2013-09-02,2013-08-06,2013-09-23,2013-09-08,2013-08-18,2013-09-11,2013-08-30,2013-08-03,0.34214,0.34973,0.36084,0.33778,0.38015
hubbardbrooksfws,DB,0002,falling,gcc_50,2013-09-14,2013-09-05,2013-08-09,2013-09-26,2013-09-11,2013-08-21,2013-09-11,2013-08-30,2013-08-03,0.3414,0.34653,0.35706,0.3364,0.37621
hubbardbrooksfws,DB,0002,falling,gcc_mean,2013-09-17,2013-09-05,2013-08-09,2013-09-29,2013-09-11,2013-08-21,2013-09-14,2013-09-02,2013-08-03,0.34036,0.3465,0.35581,0.33595,0.37366
