#
# Transition date estimate for ibp
#
# Site: ibp
# Veg Type: SH
# ROI ID Number: 0002
# Aggregation period: 3
# Year min: 2014
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:38
# Spline RMSE gcc_mean: 0.01227
# Spline RMSE gcc_50: 0.01256
# Spline RMSE gcc_75: 0.01255
# Spline RMSE gcc_90: 0.01296
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
ibp,SH,0002,rising,gcc_90,2014-04-20,2014-04-26,2014-05-08,2014-04-14,2014-04-23,2014-05-02,2014-04-23,2014-04-29,2014-05-11,0.33747,0.34464,0.35862,0.33222,0.37587
ibp,SH,0002,rising,gcc_90,2015-05-14,2015-05-17,2015-05-26,2015-05-08,2015-05-14,2015-05-20,2015-05-17,2015-05-20,2015-05-29,0.35055,0.35713,0.37818,0.34014,0.39376
ibp,SH,0002,rising,gcc_75,2014-04-20,2014-04-26,2014-05-08,2014-04-14,2014-04-23,2014-05-02,2014-04-23,2014-04-29,2014-05-11,0.33602,0.34303,0.35667,0.33096,0.37416
ibp,SH,0002,rising,gcc_75,2015-05-14,2015-05-17,2015-05-26,2015-05-08,2015-05-14,2015-05-20,2015-05-17,2015-05-20,2015-05-29,0.34891,0.35531,0.37606,0.33952,0.39248
ibp,SH,0002,rising,gcc_50,2014-04-20,2014-04-26,2014-05-08,2014-04-14,2014-04-23,2014-05-02,2014-04-23,2014-04-29,2014-05-11,0.33423,0.3407,0.35384,0.32907,0.37246
ibp,SH,0002,rising,gcc_50,2015-05-14,2015-05-17,2015-05-26,2015-05-08,2015-05-14,2015-05-20,2015-05-17,2015-05-20,2015-05-29,0.34679,0.35302,0.3736,0.33732,0.39076
ibp,SH,0002,rising,gcc_mean,2014-04-20,2014-04-29,2014-05-11,2014-04-14,2014-04-23,2014-05-02,2014-04-23,2014-05-02,2014-05-14,0.33359,0.34264,0.35555,0.3287,0.3721
ibp,SH,0002,rising,gcc_mean,2015-05-14,2015-05-17,2015-05-26,2015-05-08,2015-05-14,2015-05-20,2015-05-17,2015-05-20,2015-05-29,0.34652,0.35278,0.37357,0.33746,0.3907
ibp,SH,0002,falling,gcc_90,2015-11-22,2015-11-13,2015-10-23,2015-11-28,2015-11-19,2015-11-01,2015-11-19,2015-11-10,2015-10-20,0.34658,0.35484,0.36917,0.33915,0.39376
ibp,SH,0002,falling,gcc_90,2014-12-07,2014-11-25,2014-11-04,2014-12-13,2014-12-01,2014-11-13,2014-12-04,2014-11-22,2014-11-01,0.34473,0.34993,0.36032,0.34014,0.37587
ibp,SH,0002,falling,gcc_75,2015-11-22,2015-11-13,2015-10-23,2015-11-28,2015-11-19,2015-11-01,2015-11-19,2015-11-10,2015-10-20,0.34557,0.35395,0.36733,0.33828,0.39248
ibp,SH,0002,falling,gcc_75,2014-12-07,2014-11-25,2014-11-04,2014-12-13,2014-12-04,2014-11-13,2014-12-04,2014-11-22,2014-11-01,0.34412,0.34934,0.35972,0.33952,0.37416
ibp,SH,0002,falling,gcc_50,2015-11-22,2015-11-13,2015-10-23,2015-11-28,2015-11-19,2015-11-01,2015-11-19,2015-11-10,2015-10-20,0.34403,0.35249,0.36574,0.33701,0.39076
ibp,SH,0002,falling,gcc_50,2014-12-10,2014-11-28,2014-11-07,2014-12-16,2014-12-04,2014-11-16,2014-12-07,2014-11-25,2014-11-04,0.34137,0.34668,0.35747,0.33732,0.37246
ibp,SH,0002,falling,gcc_mean,2015-11-22,2015-11-13,2015-10-23,2015-11-28,2015-11-19,2015-11-01,2015-11-19,2015-11-10,2015-10-20,0.34371,0.35219,0.36588,0.33626,0.3907
ibp,SH,0002,falling,gcc_mean,2014-12-10,2014-11-28,2014-11-07,2014-12-16,2014-12-04,2014-11-16,2014-12-07,2014-11-25,2014-11-04,0.3413,0.34667,0.35706,0.33746,0.3721
