#
# Transition date estimate for imcrkridge0
#
# Site: imcrkridge0
# Veg Type: TN
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2013
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:06:06
# Spline RMSE gcc_mean: 0.03568
# Spline RMSE gcc_50: 0.03644
# Spline RMSE gcc_75: 0.03614
# Spline RMSE gcc_90: 0.03524
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
imcrkridge0,TN,0001,falling,gcc_90,2015-08-21,2015-08-15,2015-08-03,2015-08-27,2015-08-21,2015-08-12,2015-08-18,2015-08-12,2015-07-31,0.35513,0.36011,0.37104,0.35018,0.38206
imcrkridge0,TN,0001,falling,gcc_90,2014-08-27,2014-08-21,2014-08-09,2014-09-02,2014-08-27,2014-08-15,2014-08-24,2014-08-18,2014-08-06,0.35536,0.35965,0.37028,0.35064,0.3839
imcrkridge0,TN,0001,falling,gcc_90,2013-08-24,2013-08-21,2013-08-12,2013-09-02,2013-08-27,2013-08-21,2013-08-21,2013-08-18,2013-08-09,0.35677,0.36007,0.36785,0.35107,0.37574
imcrkridge0,TN,0001,falling,gcc_75,2015-08-24,2015-08-18,2015-08-06,2015-08-30,2015-08-21,2015-08-12,2015-08-21,2015-08-15,2015-08-03,0.35177,0.35632,0.36621,0.34802,0.37862
imcrkridge0,TN,0001,falling,gcc_75,2014-08-27,2014-08-21,2014-08-09,2014-09-05,2014-08-27,2014-08-15,2014-08-24,2014-08-18,2014-08-06,0.35348,0.3573,0.3675,0.34884,0.38052
imcrkridge0,TN,0001,falling,gcc_75,2013-08-27,2013-08-24,2013-08-15,2013-09-02,2013-08-27,2013-08-21,2013-08-24,2013-08-21,2013-08-12,0.35179,0.35537,0.36348,0.34849,0.37294
imcrkridge0,TN,0001,falling,gcc_50,2015-08-24,2015-08-18,2015-08-06,2015-08-30,2015-08-24,2015-08-15,2015-08-21,2015-08-15,2015-08-03,0.34971,0.35403,0.36349,0.34637,0.37254
imcrkridge0,TN,0001,falling,gcc_50,2014-08-30,2014-08-24,2014-08-09,2014-09-05,2014-08-27,2014-08-18,2014-08-27,2014-08-21,2014-08-06,0.34998,0.35346,0.36286,0.34647,0.37434
imcrkridge0,TN,0001,falling,gcc_50,2013-08-27,2013-08-24,2013-08-12,2013-09-02,2013-08-30,2013-08-21,2013-08-24,2013-08-21,2013-08-09,0.35004,0.35309,0.36167,0.3467,0.36925
imcrkridge0,TN,0001,falling,gcc_mean,2015-08-24,2015-08-18,2015-08-06,2015-08-30,2015-08-24,2015-08-15,2015-08-21,2015-08-15,2015-08-03,0.34934,0.35339,0.36229,0.34637,0.37124
imcrkridge0,TN,0001,falling,gcc_mean,2014-08-30,2014-08-21,2014-08-06,2014-09-05,2014-08-27,2014-08-15,2014-08-27,2014-08-18,2014-08-03,0.34969,0.35388,0.36208,0.34656,0.37338
imcrkridge0,TN,0001,falling,gcc_mean,2013-08-24,2013-08-21,2013-08-12,2013-08-30,2013-08-27,2013-08-21,2013-08-21,2013-08-18,2013-08-09,0.352,0.35408,0.35972,0.34688,0.36759
