#
# Transition date estimate for jernort
#
# Site: jernort
# Veg Type: SH
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2014
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:06:07
# Spline RMSE gcc_mean: 0.01086
# Spline RMSE gcc_50: 0.01116
# Spline RMSE gcc_75: 0.01316
# Spline RMSE gcc_90: 0.01454
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
jernort,SH,0001,rising,gcc_90,2014-04-17,2014-04-26,2014-05-08,2014-04-11,2014-04-17,2014-04-29,2014-04-20,2014-05-02,2014-05-11,0.32711,0.33074,0.33861,0.32429,0.34619
jernort,SH,0001,rising,gcc_90,2015-04-02,2015-04-11,2015-05-29,2015-03-27,2015-04-05,2015-05-20,2015-04-05,2015-04-14,2015-06-01,0.33345,0.3373,0.34457,0.32924,0.35879
jernort,SH,0001,rising,gcc_75,2014-04-17,2014-04-26,2014-05-08,2014-04-11,2014-04-17,2014-04-29,2014-04-20,2014-05-02,2014-05-11,0.32556,0.32905,0.33672,0.32323,0.34451
jernort,SH,0001,rising,gcc_75,2015-03-30,2015-04-11,2015-05-29,2015-03-27,2015-04-05,2015-05-20,2015-04-02,2015-04-14,2015-06-01,0.33048,0.33604,0.34336,0.3274,0.35781
jernort,SH,0001,rising,gcc_50,2014-04-20,2014-04-26,2014-05-08,2014-04-17,2014-04-17,2014-05-02,2014-05-02,2014-05-02,2014-05-11,0.32502,0.32787,0.33492,0.32234,0.34311
jernort,SH,0001,rising,gcc_50,2015-04-02,2015-04-11,2015-05-29,2015-03-27,2015-04-05,2015-05-20,2015-04-05,2015-04-14,2015-06-01,0.33083,0.33529,0.34239,0.32643,0.35688
jernort,SH,0001,rising,gcc_mean,2014-04-20,2014-04-26,2014-05-08,2014-04-17,2014-04-17,2014-05-02,2014-05-02,2014-05-02,2014-05-11,0.32523,0.32815,0.33543,0.32255,0.34369
jernort,SH,0001,rising,gcc_mean,2015-04-02,2015-04-08,2015-05-29,2015-03-27,2015-04-05,2015-05-20,2015-04-05,2015-04-11,2015-06-01,0.33124,0.33454,0.34285,0.32676,0.35726
jernort,SH,0001,falling,gcc_90,2015-11-25,2015-11-16,2015-10-26,2015-11-28,2015-11-22,2015-11-04,2015-11-22,2015-11-13,2015-10-23,0.33996,0.34373,0.34906,0.33748,0.35939
jernort,SH,0001,falling,gcc_90,2014-12-13,2014-12-01,2014-11-16,2014-12-22,2014-12-07,2014-11-25,2014-12-10,2014-11-28,2014-11-13,0.33131,0.33395,0.33902,0.32924,0.34619
jernort,SH,0001,falling,gcc_75,2015-11-25,2015-11-16,2015-10-20,2015-11-28,2015-11-22,2015-11-01,2015-11-22,2015-11-13,2015-10-17,0.33824,0.34213,0.34806,0.33567,0.35876
jernort,SH,0001,falling,gcc_75,2014-12-16,2014-12-04,2014-11-16,2014-12-22,2014-12-10,2014-11-25,2014-12-13,2014-12-01,2014-11-13,0.32916,0.33204,0.33749,0.3274,0.34451
jernort,SH,0001,falling,gcc_50,2015-11-25,2015-11-16,2015-10-17,2015-11-28,2015-11-22,2015-10-26,2015-11-22,2015-11-13,2015-10-14,0.33695,0.34062,0.34665,0.33417,0.35785
jernort,SH,0001,falling,gcc_50,2014-12-13,2014-12-04,2014-11-16,2014-12-19,2014-12-10,2014-11-25,2014-12-10,2014-12-01,2014-11-13,0.32872,0.33141,0.33631,0.32643,0.34311
jernort,SH,0001,falling,gcc_mean,2015-11-25,2015-11-16,2015-10-17,2015-11-28,2015-11-22,2015-10-29,2015-11-22,2015-11-13,2015-10-14,0.33748,0.34125,0.34734,0.33468,0.35818
jernort,SH,0001,falling,gcc_mean,2014-12-13,2014-12-04,2014-11-16,2014-12-19,2014-12-10,2014-11-25,2014-12-10,2014-12-01,2014-11-13,0.32899,0.33166,0.33673,0.32676,0.34369
