#
# Transition date estimate for joycekilmerresized
#
# Site: joycekilmerresized
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2007
# Year max: 2014
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:06:07
# Spline RMSE gcc_mean: 0.12471
# Spline RMSE gcc_50: 0.14503
# Spline RMSE gcc_75: 0.13694
# Spline RMSE gcc_90: 0.13074
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
joycekilmerresized,DB,0001,rising,gcc_90,2008-05-28,2008-06-03,2008-06-12,2008-05-22,2008-05-31,2008-06-06,2008-05-31,2008-06-06,2008-06-15,0.35051,0.36703,0.40286,0.3367,0.43699
joycekilmerresized,DB,0001,rising,gcc_90,2009-04-17,2009-05-11,2009-05-26,2009-04-08,2009-04-08,2009-04-08,2009-09-17,2009-09-17,2009-09-17,0.33925,0.34798,0.38076,0.33221,0.3951
joycekilmerresized,DB,0001,rising,gcc_90,2010-05-08,2010-05-17,2010-05-26,2010-05-05,2010-05-14,2010-05-20,2010-05-11,2010-05-20,2010-05-29,0.34479,0.36639,0.40125,0.33388,0.44233
joycekilmerresized,DB,0001,rising,gcc_90,2011-05-02,2011-05-17,2011-05-29,2011-04-23,2011-05-14,2011-05-23,2011-05-05,2011-05-20,2011-06-01,0.34483,0.35566,0.38364,0.33565,0.4151
joycekilmerresized,DB,0001,rising,gcc_90,2012-04-28,2012-05-13,2012-05-25,2012-04-22,2012-05-10,2012-05-16,2012-05-01,2012-05-16,2012-05-28,0.34393,0.35987,0.39651,0.3347,0.42306
joycekilmerresized,DB,0001,rising,gcc_90,2013-05-14,2013-05-23,2013-06-04,2013-05-08,2013-05-17,2013-05-26,2013-05-17,2013-05-26,2013-06-07,0.345,0.36064,0.39964,0.3347,0.42136
joycekilmerresized,DB,0001,rising,gcc_90,2014-05-11,2014-05-17,2014-05-29,2014-05-02,2014-05-14,2014-05-23,2014-05-14,2014-05-20,2014-06-01,0.34351,0.3533,0.38814,0.33387,0.40657
joycekilmerresized,DB,0001,rising,gcc_75,2008-05-28,2008-06-03,2008-06-12,2008-05-22,2008-05-28,2008-06-06,2008-05-31,2008-06-06,2008-06-15,0.34833,0.36459,0.39951,0.33453,0.42922
joycekilmerresized,DB,0001,rising,gcc_75,2009-04-20,2009-05-11,2009-05-26,2009-04-08,2009-04-08,2009-04-08,2009-09-17,2009-09-17,2009-09-17,0.33764,0.34616,0.37732,0.33091,0.39118
joycekilmerresized,DB,0001,rising,gcc_75,2010-05-08,2010-05-17,2010-05-26,2010-05-02,2010-05-14,2010-05-20,2010-05-11,2010-05-20,2010-05-29,0.34324,0.36339,0.39658,0.33178,0.43683
