#
# Transition date estimate for kamuela
#
# Site: kamuela
# Veg Type: GR
# ROI ID Number: 0002
# Aggregation period: 1
# Year min: 2010
# Year max: 2014
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:06:08
# Spline RMSE gcc_mean: 0.03064
# Spline RMSE gcc_50: 0.02943
# Spline RMSE gcc_75: 0.04213
# Spline RMSE gcc_90: 0.04956
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
kamuela,GR,0002,rising,gcc_90,2010-05-20,2010-08-03,2010-08-21,2010-05-11,2010-05-11,2010-05-11,2010-12-07,2010-12-07,2010-12-07,0.37237,0.37398,0.3902,0.35675,0.41582
kamuela,GR,0002,rising,gcc_90,2013-02-01,2013-02-04,2013-02-13,2013-01-29,2013-02-01,2013-02-07,2013-02-04,2013-02-07,2013-02-16,0.35346,0.36273,0.38313,0.34639,0.40655
kamuela,GR,0002,rising,gcc_90,2013-12-28,2013-12-31,2014-01-05,2013-12-25,2013-12-28,2013-12-31,2013-12-31,2014-01-02,2014-01-08,0.36981,0.38402,0.40216,0.35796,0.42514
kamuela,GR,0002,rising,gcc_75,2010-05-26,2010-08-03,2010-08-21,2010-05-11,2010-05-11,2010-05-11,2010-12-07,2010-12-07,2010-12-07,0.37345,0.36931,0.38518,0.35568,0.4061
kamuela,GR,0002,rising,gcc_75,2013-02-01,2013-02-04,2013-02-13,2013-01-29,2013-02-01,2013-02-07,2013-02-04,2013-02-07,2013-02-16,0.35234,0.36041,0.37802,0.34484,0.39879
kamuela,GR,0002,rising,gcc_75,2013-12-28,2013-12-31,2014-01-05,2013-12-22,2013-12-28,2013-12-31,2013-12-31,2014-01-02,2014-01-08,0.36702,0.37641,0.39308,0.35647,0.40856
kamuela,GR,0002,rising,gcc_50,2010-05-20,2010-08-03,2010-08-21,2010-05-11,2010-05-11,2010-05-11,2010-12-07,2010-12-07,2010-12-07,0.3644,0.36615,0.38054,0.35208,0.40061
kamuela,GR,0002,rising,gcc_50,2013-02-01,2013-02-04,2013-02-13,2013-01-29,2013-02-01,2013-02-07,2013-02-04,2013-02-07,2013-02-16,0.34962,0.35683,0.37355,0.34352,0.3924
kamuela,GR,0002,rising,gcc_50,2013-12-28,2013-12-31,2014-01-05,2013-12-22,2013-12-28,2013-12-31,2013-12-31,2014-01-02,2014-01-08,0.36181,0.37365,0.3911,0.34936,0.41176
kamuela,GR,0002,rising,gcc_mean,2010-05-20,2010-05-20,2010-05-26,2010-05-11,2010-05-11,2010-05-11,2010-12-07,2010-12-07,2010-12-07,0.36543,0.36543,0.37311,0.35004,0.40158
