#
# Transition date estimate for kansas
#
# Site: kansas
# Veg Type: GR
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2013
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:40
# Spline RMSE gcc_mean: 0.04994
# Spline RMSE gcc_50: 0.04759
# Spline RMSE gcc_75: 0.04708
# Spline RMSE gcc_90: 0.04899
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
kansas,GR,0001,rising,gcc_90,2013-04-08,2013-04-17,2013-05-05,2013-04-02,2013-04-14,2013-04-26,2013-04-11,2013-04-20,2013-05-08,0.33364,0.34648,0.38532,0.32017,0.42269
kansas,GR,0001,rising,gcc_90,2014-04-08,2014-04-20,2014-05-02,2014-04-02,2014-04-14,2014-04-26,2014-04-11,2014-04-23,2014-05-05,0.32913,0.34704,0.3716,0.31935,0.41051
kansas,GR,0001,rising,gcc_90,2015-03-30,2015-04-08,2015-04-26,2015-03-24,2015-04-05,2015-04-20,2015-04-02,2015-04-11,2015-04-29,0.33074,0.34427,0.37487,0.31915,0.41914
kansas,GR,0001,rising,gcc_75,2013-04-05,2013-04-17,2013-05-05,2013-03-30,2013-04-11,2013-04-26,2013-04-08,2013-04-20,2013-05-08,0.32894,0.34477,0.38008,0.31873,0.41619
kansas,GR,0001,rising,gcc_75,2014-04-08,2014-04-20,2014-05-05,2014-04-02,2014-04-14,2014-04-26,2014-04-11,2014-04-23,2014-05-08,0.32697,0.34368,0.37243,0.31766,0.40561
kansas,GR,0001,rising,gcc_75,2015-03-30,2015-04-08,2015-04-26,2015-03-24,2015-04-05,2015-04-17,2015-04-02,2015-04-11,2015-04-29,0.32931,0.34267,0.37229,0.31783,0.41383
kansas,GR,0001,rising,gcc_50,2013-04-05,2013-04-17,2013-05-05,2013-03-30,2013-04-11,2013-04-26,2013-04-08,2013-04-20,2013-05-08,0.32647,0.34156,0.37375,0.31679,0.40834
kansas,GR,0001,rising,gcc_50,2014-04-08,2014-04-20,2014-05-05,2014-04-02,2014-04-14,2014-04-26,2014-04-11,2014-04-23,2014-05-08,0.32445,0.33969,0.36629,0.31583,0.39699
kansas,GR,0001,rising,gcc_50,2015-03-30,2015-04-08,2015-04-26,2015-03-24,2015-04-05,2015-04-17,2015-04-02,2015-04-11,2015-04-29,0.32654,0.33928,0.36728,0.31617,0.40759
kansas,GR,0001,rising,gcc_mean,2013-04-05,2013-04-17,2013-05-02,2013-03-30,2013-04-11,2013-04-26,2013-04-08,2013-04-20,2013-05-05,0.32584,0.34065,0.36637,0.31608,0.40344
kansas,GR,0001,rising,gcc_mean,2014-04-08,2014-04-17,2014-05-02,2014-03-30,2014-04-14,2014-04-26,2014-04-11,2014-04-20,2014-05-05,0.32478,0.33587,0.36021,0.31523,0.39301
kansas,GR,0001,rising,gcc_mean,2015-03-30,2015-04-08,2015-04-26,2015-03-24,2015-04-02,2015-04-17,2015-04-02,2015-04-11,2015-04-29,0.32636,0.33914,0.36627,0.31541,0.40296
kansas,GR,0001,falling,gcc_90,2015-10-17,2015-10-08,2015-09-23,2015-10-23,2015-10-14,2015-10-02,2015-10-14,2015-10-05,2015-09-20,0.32858,0.34659,0.37859,0.3142,0.41914
kansas,GR,0001,falling,gcc_90,2014-10-23,2014-10-05,2014-09-05,2014-11-04,2014-10-11,2014-09-17,2014-10-17,2014-10-02,2014-09-02,0.32918,0.34298,0.36885,0.31915,0.41051
kansas,GR,0001,falling,gcc_90,2013-10-14,2013-10-02,2013-09-02,2013-10-17,2013-10-05,2013-09-11,2013-10-11,2013-09-29,2013-08-30,0.3299,0.34562,0.37601,0.31935,0.42269
kansas,GR,0001,falling,gcc_75,2015-10-17,2015-10-08,2015-09-23,2015-10-23,2015-10-14,2015-10-02,2015-10-14,2015-10-05,2015-09-20,0.32666,0.34375,0.37421,0.31351,0.41383
kansas,GR,0001,falling,gcc_75,2014-10-23,2014-10-05,2014-09-05,2014-11-04,2014-10-11,2014-09-17,2014-10-17,2014-10-02,2014-09-02,0.32742,0.34043,0.36503,0.31783,0.40561
kansas,GR,0001,falling,gcc_75,2013-10-11,2013-09-29,2013-09-02,2013-10-17,2013-10-05,2013-09-11,2013-10-08,2013-09-26,2013-08-30,0.33015,0.34496,0.37237,0.31766,0.41619
kansas,GR,0001,falling,gcc_50,2015-10-17,2015-10-08,2015-09-23,2015-10-23,2015-10-14,2015-10-02,2015-10-14,2015-10-05,2015-09-20,0.324,0.34032,0.36947,0.31159,0.40759
kansas,GR,0001,falling,gcc_50,2014-10-20,2014-10-05,2014-09-08,2014-11-04,2014-10-08,2014-09-17,2014-10-14,2014-10-02,2014-09-05,0.32528,0.3364,0.35901,0.31617,0.39699
kansas,GR,0001,falling,gcc_50,2013-10-11,2013-09-29,2013-09-02,2013-10-17,2013-10-05,2013-09-11,2013-10-08,2013-09-26,2013-08-30,0.32619,0.34028,0.3672,0.31583,0.40834
kansas,GR,0001,falling,gcc_mean,2015-10-17,2015-10-08,2015-09-26,2015-10-23,2015-10-14,2015-10-02,2015-10-14,2015-10-05,2015-09-23,0.32421,0.34011,0.36223,0.31117,0.40296
kansas,GR,0001,falling,gcc_mean,2014-10-23,2014-10-05,2014-09-11,2014-11-07,2014-10-11,2014-09-20,2014-10-17,2014-10-02,2014-09-08,0.32408,0.3362,0.35627,0.31541,0.39301
kansas,GR,0001,falling,gcc_mean,2013-10-11,2013-09-29,2013-09-05,2013-10-17,2013-10-05,2013-09-14,2013-10-08,2013-09-26,2013-09-02,0.32656,0.33991,0.3622,0.31523,0.40344
