#
# Transition date estimate for kelloggcorn
#
# Site: kelloggcorn
# Veg Type: AG
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2014
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:40
# Spline RMSE gcc_mean: 0.01731
# Spline RMSE gcc_50: 0.02175
# Spline RMSE gcc_75: 0.01948
# Spline RMSE gcc_90: 0.02058
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
kelloggcorn,AG,0001,rising,gcc_90,2015-06-07,2015-06-13,2015-06-22,2015-06-01,2015-06-07,2015-06-16,2015-06-10,2015-06-16,2015-06-25,0.36987,0.39135,0.42286,0.35233,0.46472
kelloggcorn,AG,0001,rising,gcc_75,2015-06-07,2015-06-13,2015-06-22,2015-06-04,2015-06-07,2015-06-16,2015-06-10,2015-06-16,2015-06-25,0.36802,0.38932,0.42119,0.35142,0.46104
kelloggcorn,AG,0001,rising,gcc_50,2015-06-07,2015-06-13,2015-06-22,2015-06-04,2015-06-10,2015-06-16,2015-06-10,2015-06-16,2015-06-25,0.3647,0.38608,0.41919,0.35027,0.45816
kelloggcorn,AG,0001,rising,gcc_mean,2015-06-07,2015-06-13,2015-06-22,2015-06-04,2015-06-10,2015-06-16,2015-06-10,2015-06-16,2015-06-25,0.36429,0.38596,0.41809,0.35001,0.45756
kelloggcorn,AG,0001,falling,gcc_90,2015-09-26,2015-09-20,2015-09-11,2015-09-29,2015-09-23,2015-09-17,2015-09-23,2015-09-17,2015-09-08,0.36532,0.38426,0.42099,0.3522,0.46472
kelloggcorn,AG,0001,falling,gcc_90,2014-09-23,2014-09-17,2014-09-08,2014-09-26,2014-09-23,2014-09-14,2014-09-20,2014-09-14,2014-09-05,0.36666,0.38628,0.41437,0.35124,0.45512
kelloggcorn,AG,0001,falling,gcc_75,2015-09-26,2015-09-20,2015-09-11,2015-09-29,2015-09-23,2015-09-17,2015-09-23,2015-09-17,2015-09-08,0.36439,0.38268,0.41895,0.35133,0.46104
kelloggcorn,AG,0001,falling,gcc_75,2014-09-23,2014-09-17,2014-09-08,2014-09-26,2014-09-23,2014-09-14,2014-09-20,2014-09-14,2014-09-05,0.36459,0.38295,0.40963,0.35033,0.45163
kelloggcorn,AG,0001,falling,gcc_50,2015-09-26,2015-09-20,2015-09-11,2015-09-29,2015-09-23,2015-09-17,2015-09-23,2015-09-17,2015-09-08,0.36255,0.38094,0.41549,0.34938,0.45816
kelloggcorn,AG,0001,falling,gcc_50,2014-09-23,2014-09-17,2014-09-05,2014-09-26,2014-09-23,2014-09-14,2014-09-20,2014-09-14,2014-09-02,0.36247,0.37959,0.4096,0.34932,0.44566
kelloggcorn,AG,0001,falling,gcc_mean,2015-09-26,2015-09-20,2015-09-11,2015-09-29,2015-09-23,2015-09-17,2015-09-23,2015-09-17,2015-09-08,0.36185,0.37966,0.41584,0.34878,0.45756
kelloggcorn,AG,0001,falling,gcc_mean,2014-09-23,2014-09-17,2014-09-08,2014-09-26,2014-09-20,2014-09-14,2014-09-20,2014-09-14,2014-09-05,0.3617,0.3807,0.40565,0.34916,0.44542
