#
# Transition date estimate for kendall
#
# Site: kendall
# Veg Type: GR
# ROI ID Number: 0002
# Aggregation period: 3
# Year min: 2013
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:40
# Spline RMSE gcc_mean: 0.01746
# Spline RMSE gcc_50: 0.01715
# Spline RMSE gcc_75: 0.01812
# Spline RMSE gcc_90: 0.02014
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
kendall,GR,0002,falling,gcc_90,2015-11-07,2015-10-14,2015-09-29,2015-11-16,2015-10-29,2015-10-08,2015-11-04,2015-10-11,2015-09-26,0.35339,0.35861,0.3705,0.34954,0.38025
kendall,GR,0002,falling,gcc_90,2014-11-13,2014-11-07,2014-10-23,2014-11-19,2014-11-10,2014-11-01,2014-11-10,2014-11-04,2014-10-20,0.35475,0.35923,0.36928,0.35126,0.38287
kendall,GR,0002,falling,gcc_90,2013-10-08,2013-09-29,2013-08-27,2013-10-17,2013-10-05,2013-09-05,2013-10-05,2013-09-23,2013-08-24,0.34306,0.34711,0.35674,0.33923,0.36977
kendall,GR,0002,falling,gcc_75,2015-11-07,2015-10-17,2015-09-29,2015-11-16,2015-10-29,2015-10-08,2015-11-04,2015-10-11,2015-09-26,0.35262,0.35613,0.36892,0.34868,0.37846
kendall,GR,0002,falling,gcc_75,2014-11-13,2014-11-07,2014-10-23,2014-11-19,2014-11-10,2014-11-01,2014-11-10,2014-11-04,2014-10-20,0.35401,0.35843,0.36825,0.35052,0.38026
kendall,GR,0002,falling,gcc_75,2013-10-11,2013-09-29,2013-08-27,2013-10-20,2013-10-05,2013-09-05,2013-10-05,2013-09-23,2013-08-24,0.34171,0.34615,0.35516,0.33864,0.36794
kendall,GR,0002,falling,gcc_50,2015-11-10,2015-10-14,2015-09-29,2015-11-16,2015-11-04,2015-10-08,2015-11-07,2015-10-11,2015-09-26,0.35023,0.35576,0.36711,0.34728,0.37657
kendall,GR,0002,falling,gcc_50,2014-11-13,2014-11-07,2014-10-26,2014-11-19,2014-11-13,2014-11-01,2014-11-10,2014-11-04,2014-10-23,0.35286,0.35745,0.36585,0.34949,0.37761
kendall,GR,0002,falling,gcc_50,2013-10-11,2013-09-29,2013-08-24,2013-10-20,2013-10-05,2013-09-02,2013-10-05,2013-09-26,2013-08-21,0.3407,0.3454,0.35402,0.33774,0.36673
kendall,GR,0002,falling,gcc_mean,2015-11-10,2015-10-17,2015-10-02,2015-11-16,2015-11-01,2015-10-08,2015-11-04,2015-10-14,2015-09-29,0.35041,0.355,0.36467,0.34744,0.37575
kendall,GR,0002,falling,gcc_mean,2014-11-13,2014-11-07,2014-10-26,2014-11-19,2014-11-13,2014-11-01,2014-11-10,2014-11-04,2014-10-23,0.35298,0.35742,0.36567,0.3495,0.37778
kendall,GR,0002,falling,gcc_mean,2013-10-11,2013-09-29,2013-08-24,2013-10-20,2013-10-05,2013-09-02,2013-10-05,2013-09-26,2013-08-21,0.34096,0.34557,0.35504,0.33778,0.36646
