#
# Transition date estimate for konza
#
# Site: konza
# Veg Type: GR
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:41
# Spline RMSE gcc_mean: 0.05509
# Spline RMSE gcc_50: 0.05722
# Spline RMSE gcc_75: 0.05447
# Spline RMSE gcc_90: 0.05747
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
konza,GR,0001,rising,gcc_90,2013-04-29,2013-05-05,2013-05-17,2013-04-23,2013-05-02,2013-05-11,2013-05-02,2013-05-08,2013-05-20,0.33772,0.35389,0.39181,0.32298,0.43119
konza,GR,0001,rising,gcc_90,2014-04-17,2014-04-26,2014-05-08,2014-04-11,2014-04-20,2014-05-02,2014-04-20,2014-04-29,2014-05-11,0.33086,0.35063,0.38441,0.31492,0.42972
konza,GR,0001,rising,gcc_90,2015-04-14,2015-04-23,2015-05-05,2015-04-11,2015-04-20,2015-04-29,2015-04-17,2015-04-26,2015-05-08,0.32846,0.34964,0.38412,0.31627,0.4324
konza,GR,0001,rising,gcc_75,2013-04-26,2013-05-05,2013-05-17,2013-04-23,2013-05-02,2013-05-11,2013-04-29,2013-05-08,2013-05-20,0.33063,0.3513,0.38831,0.31961,0.42667
konza,GR,0001,rising,gcc_75,2014-04-14,2014-04-26,2014-05-08,2014-04-11,2014-04-20,2014-05-02,2014-04-17,2014-04-29,2014-05-11,0.32375,0.34797,0.38141,0.3119,0.42559
konza,GR,0001,rising,gcc_75,2015-04-14,2015-04-23,2015-05-05,2015-04-08,2015-04-20,2015-04-29,2015-04-17,2015-04-26,2015-05-08,0.32675,0.34723,0.38067,0.3144,0.4273
konza,GR,0001,rising,gcc_50,2013-04-26,2013-05-05,2013-05-17,2013-04-20,2013-05-02,2013-05-11,2013-04-29,2013-05-08,2013-05-20,0.32831,0.34792,0.38317,0.31711,0.42139
konza,GR,0001,rising,gcc_50,2014-04-14,2014-04-26,2014-05-08,2014-04-08,2014-04-20,2014-05-02,2014-04-17,2014-04-29,2014-05-11,0.32129,0.34487,0.37786,0.30907,0.42133
konza,GR,0001,rising,gcc_50,2015-04-14,2015-04-23,2015-05-05,2015-04-08,2015-04-17,2015-04-29,2015-04-17,2015-04-26,2015-05-08,0.32439,0.34461,0.37743,0.31203,0.42336
konza,GR,0001,rising,gcc_mean,2013-04-29,2013-05-05,2013-05-17,2013-04-23,2013-05-02,2013-05-11,2013-05-02,2013-05-08,2013-05-20,0.3332,0.34822,0.38365,0.31874,0.42114
konza,GR,0001,rising,gcc_mean,2014-04-14,2014-04-23,2014-05-08,2014-04-11,2014-04-20,2014-04-29,2014-04-17,2014-04-26,2014-05-11,0.31973,0.33663,0.37805,0.30771,0.41932
konza,GR,0001,rising,gcc_mean,2015-04-14,2015-04-23,2015-05-05,2015-04-08,2015-04-17,2015-04-29,2015-04-17,2015-04-26,2015-05-08,0.32381,0.34445,0.37764,0.31161,0.42133
konza,GR,0001,falling,gcc_90,2015-10-05,2015-09-23,2015-09-02,2015-10-11,2015-09-29,2015-09-08,2015-10-02,2015-09-20,2015-08-30,0.32294,0.34217,0.3742,0.30711,0.4324
konza,GR,0001,falling,gcc_90,2014-10-11,2014-09-29,2014-09-05,2014-10-17,2014-10-05,2014-09-14,2014-10-08,2014-09-26,2014-09-02,0.32857,0.34637,0.376,0.31627,0.42972
konza,GR,0001,falling,gcc_90,2013-10-02,2013-09-23,2013-09-02,2013-10-08,2013-09-26,2013-09-08,2013-09-29,2013-09-20,2013-08-30,0.33067,0.34499,0.37939,0.31492,0.43119
konza,GR,0001,falling,gcc_90,2012-10-07,2012-09-28,2012-09-10,2012-10-13,2012-10-04,2012-09-13,2012-10-04,2012-09-25,2012-09-07,0.33351,0.34754,0.36726,0.32164,0.40797
konza,GR,0001,falling,gcc_75,2015-10-05,2015-09-23,2015-09-02,2015-10-11,2015-09-29,2015-09-08,2015-10-02,2015-09-20,2015-08-30,0.32102,0.34001,0.37138,0.30488,0.4273
konza,GR,0001,falling,gcc_75,2014-10-11,2014-09-29,2014-09-05,2014-10-17,2014-10-05,2014-09-14,2014-10-08,2014-09-26,2014-09-02,0.3267,0.34438,0.3739,0.3144,0.42559
konza,GR,0001,falling,gcc_75,2013-10-05,2013-09-23,2013-09-02,2013-10-11,2013-09-29,2013-09-11,2013-10-02,2013-09-20,2013-08-30,0.32439,0.34293,0.37671,0.3119,0.42667
konza,GR,0001,falling,gcc_75,2012-10-07,2012-10-01,2012-09-10,2012-10-13,2012-10-04,2012-09-13,2012-10-04,2012-09-28,2012-07-30,0.33206,0.34137,0.36406,0.31961,0.40514
konza,GR,0001,falling,gcc_50,2015-10-08,2015-09-26,2015-09-02,2015-10-14,2015-10-02,2015-09-11,2015-10-05,2015-09-23,2015-08-30,0.31501,0.33316,0.36869,0.30104,0.42336
konza,GR,0001,falling,gcc_50,2014-10-11,2014-09-29,2014-09-05,2014-10-17,2014-10-05,2014-09-14,2014-10-08,2014-09-26,2014-09-02,0.32403,0.34161,0.37162,0.31203,0.42133
konza,GR,0001,falling,gcc_50,2013-10-05,2013-09-23,2013-09-02,2013-10-11,2013-09-29,2013-09-11,2013-10-02,2013-09-20,2013-08-30,0.32196,0.34009,0.37296,0.30907,0.42139
konza,GR,0001,falling,gcc_50,2012-10-07,2012-10-01,2012-09-13,2012-10-13,2012-10-04,2012-09-16,2012-10-04,2012-09-28,2012-09-07,0.32943,0.33877,0.36109,0.31711,0.40137
konza,GR,0001,falling,gcc_mean,2015-10-08,2015-09-26,2015-09-02,2015-10-14,2015-10-02,2015-09-11,2015-10-05,2015-09-23,2015-08-30,0.31445,0.33217,0.36663,0.30029,0.42133
konza,GR,0001,falling,gcc_mean,2014-10-11,2014-09-29,2014-09-05,2014-10-17,2014-10-05,2014-09-14,2014-10-08,2014-09-26,2014-09-02,0.32342,0.3408,0.3705,0.31161,0.41932
konza,GR,0001,falling,gcc_mean,2013-10-05,2013-09-23,2013-09-02,2013-10-11,2013-09-29,2013-09-11,2013-10-02,2013-09-20,2013-08-30,0.32143,0.33947,0.37141,0.30771,0.42114
konza,GR,0001,falling,gcc_mean,2012-10-07,2012-10-01,2012-09-13,2012-10-13,2012-10-04,2012-09-16,2012-10-04,2012-09-28,2012-09-07,0.3289,0.33824,0.3603,0.31644,0.39992
