#
# Transition date estimate for laurentides
#
# Site: laurentides
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2014
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:41
# Spline RMSE gcc_mean: 0.0165
# Spline RMSE gcc_50: 0.01613
# Spline RMSE gcc_75: 0.01597
# Spline RMSE gcc_90: 0.0192
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
laurentides,DB,0001,rising,gcc_90,2014-05-14,2014-05-20,2014-05-26,2014-05-08,2014-05-14,2014-05-20,2014-05-17,2014-05-23,2014-05-29,0.35677,0.37397,0.39675,0.34532,0.4205
laurentides,DB,0001,rising,gcc_90,2015-05-05,2015-05-11,2015-05-20,2015-05-02,2015-05-08,2015-05-14,2015-05-08,2015-05-14,2015-05-23,0.3541,0.36685,0.38984,0.34482,0.41878
laurentides,DB,0001,rising,gcc_75,2014-05-14,2014-05-20,2014-05-29,2014-05-08,2014-05-14,2014-05-20,2014-05-17,2014-05-23,2014-06-01,0.35447,0.37034,0.40375,0.34467,0.41814
laurentides,DB,0001,rising,gcc_75,2015-05-05,2015-05-11,2015-05-20,2015-05-02,2015-05-08,2015-05-14,2015-05-08,2015-05-14,2015-05-23,0.35246,0.36534,0.38741,0.344,0.41516
laurentides,DB,0001,rising,gcc_50,2014-05-14,2014-05-20,2014-05-29,2014-05-08,2014-05-17,2014-05-20,2014-05-17,2014-05-23,2014-06-01,0.35251,0.36667,0.39923,0.34344,0.41414
laurentides,DB,0001,rising,gcc_50,2015-05-05,2015-05-11,2015-05-20,2015-05-02,2015-05-08,2015-05-14,2015-05-08,2015-05-14,2015-05-23,0.3509,0.36339,0.38527,0.34256,0.41096
laurentides,DB,0001,rising,gcc_mean,2014-05-14,2014-05-20,2014-05-29,2014-05-08,2014-05-14,2014-05-20,2014-05-17,2014-05-23,2014-06-01,0.35259,0.36728,0.39898,0.34267,0.41256
laurentides,DB,0001,rising,gcc_mean,2015-05-05,2015-05-11,2015-05-20,2015-04-29,2015-05-08,2015-05-14,2015-05-08,2015-05-14,2015-05-23,0.35074,0.36309,0.38426,0.34165,0.4097
laurentides,DB,0001,falling,gcc_90,2015-10-02,2015-09-29,2015-09-17,2015-10-05,2015-10-02,2015-09-26,2015-09-29,2015-09-26,2015-09-14,0.35636,0.36479,0.38951,0.34422,0.41878
laurentides,DB,0001,falling,gcc_90,2014-09-26,2014-09-23,2014-09-17,2014-09-29,2014-09-26,2014-09-23,2014-09-23,2014-09-20,2014-09-14,0.35647,0.36992,0.39273,0.34482,0.4205
laurentides,DB,0001,falling,gcc_75,2015-10-02,2015-09-29,2015-09-17,2015-10-05,2015-10-02,2015-09-23,2015-09-29,2015-09-26,2015-09-14,0.35438,0.36237,0.38779,0.34193,0.41516
laurentides,DB,0001,falling,gcc_75,2014-09-26,2014-09-23,2014-09-17,2014-09-29,2014-09-26,2014-09-23,2014-09-23,2014-09-20,2014-09-14,0.35275,0.36797,0.3903,0.344,0.41814
laurentides,DB,0001,falling,gcc_50,2015-10-02,2015-09-29,2015-09-17,2015-10-05,2015-10-02,2015-09-23,2015-09-29,2015-09-26,2015-09-14,0.35218,0.35997,0.38291,0.33979,0.41096
laurentides,DB,0001,falling,gcc_50,2014-09-23,2014-09-23,2014-09-14,2014-09-29,2014-09-26,2014-09-23,2014-09-20,2014-09-20,2014-09-11,0.36277,0.36277,0.39204,0.34256,0.41414
laurentides,DB,0001,falling,gcc_mean,2015-10-02,2015-09-29,2015-09-17,2015-10-05,2015-10-02,2015-09-23,2015-09-29,2015-09-26,2015-09-14,0.35168,0.35942,0.38233,0.33986,0.4097
laurentides,DB,0001,falling,gcc_mean,2014-09-23,2014-09-23,2014-09-14,2014-09-29,2014-09-26,2014-09-23,2014-09-20,2014-09-20,2014-09-11,0.3622,0.3622,0.39163,0.34165,0.41256
