#
# Transition date estimate for laurentides
#
# Site: laurentides
# Veg Type: EN
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2013
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:06:08
# Spline RMSE gcc_mean: 0.04427
# Spline RMSE gcc_50: 0.04439
# Spline RMSE gcc_75: 0.04702
# Spline RMSE gcc_90: 0.04974
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
laurentides,EN,0001,rising,gcc_90,2014-04-17,2014-04-26,2014-05-11,2014-04-08,2014-04-20,2014-05-05,2014-04-20,2014-04-29,2014-05-14,0.36319,0.37102,0.39013,0.35509,0.416
laurentides,EN,0001,rising,gcc_90,2015-04-08,2015-04-20,2015-05-05,2015-04-02,2015-04-17,2015-04-29,2015-04-11,2015-04-23,2015-05-08,0.35989,0.36954,0.3897,0.35313,0.41858
laurentides,EN,0001,rising,gcc_75,2014-04-17,2014-04-26,2014-05-11,2014-04-08,2014-04-20,2014-05-05,2014-04-20,2014-04-29,2014-05-14,0.36258,0.3705,0.3886,0.3546,0.41367
laurentides,EN,0001,rising,gcc_75,2015-04-08,2015-04-20,2015-05-05,2015-04-02,2015-04-17,2015-04-29,2015-04-11,2015-04-23,2015-05-08,0.35928,0.36874,0.38786,0.3524,0.4148
laurentides,EN,0001,rising,gcc_50,2014-04-14,2014-04-26,2014-05-11,2014-04-08,2014-04-20,2014-05-02,2014-04-17,2014-04-29,2014-05-14,0.35943,0.36978,0.38702,0.35374,0.41007
laurentides,EN,0001,rising,gcc_50,2015-04-08,2015-04-20,2015-05-05,2015-03-30,2015-04-14,2015-04-29,2015-04-11,2015-04-23,2015-05-08,0.3584,0.36769,0.38605,0.35085,0.4102
laurentides,EN,0001,rising,gcc_mean,2014-04-14,2014-04-26,2014-05-11,2014-04-08,2014-04-20,2014-05-02,2014-04-17,2014-04-29,2014-05-14,0.35954,0.36954,0.38719,0.35362,0.40996
laurentides,EN,0001,rising,gcc_mean,2015-04-05,2015-04-20,2015-05-05,2015-03-27,2015-04-14,2015-04-26,2015-04-11,2015-04-23,2015-05-08,0.3568,0.3677,0.38624,0.35064,0.41049
laurentides,EN,0001,falling,gcc_90,2015-11-10,2015-10-29,2015-09-29,2015-11-16,2015-11-04,2015-10-08,2015-11-07,2015-10-26,2015-09-26,0.37023,0.37811,0.396,0.36386,0.41858
laurentides,EN,0001,falling,gcc_90,2014-11-19,2014-11-10,2014-10-26,2014-11-25,2014-11-16,2014-11-01,2014-11-16,2014-11-07,2014-10-23,0.36105,0.3704,0.38602,0.35313,0.41577
laurentides,EN,0001,falling,gcc_90,2013-11-22,2013-11-16,2013-11-04,2013-11-28,2013-11-22,2013-11-13,2013-11-19,2013-11-13,2013-11-01,0.35963,0.36508,0.37764,0.35433,0.39067
laurentides,EN,0001,falling,gcc_75,2015-11-10,2015-10-26,2015-09-29,2015-11-16,2015-11-01,2015-10-08,2015-11-07,2015-10-23,2015-09-26,0.36865,0.37752,0.39329,0.36288,0.4148
laurentides,EN,0001,falling,gcc_75,2014-11-19,2014-11-10,2014-10-26,2014-11-25,2014-11-16,2014-11-01,2014-11-16,2014-11-07,2014-10-23,0.36051,0.36971,0.38467,0.3524,0.41342
laurentides,EN,0001,falling,gcc_75,2013-11-25,2013-11-16,2013-11-07,2013-11-28,2013-11-22,2013-11-13,2013-11-22,2013-11-13,2013-11-04,0.35758,0.36535,0.37524,0.35388,0.38858
laurentides,EN,0001,falling,gcc_50,2015-11-10,2015-10-26,2015-10-02,2015-11-16,2015-11-01,2015-10-08,2015-11-04,2015-10-23,2015-09-29,0.3661,0.37426,0.38827,0.36114,0.4102
laurentides,EN,0001,falling,gcc_50,2014-11-22,2014-11-10,2014-10-26,2014-11-25,2014-11-16,2014-11-04,2014-11-19,2014-11-07,2014-10-23,0.35675,0.36848,0.38302,0.35085,0.40973
laurentides,EN,0001,falling,gcc_50,2013-11-25,2013-11-19,2013-11-07,2013-12-01,2013-11-22,2013-11-16,2013-11-22,2013-11-16,2013-11-04,0.35724,0.3621,0.37526,0.35322,0.38668
laurentides,EN,0001,falling,gcc_mean,2015-11-10,2015-10-26,2015-10-02,2015-11-16,2015-11-01,2015-10-11,2015-11-04,2015-10-23,2015-09-29,0.36594,0.37454,0.38866,0.36088,0.41049
laurentides,EN,0001,falling,gcc_mean,2014-11-19,2014-11-10,2014-10-26,2014-11-25,2014-11-16,2014-11-04,2014-11-16,2014-11-07,2014-10-23,0.359,0.36793,0.38223,0.35064,0.40965
laurentides,EN,0001,falling,gcc_mean,2013-11-25,2013-11-16,2013-11-07,2013-11-28,2013-11-22,2013-11-13,2013-11-22,2013-11-13,2013-11-04,0.35655,0.36438,0.37424,0.35302,0.38684
