#
# Transition date estimate for lethbridge
#
# Site: lethbridge
# Veg Type: GR
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:06:09
# Spline RMSE gcc_mean: 0.02596
# Spline RMSE gcc_50: 0.02463
# Spline RMSE gcc_75: 0.02375
# Spline RMSE gcc_90: 0.0263
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
lethbridge,GR,0001,rising,gcc_90,2012-05-07,2012-05-25,2012-06-12,2012-05-01,2012-05-19,2012-06-06,2012-05-10,2012-05-28,2012-06-15,0.32199,0.33053,0.35,0.31452,0.3752
lethbridge,GR,0001,rising,gcc_90,2013-05-14,2013-05-20,2013-06-04,2013-05-08,2013-05-17,2013-05-26,2013-05-17,2013-05-23,2013-06-07,0.32765,0.33504,0.35749,0.31877,0.38128
lethbridge,GR,0001,rising,gcc_90,2014-05-08,2014-05-20,2014-06-01,2014-05-02,2014-05-17,2014-05-26,2014-05-11,2014-05-23,2014-06-04,0.32429,0.33656,0.35614,0.31764,0.38147
lethbridge,GR,0001,rising,gcc_90,2015-05-02,2015-05-20,2015-06-01,2015-04-23,2015-05-14,2015-05-26,2015-05-05,2015-05-23,2015-06-04,0.3247,0.33253,0.34695,0.3194,0.36364
lethbridge,GR,0001,rising,gcc_75,2012-05-07,2012-05-25,2012-06-12,2012-05-01,2012-05-19,2012-06-06,2012-05-10,2012-05-28,2012-06-15,0.32039,0.32943,0.34772,0.31319,0.37178
lethbridge,GR,0001,rising,gcc_75,2013-05-11,2013-05-20,2013-06-04,2013-05-08,2013-05-17,2013-05-29,2013-05-14,2013-05-23,2013-06-07,0.32429,0.33367,0.35451,0.31798,0.37846
lethbridge,GR,0001,rising,gcc_75,2014-05-08,2014-05-20,2014-06-01,2014-05-02,2014-05-14,2014-05-26,2014-05-11,2014-05-23,2014-06-04,0.32352,0.33547,0.35357,0.31668,0.37832
lethbridge,GR,0001,rising,gcc_75,2015-04-29,2015-05-17,2015-06-01,2015-04-23,2015-05-14,2015-05-26,2015-05-02,2015-05-20,2015-06-04,0.32284,0.32935,0.3449,0.31845,0.36064
lethbridge,GR,0001,rising,gcc_50,2012-05-07,2012-05-22,2012-06-12,2012-05-01,2012-05-19,2012-06-06,2012-05-10,2012-05-25,2012-06-15,0.31804,0.32616,0.34555,0.3113,0.36896
lethbridge,GR,0001,rising,gcc_50,2013-05-11,2013-05-20,2013-06-04,2013-05-05,2013-05-17,2013-05-29,2013-05-14,2013-05-23,2013-06-07,0.32338,0.33229,0.35186,0.31679,0.37507
lethbridge,GR,0001,rising,gcc_50,2014-05-08,2014-05-20,2014-06-01,2014-05-02,2014-05-14,2014-05-26,2014-05-11,2014-05-23,2014-06-04,0.32241,0.33421,0.35116,0.31556,0.37498
lethbridge,GR,0001,rising,gcc_50,2015-04-29,2015-05-17,2015-06-01,2015-04-23,2015-05-11,2015-05-26,2015-05-02,2015-05-20,2015-06-04,0.32216,0.32814,0.34257,0.3175,0.35785
lethbridge,GR,0001,rising,gcc_mean,2012-05-07,2012-05-25,2012-06-12,2012-05-01,2012-05-19,2012-06-06,2012-05-10,2012-05-28,2012-06-15,0.31787,0.3274,0.34542,0.31139,0.3688
lethbridge,GR,0001,rising,gcc_mean,2013-05-11,2013-05-20,2013-06-04,2013-05-08,2013-05-17,2013-05-26,2013-05-14,2013-05-23,2013-06-07,0.32314,0.33214,0.35166,0.3167,0.3737
lethbridge,GR,0001,rising,gcc_mean,2014-05-08,2014-05-20,2014-06-01,2014-04-29,2014-05-14,2014-05-26,2014-05-11,2014-05-23,2014-06-04,0.32187,0.33336,0.35026,0.31527,0.37324
lethbridge,GR,0001,rising,gcc_mean,2015-04-29,2015-05-17,2015-06-01,2015-04-20,2015-05-11,2015-05-26,2015-05-02,2015-05-20,2015-06-04,0.32171,0.32755,0.34198,0.31719,0.35663
lethbridge,GR,0001,falling,gcc_90,2015-10-02,2015-09-23,2015-08-15,2015-10-08,2015-09-29,2015-08-21,2015-09-29,2015-09-20,2015-08-12,0.32438,0.33059,0.34306,0.31792,0.36364
lethbridge,GR,0001,falling,gcc_90,2014-10-02,2014-09-17,2014-08-30,2014-10-05,2014-09-23,2014-09-08,2014-09-29,2014-09-14,2014-08-27,0.32687,0.33775,0.35467,0.3194,0.38147
lethbridge,GR,0001,falling,gcc_90,2013-10-02,2013-09-29,2013-09-08,2013-10-05,2013-10-02,2013-09-17,2013-09-29,2013-09-26,2013-09-05,0.32949,0.33487,0.35383,0.31764,0.38128
lethbridge,GR,0001,falling,gcc_90,2012-09-10,2012-09-04,2012-08-17,2012-09-13,2012-09-07,2012-08-26,2012-09-07,2012-09-01,2012-08-14,0.32684,0.33381,0.35186,0.31877,0.3752
lethbridge,GR,0001,falling,gcc_75,2015-10-02,2015-09-26,2015-08-15,2015-10-08,2015-09-29,2015-08-24,2015-09-29,2015-09-23,2015-08-12,0.32364,0.328,0.34159,0.317,0.36064
lethbridge,GR,0001,falling,gcc_75,2014-10-02,2014-09-20,2014-09-02,2014-10-05,2014-09-23,2014-09-08,2014-09-29,2014-09-17,2014-08-30,0.32579,0.33406,0.35132,0.31845,0.37832
lethbridge,GR,0001,falling,gcc_75,2013-10-02,2013-09-29,2013-09-11,2013-10-05,2013-10-02,2013-09-20,2013-09-29,2013-09-26,2013-09-08,0.32872,0.33409,0.35022,0.31668,0.37846
lethbridge,GR,0001,falling,gcc_75,2012-09-10,2012-09-04,2012-08-17,2012-09-16,2012-09-07,2012-08-26,2012-09-07,2012-09-01,2012-08-14,0.32613,0.33304,0.35029,0.31798,0.37178
lethbridge,GR,0001,falling,gcc_50,2015-10-02,2015-09-26,2015-08-15,2015-10-08,2015-09-29,2015-08-24,2015-09-29,2015-09-23,2015-08-12,0.32225,0.327,0.33982,0.31596,0.35785
lethbridge,GR,0001,falling,gcc_50,2014-10-02,2014-09-20,2014-09-02,2014-10-05,2014-09-26,2014-09-11,2014-09-29,2014-09-17,2014-08-30,0.32451,0.333,0.34994,0.3175,0.37498
lethbridge,GR,0001,falling,gcc_50,2013-10-02,2013-09-29,2013-09-14,2013-10-05,2013-10-02,2013-09-20,2013-09-29,2013-09-26,2013-09-11,0.32761,0.33322,0.3471,0.31556,0.37507
lethbridge,GR,0001,falling,gcc_50,2012-09-10,2012-09-04,2012-08-20,2012-09-16,2012-09-07,2012-08-26,2012-09-07,2012-09-01,2012-08-17,0.325,0.33214,0.34635,0.31679,0.36896
lethbridge,GR,0001,falling,gcc_mean,2015-10-05,2015-09-26,2015-08-18,2015-10-08,2015-10-02,2015-08-24,2015-10-02,2015-09-23,2015-08-15,0.31912,0.32628,0.3376,0.31478,0.35663
lethbridge,GR,0001,falling,gcc_mean,2014-10-02,2014-09-20,2014-09-02,2014-10-05,2014-09-26,2014-09-11,2014-09-29,2014-09-17,2014-08-30,0.32429,0.33237,0.34953,0.31719,0.37324
lethbridge,GR,0001,falling,gcc_mean,2013-10-02,2013-09-29,2013-09-14,2013-10-05,2013-10-02,2013-09-23,2013-09-29,2013-09-26,2013-09-11,0.32738,0.33302,0.34687,0.31527,0.3737
lethbridge,GR,0001,falling,gcc_mean,2012-09-10,2012-09-04,2012-08-20,2012-09-13,2012-09-07,2012-08-26,2012-09-07,2012-09-01,2012-08-17,0.32444,0.33146,0.34587,0.3167,0.3688
