#
# Transition date estimate for mammothcave
#
# Site: mammothcave
# Veg Type: DB
# ROI ID Number: 0004
# Aggregation period: 3
# Year min: 2010
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:42
# Spline RMSE gcc_mean: 0.05423
# Spline RMSE gcc_50: 0.04937
# Spline RMSE gcc_75: 0.04975
# Spline RMSE gcc_90: 0.05275
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
mammothcave,DB,0004,rising,gcc_90,2011-04-02,2011-04-08,2011-04-17,2011-03-30,2011-04-05,2011-04-11,2011-04-05,2011-04-11,2011-04-20,0.34966,0.36833,0.40276,0.33978,0.43854
mammothcave,DB,0004,rising,gcc_90,2012-03-17,2012-03-23,2012-04-01,2012-03-11,2012-03-17,2012-03-26,2012-03-20,2012-03-26,2012-04-04,0.34594,0.36234,0.39106,0.33162,0.4319
mammothcave,DB,0004,rising,gcc_90,2013-04-08,2013-04-11,2013-04-23,2013-04-02,2013-04-08,2013-04-17,2013-04-11,2013-04-14,2013-04-26,0.34691,0.35728,0.4011,0.32981,0.43602
mammothcave,DB,0004,rising,gcc_90,2014-04-11,2014-04-17,2014-04-29,2014-04-05,2014-04-14,2014-04-23,2014-04-14,2014-04-20,2014-05-02,0.34701,0.36135,0.39511,0.33116,0.4331
mammothcave,DB,0004,rising,gcc_90,2015-04-02,2015-04-08,2015-04-17,2015-03-27,2015-04-05,2015-04-11,2015-04-05,2015-04-11,2015-04-20,0.34607,0.36288,0.39301,0.33001,0.43476
mammothcave,DB,0004,rising,gcc_75,2011-04-05,2011-04-08,2011-04-20,2011-03-30,2011-04-05,2011-04-11,2011-04-08,2011-04-11,2011-04-23,0.35457,0.36423,0.40741,0.33977,0.4349
mammothcave,DB,0004,rising,gcc_75,2012-03-17,2012-03-23,2012-04-01,2012-03-14,2012-03-20,2012-03-26,2012-03-20,2012-03-26,2012-04-04,0.34375,0.35964,0.38834,0.33022,0.4281
mammothcave,DB,0004,rising,gcc_75,2013-04-08,2013-04-11,2013-04-23,2013-04-02,2013-04-08,2013-04-17,2013-04-11,2013-04-14,2013-04-26,0.34468,0.35478,0.39733,0.32864,0.43182
mammothcave,DB,0004,rising,gcc_75,2014-04-11,2014-04-17,2014-04-29,2014-04-05,2014-04-14,2014-04-23,2014-04-14,2014-04-20,2014-05-02,0.34425,0.35836,0.39177,0.32978,0.43093
mammothcave,DB,0004,rising,gcc_75,2015-04-02,2015-04-08,2015-04-17,2015-03-27,2015-04-05,2015-04-11,2015-04-05,2015-04-11,2015-04-20,0.34355,0.35996,0.38958,0.32868,0.43244
mammothcave,DB,0004,rising,gcc_50,2011-04-05,2011-04-08,2011-04-20,2011-03-30,2011-04-05,2011-04-11,2011-04-08,2011-04-11,2011-04-23,0.35163,0.36075,0.40272,0.33703,0.4292
mammothcave,DB,0004,rising,gcc_50,2012-03-17,2012-03-23,2012-04-04,2012-03-14,2012-03-20,2012-03-26,2012-03-20,2012-03-26,2012-04-07,0.34116,0.35594,0.39104,0.32884,0.42464
mammothcave,DB,0004,rising,gcc_50,2013-04-08,2013-04-14,2013-04-23,2013-04-05,2013-04-08,2013-04-17,2013-04-11,2013-04-17,2013-04-26,0.34163,0.36034,0.39249,0.32717,0.42786
mammothcave,DB,0004,rising,gcc_50,2014-04-11,2014-04-17,2014-04-29,2014-04-05,2014-04-14,2014-04-23,2014-04-14,2014-04-20,2014-05-02,0.34199,0.3554,0.38718,0.32827,0.42737
mammothcave,DB,0004,rising,gcc_50,2015-04-02,2015-04-08,2015-04-20,2015-03-30,2015-04-05,2015-04-11,2015-04-05,2015-04-11,2015-04-23,0.33986,0.3553,0.3941,0.32715,0.42866
mammothcave,DB,0004,rising,gcc_mean,2011-04-05,2011-04-08,2011-04-17,2011-03-30,2011-04-05,2011-04-11,2011-04-08,2011-04-11,2011-04-20,0.35149,0.36031,0.39003,0.33645,0.42414
