#
# Transition date estimate for mayberry
#
# Site: mayberry
# Veg Type: WL
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2011
# Year max: 2013
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:06:09
# Spline RMSE gcc_mean: 0.02927
# Spline RMSE gcc_50: 0.02858
# Spline RMSE gcc_75: 0.02656
# Spline RMSE gcc_90: 0.02548
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
mayberry,WL,0001,rising,gcc_90,2012-04-01,2012-04-07,2012-04-19,2012-03-29,2012-04-04,2012-04-13,2012-04-04,2012-04-10,2012-04-22,0.38133,0.38902,0.40143,0.37447,0.42266
mayberry,WL,0001,rising,gcc_90,2013-04-17,2013-04-29,2013-05-26,2013-04-11,2013-04-26,2013-05-17,2013-04-20,2013-05-11,2013-05-29,0.34355,0.3487,0.35789,0.33931,0.37394
mayberry,WL,0001,rising,gcc_75,2012-04-01,2012-04-07,2012-04-22,2012-03-29,2012-04-04,2012-04-13,2012-04-04,2012-04-10,2012-04-25,0.37971,0.38707,0.40155,0.37308,0.41959
mayberry,WL,0001,rising,gcc_75,2013-04-14,2013-04-29,2013-05-26,2013-04-08,2013-04-26,2013-05-17,2013-04-17,2013-05-11,2013-05-29,0.34186,0.3478,0.35662,0.33823,0.37295
mayberry,WL,0001,rising,gcc_50,2012-04-01,2012-04-07,2012-04-19,2012-03-26,2012-04-01,2012-04-13,2012-04-04,2012-04-10,2012-04-22,0.37772,0.38484,0.39631,0.37128,0.41406
mayberry,WL,0001,rising,gcc_50,2013-04-11,2013-04-26,2013-05-23,2013-04-05,2013-04-20,2013-05-14,2013-04-17,2013-04-29,2013-05-26,0.34003,0.34574,0.35443,0.33648,0.37105
mayberry,WL,0001,rising,gcc_mean,2012-04-01,2012-04-04,2012-04-19,2012-03-23,2012-04-01,2012-04-10,2012-04-04,2012-04-07,2012-04-22,0.3758,0.37923,0.39398,0.36943,0.40962
mayberry,WL,0001,rising,gcc_mean,2013-04-08,2013-04-23,2013-05-14,2013-03-30,2013-04-17,2013-05-05,2013-04-11,2013-04-26,2013-05-17,0.33771,0.34327,0.35173,0.3337,0.36711
mayberry,WL,0001,falling,gcc_90,2013-12-25,2013-12-16,2013-11-28,2013-12-31,2013-12-19,2013-12-07,2013-12-22,2013-12-13,2013-11-19,0.34258,0.34726,0.36081,0.33808,0.37394
mayberry,WL,0001,falling,gcc_90,2012-12-18,2012-12-06,2012-11-18,2012-12-24,2012-12-15,2012-11-24,2012-12-15,2012-11-27,2012-11-15,0.34997,0.36305,0.3861,0.33931,0.42266
mayberry,WL,0001,falling,gcc_90,2012-01-02,2011-12-25,2011-12-10,2012-01-05,2011-12-28,2011-12-16,2011-12-31,2011-12-22,2011-12-07,0.36279,0.37335,0.39311,0.35442,0.4221
mayberry,WL,0001,falling,gcc_75,2013-12-25,2013-12-13,2013-11-28,2013-12-31,2013-12-19,2013-12-07,2013-12-22,2013-12-10,2013-11-19,0.34159,0.34789,0.35972,0.3373,0.37295
mayberry,WL,0001,falling,gcc_75,2012-12-18,2012-12-06,2012-11-18,2012-12-24,2012-12-15,2012-11-24,2012-12-15,2012-11-27,2012-11-15,0.34842,0.36118,0.38371,0.33823,0.41959
mayberry,WL,0001,falling,gcc_75,2012-01-02,2011-12-25,2011-12-10,2012-01-05,2011-12-28,2011-12-16,2011-12-31,2011-12-22,2011-12-07,0.36177,0.37213,0.39128,0.3535,0.41984
mayberry,WL,0001,falling,gcc_50,2013-12-25,2013-12-13,2013-11-28,2013-12-31,2013-12-19,2013-12-07,2013-12-22,2013-12-10,2013-11-19,0.33979,0.34599,0.35763,0.33583,0.37105
mayberry,WL,0001,falling,gcc_50,2012-12-18,2012-12-06,2012-11-18,2012-12-24,2012-12-15,2012-11-24,2012-12-15,2012-11-27,2012-11-15,0.34598,0.35827,0.38021,0.33648,0.41406
mayberry,WL,0001,falling,gcc_50,2012-01-02,2011-12-25,2011-12-10,2012-01-05,2011-12-28,2011-12-16,2011-12-31,2011-12-22,2011-12-07,0.35986,0.3698,0.38813,0.35208,0.41464
mayberry,WL,0001,falling,gcc_mean,2013-12-22,2013-12-13,2013-11-28,2013-12-28,2013-12-19,2013-12-07,2013-12-19,2013-12-10,2013-11-19,0.33761,0.3426,0.3542,0.33362,0.3671
mayberry,WL,0001,falling,gcc_mean,2012-12-18,2012-12-09,2012-11-21,2012-12-24,2012-12-15,2012-11-27,2012-12-15,2012-11-27,2012-11-18,0.34367,0.35335,0.37588,0.3337,0.40967
mayberry,WL,0001,falling,gcc_mean,2012-01-02,2011-12-25,2011-12-10,2012-01-05,2011-12-28,2011-12-16,2011-12-31,2011-12-22,2011-12-07,0.35732,0.36713,0.38551,0.3501,0.41164
