#
# Transition date estimate for merbleue
#
# Site: merbleue
# Veg Type: SH
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2013
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:42
# Spline RMSE gcc_mean: 0.04127
# Spline RMSE gcc_50: 0.04223
# Spline RMSE gcc_75: 0.04355
# Spline RMSE gcc_90: 0.0441
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
merbleue,SH,0001,rising,gcc_90,2013-05-05,2013-05-08,2013-05-17,2013-05-02,2013-05-05,2013-05-08,2013-05-08,2013-05-11,2013-05-20,0.34592,0.35393,0.36763,0.33887,0.39128
merbleue,SH,0001,rising,gcc_90,2014-05-11,2014-05-14,2014-05-26,2014-05-08,2014-05-11,2014-05-17,2014-05-14,2014-05-17,2014-05-29,0.34865,0.35777,0.37691,0.33914,0.40554
merbleue,SH,0001,rising,gcc_90,2015-05-05,2015-05-08,2015-05-23,2015-05-02,2015-05-05,2015-05-11,2015-05-08,2015-05-11,2015-06-04,0.34119,0.35039,0.36628,0.3349,0.3952
merbleue,SH,0001,rising,gcc_75,2013-05-05,2013-05-08,2013-05-20,2013-05-02,2013-05-05,2013-05-11,2013-05-08,2013-05-11,2013-05-23,0.34353,0.35149,0.36777,0.33831,0.38779
merbleue,SH,0001,rising,gcc_75,2014-05-11,2014-05-14,2014-05-26,2014-05-08,2014-05-11,2014-05-17,2014-05-14,2014-05-17,2014-05-29,0.34643,0.35544,0.375,0.33846,0.40241
merbleue,SH,0001,rising,gcc_75,2015-05-08,2015-05-08,2015-05-20,2015-05-02,2015-05-05,2015-05-11,2015-05-11,2015-05-11,2015-06-07,0.34801,0.34801,0.36373,0.33293,0.3926
merbleue,SH,0001,rising,gcc_50,2013-05-08,2013-05-11,2013-05-20,2013-05-02,2013-05-05,2013-05-11,2013-05-11,2013-05-14,2013-05-23,0.3485,0.35583,0.3658,0.33756,0.3845
merbleue,SH,0001,rising,gcc_50,2014-05-14,2014-05-17,2014-05-26,2014-05-08,2014-05-11,2014-05-17,2014-05-17,2014-05-20,2014-05-29,0.35225,0.35876,0.37315,0.33761,0.39852
merbleue,SH,0001,rising,gcc_50,2015-05-08,2015-05-11,2015-05-20,2015-05-02,2015-05-05,2015-05-11,2015-05-11,2015-05-14,2015-06-07,0.34523,0.35224,0.36219,0.33047,0.38994
merbleue,SH,0001,rising,gcc_mean,2013-05-08,2013-05-11,2013-05-20,2013-05-02,2013-05-05,2013-05-11,2013-05-11,2013-05-14,2013-05-23,0.34777,0.35511,0.36461,0.33704,0.383
merbleue,SH,0001,rising,gcc_mean,2014-05-14,2014-05-14,2014-05-26,2014-05-08,2014-05-11,2014-05-17,2014-05-17,2014-05-17,2014-05-29,0.35223,0.35223,0.37239,0.33719,0.39595
