#
# Transition date estimate for missouriozarks
#
# Site: missouriozarks
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:06:10
# Spline RMSE gcc_mean: 0.0352
# Spline RMSE gcc_50: 0.03527
# Spline RMSE gcc_75: 0.03763
# Spline RMSE gcc_90: 0.03971
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
missouriozarks,DB,0001,rising,gcc_90,2013-04-26,2013-05-02,2013-05-08,2013-04-20,2013-04-26,2013-05-02,2013-04-29,2013-05-05,2013-05-11,0.3447,0.35855,0.37916,0.3351,0.39929
missouriozarks,DB,0001,rising,gcc_90,2014-04-26,2014-05-02,2014-05-08,2014-04-23,2014-04-26,2014-05-02,2014-04-29,2014-05-05,2014-05-11,0.34175,0.35598,0.37697,0.33276,0.39591
missouriozarks,DB,0001,rising,gcc_90,2015-04-14,2015-04-20,2015-05-02,2015-04-11,2015-04-17,2015-04-23,2015-04-17,2015-04-23,2015-05-05,0.33986,0.34808,0.37762,0.33284,0.39103
missouriozarks,DB,0001,rising,gcc_75,2013-04-26,2013-04-29,2013-05-08,2013-04-20,2013-04-26,2013-05-02,2013-04-29,2013-05-02,2013-05-11,0.34414,0.34965,0.37662,0.33431,0.39514
missouriozarks,DB,0001,rising,gcc_75,2014-04-26,2014-04-29,2014-05-08,2014-04-20,2014-04-26,2014-05-02,2014-04-29,2014-05-02,2014-05-11,0.34106,0.34752,0.3741,0.33176,0.39003
missouriozarks,DB,0001,rising,gcc_75,2015-04-14,2015-04-20,2015-04-29,2015-04-08,2015-04-17,2015-04-23,2015-04-17,2015-04-23,2015-05-02,0.33905,0.34712,0.36835,0.33197,0.38708
missouriozarks,DB,0001,rising,gcc_50,2013-04-26,2013-04-29,2013-05-08,2013-04-20,2013-04-26,2013-05-02,2013-04-29,2013-05-02,2013-05-11,0.3427,0.34786,0.37299,0.33371,0.38983
missouriozarks,DB,0001,rising,gcc_50,2014-04-26,2014-04-29,2014-05-08,2014-04-20,2014-04-26,2014-05-02,2014-04-29,2014-05-02,2014-05-11,0.33951,0.34479,0.37086,0.33078,0.38584
missouriozarks,DB,0001,rising,gcc_50,2015-04-14,2015-04-20,2015-04-29,2015-04-08,2015-04-17,2015-04-23,2015-04-17,2015-04-23,2015-05-02,0.33807,0.34599,0.3653,0.3308,0.38214
missouriozarks,DB,0001,rising,gcc_mean,2013-04-26,2013-04-29,2013-05-08,2013-04-20,2013-04-26,2013-05-02,2013-04-29,2013-05-02,2013-05-11,0.3419,0.34697,0.37196,0.33261,0.38709
missouriozarks,DB,0001,rising,gcc_mean,2014-04-26,2014-04-29,2014-05-08,2014-04-20,2014-04-26,2014-05-02,2014-04-29,2014-05-02,2014-05-11,0.339,0.34433,0.36995,0.33054,0.3821
missouriozarks,DB,0001,rising,gcc_mean,2015-04-14,2015-04-20,2015-04-29,2015-04-08,2015-04-17,2015-04-23,2015-04-17,2015-04-23,2015-05-02,0.33725,0.34563,0.36441,0.33034,0.38043
missouriozarks,DB,0001,falling,gcc_90,2015-10-17,2015-10-11,2015-09-29,2015-10-20,2015-10-17,2015-10-08,2015-10-14,2015-10-08,2015-09-26,0.34055,0.35231,0.36647,0.3332,0.39103
missouriozarks,DB,0001,falling,gcc_90,2014-10-20,2014-10-17,2014-10-08,2014-10-23,2014-10-20,2014-10-14,2014-10-17,2014-10-14,2014-10-05,0.34323,0.35031,0.36885,0.33284,0.39591
missouriozarks,DB,0001,falling,gcc_90,2013-10-26,2013-10-23,2013-10-14,2013-10-29,2013-10-26,2013-10-20,2013-10-23,2013-10-20,2013-10-11,0.34081,0.35007,0.37306,0.33276,0.39929
missouriozarks,DB,0001,falling,gcc_90,2012-10-10,2012-10-07,2012-10-01,2012-10-16,2012-10-10,2012-10-07,2012-10-07,2012-10-04,2012-09-28,0.34692,0.35855,0.37336,0.33226,0.40056
missouriozarks,DB,0001,falling,gcc_75,2015-10-17,2015-10-14,2015-10-02,2015-10-20,2015-10-17,2015-10-08,2015-10-14,2015-10-11,2015-09-29,0.33957,0.34605,0.36217,0.3322,0.38708
missouriozarks,DB,0001,falling,gcc_75,2014-10-20,2014-10-17,2014-10-08,2014-10-23,2014-10-20,2014-10-14,2014-10-17,2014-10-14,2014-10-05,0.34175,0.34867,0.36615,0.33197,0.39003
missouriozarks,DB,0001,falling,gcc_75,2013-10-26,2013-10-23,2013-10-14,2013-10-29,2013-10-26,2013-10-20,2013-10-23,2013-10-20,2013-10-11,0.342,0.35063,0.37045,0.33176,0.39514
missouriozarks,DB,0001,falling,gcc_75,2012-10-10,2012-10-07,2012-10-01,2012-10-16,2012-10-10,2012-10-07,2012-10-07,2012-10-04,2012-09-28,0.34567,0.35724,0.37177,0.33151,0.39635
missouriozarks,DB,0001,falling,gcc_50,2015-10-17,2015-10-14,2015-10-02,2015-10-20,2015-10-17,2015-10-11,2015-10-14,2015-10-11,2015-09-29,0.33847,0.34581,0.3603,0.33095,0.38214
missouriozarks,DB,0001,falling,gcc_50,2014-10-20,2014-10-17,2014-10-08,2014-10-23,2014-10-20,2014-10-14,2014-10-17,2014-10-14,2014-10-05,0.3409,0.34881,0.36464,0.3308,0.38584
missouriozarks,DB,0001,falling,gcc_50,2013-10-26,2013-10-23,2013-10-14,2013-10-29,2013-10-26,2013-10-23,2013-10-23,2013-10-20,2013-10-11,0.34237,0.35155,0.36859,0.33078,0.38983
missouriozarks,DB,0001,falling,gcc_50,2012-10-10,2012-10-07,2012-10-01,2012-10-13,2012-10-13,2012-10-07,2012-10-07,2012-10-04,2012-09-28,0.34458,0.35715,0.36967,0.3303,0.39057
missouriozarks,DB,0001,falling,gcc_mean,2015-10-17,2015-10-14,2015-10-05,2015-10-20,2015-10-17,2015-10-11,2015-10-14,2015-10-11,2015-10-02,0.33852,0.34585,0.35872,0.33107,0.38043
missouriozarks,DB,0001,falling,gcc_mean,2014-10-20,2014-10-17,2014-10-08,2014-10-23,2014-10-20,2014-10-17,2014-10-17,2014-10-14,2014-10-05,0.3403,0.34768,0.36229,0.33034,0.3821
missouriozarks,DB,0001,falling,gcc_mean,2013-10-26,2013-10-23,2013-10-14,2013-10-29,2013-10-26,2013-10-23,2013-10-23,2013-10-20,2013-10-11,0.33868,0.34908,0.36855,0.33054,0.38709
missouriozarks,DB,0001,falling,gcc_mean,2012-10-10,2012-10-07,2012-10-01,2012-10-13,2012-10-13,2012-10-07,2012-10-07,2012-10-04,2012-09-28,0.34415,0.35656,0.36923,0.33006,0.38928
