#
# Transition date estimate for missouriozarks
#
# Site: missouriozarks
# Veg Type: EN
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:43
# Spline RMSE gcc_mean: 0.03743
# Spline RMSE gcc_50: 0.04439
# Spline RMSE gcc_75: 0.03539
# Spline RMSE gcc_90: 0.03477
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
missouriozarks,EN,0001,rising,gcc_90,2013-04-17,2013-04-20,2013-05-05,2013-04-11,2013-04-17,2013-04-26,2013-04-20,2013-04-23,2013-05-08,0.3674,0.37111,0.38696,0.35996,0.40316
missouriozarks,EN,0001,rising,gcc_90,2014-04-05,2014-04-14,2014-05-02,2014-03-30,2014-04-11,2014-04-23,2014-04-08,2014-04-17,2014-05-05,0.3453,0.35396,0.37812,0.33769,0.40219
missouriozarks,EN,0001,rising,gcc_90,2015-03-24,2015-04-02,2015-04-23,2015-03-18,2015-03-30,2015-04-17,2015-03-27,2015-04-05,2015-04-26,0.35417,0.3633,0.38392,0.34703,0.41195
missouriozarks,EN,0001,rising,gcc_75,2013-04-17,2013-04-23,2013-05-05,2013-04-11,2013-04-17,2013-04-26,2013-04-20,2013-04-26,2013-05-08,0.36347,0.37045,0.38217,0.35682,0.39887
missouriozarks,EN,0001,rising,gcc_75,2014-04-02,2014-04-14,2014-04-29,2014-03-27,2014-04-08,2014-04-23,2014-04-08,2014-04-17,2014-05-02,0.33972,0.35069,0.37073,0.33312,0.39788
missouriozarks,EN,0001,rising,gcc_75,2015-03-24,2015-04-05,2015-04-23,2015-03-18,2015-03-30,2015-04-17,2015-03-27,2015-04-08,2015-04-26,0.35084,0.36201,0.37933,0.34394,0.40632
missouriozarks,EN,0001,rising,gcc_50,2013-04-17,2013-04-20,2013-05-05,2013-04-11,2013-04-17,2013-04-26,2013-04-20,2013-04-23,2013-05-08,0.35711,0.36051,0.37537,0.3511,0.38871
missouriozarks,EN,0001,rising,gcc_50,2014-03-30,2014-04-11,2014-04-29,2014-03-21,2014-04-05,2014-04-20,2014-04-02,2014-04-14,2014-05-02,0.33427,0.34342,0.36441,0.32685,0.38733
missouriozarks,EN,0001,rising,gcc_50,2015-03-24,2015-04-02,2015-04-23,2015-03-18,2015-03-27,2015-04-14,2015-03-27,2015-04-05,2015-04-26,0.34541,0.35367,0.37187,0.33898,0.39365
missouriozarks,EN,0001,rising,gcc_mean,2013-04-17,2013-04-23,2013-05-05,2013-04-11,2013-04-17,2013-04-26,2013-04-20,2013-04-26,2013-05-08,0.3532,0.35979,0.37086,0.34784,0.38464
missouriozarks,EN,0001,rising,gcc_mean,2014-04-02,2014-04-14,2014-04-29,2014-03-24,2014-04-08,2014-04-23,2014-04-05,2014-04-17,2014-05-02,0.33347,0.34303,0.36064,0.32652,0.38491
missouriozarks,EN,0001,rising,gcc_mean,2015-03-24,2015-04-02,2015-04-23,2015-03-18,2015-03-27,2015-04-14,2015-03-27,2015-04-05,2015-04-26,0.34251,0.35044,0.36917,0.33514,0.39126
missouriozarks,EN,0001,falling,gcc_90,2015-10-11,2015-10-02,2015-09-14,2015-10-20,2015-10-05,2015-09-23,2015-10-08,2015-09-29,2015-09-11,0.36839,0.37533,0.38994,0.36263,0.41195
missouriozarks,EN,0001,falling,gcc_90,2014-12-10,2014-11-19,2014-10-20,2014-12-16,2014-11-28,2014-11-01,2014-12-04,2014-11-13,2014-10-17,0.35287,0.36127,0.37691,0.34703,0.40219
missouriozarks,EN,0001,falling,gcc_90,2013-12-01,2013-11-16,2013-10-17,2013-12-10,2013-11-22,2013-10-23,2013-11-28,2013-11-10,2013-10-14,0.34529,0.35408,0.37361,0.33769,0.40316
missouriozarks,EN,0001,falling,gcc_90,2012-12-12,2012-11-27,2012-11-06,2012-12-21,2012-12-06,2012-11-15,2012-12-09,2012-11-24,2012-11-03,0.34463,0.3537,0.36871,0.3373,0.39643
missouriozarks,EN,0001,falling,gcc_75,2015-10-11,2015-09-29,2015-09-14,2015-10-20,2015-10-05,2015-09-23,2015-10-08,2015-09-26,2015-09-11,0.36515,0.37328,0.38536,0.3599,0.40632
missouriozarks,EN,0001,falling,gcc_75,2014-12-10,2014-11-19,2014-10-20,2014-12-19,2014-11-28,2014-11-01,2014-12-04,2014-11-13,2014-10-17,0.3501,0.35805,0.37291,0.34394,0.39788
missouriozarks,EN,0001,falling,gcc_75,2013-12-01,2013-11-16,2013-10-17,2013-12-10,2013-11-22,2013-10-26,2013-11-28,2013-11-13,2013-10-14,0.34143,0.35152,0.37042,0.33312,0.39887
missouriozarks,EN,0001,falling,gcc_75,2012-12-15,2012-11-30,2012-11-06,2012-12-24,2012-12-06,2012-11-15,2012-12-12,2012-11-27,2012-11-03,0.33987,0.34955,0.3654,0.33305,0.3915
missouriozarks,EN,0001,falling,gcc_50,2015-10-14,2015-10-02,2015-09-17,2015-10-29,2015-10-11,2015-09-26,2015-10-08,2015-09-29,2015-09-14,0.35875,0.36533,0.37582,0.35377,0.39365
missouriozarks,EN,0001,falling,gcc_50,2014-12-13,2014-11-22,2014-10-20,2014-12-19,2014-12-04,2014-11-01,2014-12-04,2014-11-16,2014-10-17,0.34388,0.35201,0.36483,0.33898,0.38733
missouriozarks,EN,0001,falling,gcc_50,2013-12-01,2013-11-16,2013-10-20,2013-12-10,2013-11-25,2013-11-01,2013-11-28,2013-11-13,2013-10-17,0.33462,0.34429,0.36157,0.32685,0.38871
missouriozarks,EN,0001,falling,gcc_50,2012-12-15,2012-12-03,2012-11-06,2012-12-24,2012-12-09,2012-11-18,2012-12-12,2012-11-27,2012-11-03,0.33441,0.34145,0.35786,0.32778,0.38222
missouriozarks,EN,0001,falling,gcc_mean,2015-10-14,2015-10-02,2015-09-17,2015-10-23,2015-10-08,2015-09-26,2015-10-08,2015-09-29,2015-09-14,0.35642,0.36334,0.37438,0.35218,0.39126
missouriozarks,EN,0001,falling,gcc_mean,2014-12-10,2014-11-22,2014-10-20,2014-12-19,2014-12-01,2014-11-01,2014-12-04,2014-11-16,2014-10-14,0.34105,0.34781,0.36109,0.33514,0.38491
missouriozarks,EN,0001,falling,gcc_mean,2013-12-01,2013-11-16,2013-10-17,2013-12-07,2013-11-22,2013-10-26,2013-11-25,2013-11-10,2013-10-14,0.3328,0.34144,0.35996,0.32652,0.38464
missouriozarks,EN,0001,falling,gcc_mean,2012-12-15,2012-11-30,2012-11-06,2012-12-21,2012-12-06,2012-11-18,2012-12-09,2012-11-27,2012-11-03,0.33174,0.34062,0.35553,0.32636,0.37895
