#
# Transition date estimate for monture
#
# Site: monture
# Veg Type: DB
# ROI ID Number: 0002
# Aggregation period: 1
# Year min: 2011
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:06:10
# Spline RMSE gcc_mean: 0.0622
# Spline RMSE gcc_50: 0.06084
# Spline RMSE gcc_75: 0.05934
# Spline RMSE gcc_90: 0.05861
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
monture,DB,0002,rising,gcc_90,2011-05-05,2011-05-11,2011-05-20,2011-04-29,2011-05-08,2011-05-14,2011-05-08,2011-05-14,2011-05-23,0.33842,0.36176,0.40683,0.32269,0.45364
monture,DB,0002,rising,gcc_90,2012-04-16,2012-04-22,2012-05-04,2012-04-13,2012-04-19,2012-04-25,2012-04-19,2012-04-25,2012-05-07,0.33693,0.34976,0.3936,0.32654,0.418
monture,DB,0002,rising,gcc_90,2013-05-02,2013-05-08,2013-05-17,2013-04-29,2013-05-05,2013-05-11,2013-05-05,2013-05-11,2013-05-20,0.34093,0.3655,0.41765,0.32814,0.4394
monture,DB,0002,rising,gcc_90,2014-04-29,2014-05-05,2014-05-14,2014-04-26,2014-05-02,2014-05-08,2014-05-02,2014-05-08,2014-05-17,0.342,0.3559,0.38823,0.33289,0.42086
monture,DB,0002,rising,gcc_90,2015-04-20,2015-04-26,2015-05-05,2015-04-17,2015-04-23,2015-04-26,2015-04-23,2015-04-29,2015-05-08,0.35033,0.36942,0.40702,0.33757,0.43068
monture,DB,0002,rising,gcc_75,2011-05-05,2011-05-11,2011-05-20,2011-04-29,2011-05-08,2011-05-14,2011-05-08,2011-05-14,2011-05-23,0.33761,0.36067,0.40535,0.32138,0.45146
monture,DB,0002,rising,gcc_75,2012-04-16,2012-04-22,2012-05-01,2012-04-13,2012-04-19,2012-04-25,2012-04-19,2012-04-25,2012-05-04,0.33622,0.34867,0.38012,0.32497,0.41495
monture,DB,0002,rising,gcc_75,2013-05-02,2013-05-08,2013-05-17,2013-04-29,2013-05-05,2013-05-11,2013-05-05,2013-05-11,2013-05-20,0.34012,0.36351,0.41356,0.3268,0.43591
monture,DB,0002,rising,gcc_75,2014-04-29,2014-05-05,2014-05-14,2014-04-26,2014-05-02,2014-05-08,2014-05-02,2014-05-08,2014-05-17,0.34118,0.35492,0.38682,0.33183,0.41852
monture,DB,0002,rising,gcc_75,2015-04-20,2015-04-26,2015-05-05,2015-04-17,2015-04-23,2015-04-29,2015-04-23,2015-04-29,2015-05-08,0.3483,0.36659,0.40375,0.33664,0.429
