#
# Transition date estimate for monture
#
# Site: monture
# Veg Type: GR
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2001
# Year max: 2010
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:44
# Spline RMSE gcc_mean: 0.05155
# Spline RMSE gcc_50: 0.05395
# Spline RMSE gcc_75: 0.05266
# Spline RMSE gcc_90: 0.0543
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
monture,GR,0001,rising,gcc_90,2002-05-11,2002-05-17,2002-06-01,2002-05-05,2002-05-14,2002-05-29,2002-05-14,2002-05-20,2002-06-19,0.34832,0.36092,0.39784,0.33651,0.42524
monture,GR,0001,rising,gcc_90,2003-04-14,2003-04-20,2003-05-02,2003-04-08,2003-04-17,2003-04-26,2003-04-17,2003-04-23,2003-05-05,0.34693,0.35868,0.3838,0.33452,0.42167
monture,GR,0001,rising,gcc_90,2004-04-19,2004-04-28,2004-05-13,2004-04-13,2004-04-25,2004-05-07,2004-04-22,2004-05-01,2004-05-16,0.34816,0.36085,0.39267,0.33629,0.43367
monture,GR,0001,rising,gcc_90,2005-04-14,2005-04-26,2005-05-08,2005-04-11,2005-04-20,2005-05-02,2005-04-17,2005-04-29,2005-05-11,0.34564,0.36433,0.39581,0.33511,0.43313
monture,GR,0001,rising,gcc_90,2006-05-02,2006-05-11,2006-05-23,2006-04-29,2006-05-05,2006-05-17,2006-05-05,2006-05-14,2006-05-26,0.35457,0.37469,0.40531,0.34408,0.44115
monture,GR,0001,rising,gcc_90,2007-04-23,2007-04-29,2007-05-08,2007-04-17,2007-04-23,2007-05-02,2007-04-26,2007-05-02,2007-05-11,0.35251,0.36674,0.39015,0.34126,0.41342
monture,GR,0001,rising,gcc_90,2008-05-10,2008-05-22,2008-06-06,2008-05-07,2008-05-16,2008-05-28,2008-05-13,2008-05-25,2008-06-09,0.35122,0.36744,0.39455,0.34169,0.42804
monture,GR,0001,rising,gcc_90,2009-04-23,2009-04-29,2009-05-11,2009-04-17,2009-04-26,2009-05-05,2009-04-26,2009-05-02,2009-05-14,0.35754,0.3684,0.39716,0.34514,0.42935
monture,GR,0001,rising,gcc_90,2010-04-26,2010-05-05,2010-05-20,2010-04-20,2010-05-02,2010-05-14,2010-04-29,2010-05-08,2010-05-23,0.3547,0.36755,0.3969,0.34288,0.43567
monture,GR,0001,rising,gcc_75,2002-05-11,2002-05-17,2002-06-01,2002-05-05,2002-05-14,2002-05-29,2002-05-14,2002-05-20,2002-06-19,0.34732,0.35966,0.39609,0.33578,0.42316
