#
# Transition date estimate for morganmonroe
#
# Site: morganmonroe
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2008
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:06:11
# Spline RMSE gcc_mean: 0.05668
# Spline RMSE gcc_50: 0.05849
# Spline RMSE gcc_75: 0.05613
# Spline RMSE gcc_90: 0.05523
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
morganmonroe,DB,0001,rising,gcc_90,2009-04-20,2009-04-23,2009-05-02,2009-04-14,2009-04-17,2009-04-23,2009-04-23,2009-04-26,2009-05-05,0.33673,0.34373,0.3708,0.32359,0.38254
morganmonroe,DB,0001,rising,gcc_90,2010-03-30,2010-04-05,2010-04-14,2010-03-27,2010-04-02,2010-04-08,2010-04-02,2010-04-08,2010-04-17,0.33014,0.34064,0.36306,0.32307,0.3831
morganmonroe,DB,0001,rising,gcc_90,2011-04-05,2011-04-11,2011-04-23,2011-04-02,2011-04-08,2011-04-17,2011-04-08,2011-04-14,2011-04-26,0.33168,0.34049,0.36281,0.32497,0.37996
morganmonroe,DB,0001,rising,gcc_90,2012-03-11,2012-03-20,2012-04-01,2012-03-08,2012-03-14,2012-03-23,2012-03-14,2012-03-23,2012-04-04,0.33072,0.34217,0.36033,0.32505,0.37901
morganmonroe,DB,0001,rising,gcc_90,2013-04-08,2013-04-17,2013-04-26,2013-04-05,2013-04-11,2013-04-20,2013-04-11,2013-04-20,2013-04-29,0.33168,0.34345,0.3634,0.32573,0.37906
morganmonroe,DB,0001,rising,gcc_90,2014-04-20,2014-04-23,2014-05-05,2014-04-14,2014-04-20,2014-04-26,2014-04-23,2014-04-26,2014-05-08,0.33599,0.34213,0.36835,0.32712,0.38122
morganmonroe,DB,0001,rising,gcc_90,2015-04-11,2015-04-14,2015-04-26,2015-04-05,2015-04-11,2015-04-20,2015-04-14,2015-04-17,2015-04-29,0.33636,0.34088,0.3635,0.3274,0.37986
morganmonroe,DB,0001,rising,gcc_75,2009-04-20,2009-04-23,2009-05-02,2009-04-14,2009-04-17,2009-04-23,2009-04-23,2009-04-26,2009-05-05,0.33489,0.34174,0.36851,0.32254,0.37906
morganmonroe,DB,0001,rising,gcc_75,2010-03-30,2010-04-05,2010-04-14,2010-03-27,2010-04-02,2010-04-08,2010-04-02,2010-04-08,2010-04-17,0.32968,0.34,0.36104,0.32188,0.37813
morganmonroe,DB,0001,rising,gcc_75,2011-04-05,2011-04-11,2011-04-23,2011-04-02,2011-04-08,2011-04-17,2011-04-08,2011-04-14,2011-04-26,0.33007,0.33796,0.35889,0.32394,0.37636
morganmonroe,DB,0001,rising,gcc_75,2012-03-11,2012-03-20,2012-04-01,2012-03-08,2012-03-14,2012-03-23,2012-03-14,2012-03-23,2012-04-04,0.3292,0.34097,0.35926,0.32373,0.37595
morganmonroe,DB,0001,rising,gcc_75,2013-04-08,2013-04-14,2013-04-26,2013-04-05,2013-04-11,2013-04-20,2013-04-11,2013-04-17,2013-04-29,0.33051,0.33734,0.36139,0.32434,0.37604
morganmonroe,DB,0001,rising,gcc_75,2014-04-20,2014-04-23,2014-05-02,2014-04-14,2014-04-20,2014-04-26,2014-04-23,2014-04-26,2014-05-05,0.33528,0.34107,0.3584,0.32629,0.37747
morganmonroe,DB,0001,rising,gcc_75,2015-04-08,2015-04-14,2015-04-26,2015-04-05,2015-04-11,2015-04-20,2015-04-11,2015-04-17,2015-04-29,0.33135,0.33965,0.3617,0.32617,0.3759
morganmonroe,DB,0001,rising,gcc_50,2009-04-20,2009-04-23,2009-04-29,2009-04-14,2009-04-17,2009-04-23,2009-04-23,2009-04-26,2009-05-02,0.33234,0.33903,0.35683,0.32058,0.37429
morganmonroe,DB,0001,rising,gcc_50,2010-03-30,2010-04-05,2010-04-14,2010-03-27,2010-03-30,2010-04-05,2010-04-02,2010-04-08,2010-04-17,0.3275,0.33771,0.35837,0.32027,0.37247
morganmonroe,DB,0001,rising,gcc_50,2011-04-05,2011-04-11,2011-04-23,2011-03-30,2011-04-08,2011-04-17,2011-04-08,2011-04-14,2011-04-26,0.32876,0.33619,0.3561,0.32256,0.37046
morganmonroe,DB,0001,rising,gcc_50,2012-03-11,2012-03-17,2012-03-29,2012-03-08,2012-03-14,2012-03-23,2012-03-14,2012-03-20,2012-04-01,0.32698,0.33429,0.35232,0.32171,0.37064
morganmonroe,DB,0001,rising,gcc_50,2013-04-08,2013-04-14,2013-04-26,2013-04-02,2013-04-11,2013-04-17,2013-04-11,2013-04-17,2013-04-29,0.3288,0.33568,0.35871,0.32257,0.37146
morganmonroe,DB,0001,rising,gcc_50,2014-04-20,2014-04-23,2014-05-02,2014-04-14,2014-04-20,2014-04-26,2014-04-23,2014-04-26,2014-05-05,0.33385,0.33943,0.35577,0.32501,0.37202
morganmonroe,DB,0001,rising,gcc_50,2015-04-08,2015-04-14,2015-04-26,2015-04-05,2015-04-11,2015-04-17,2015-04-11,2015-04-17,2015-04-29,0.32979,0.33817,0.35911,0.32428,0.37042
morganmonroe,DB,0001,rising,gcc_mean,2009-04-20,2009-04-23,2009-04-29,2009-04-14,2009-04-17,2009-04-23,2009-04-23,2009-04-26,2009-05-02,0.33198,0.33855,0.35603,0.31999,0.37347
morganmonroe,DB,0001,rising,gcc_mean,2010-03-30,2010-04-05,2010-04-14,2010-03-27,2010-04-02,2010-04-08,2010-04-02,2010-04-08,2010-04-17,0.32655,0.33687,0.35779,0.31934,0.3734
morganmonroe,DB,0001,rising,gcc_mean,2011-04-05,2011-04-11,2011-04-23,2011-04-02,2011-04-08,2011-04-14,2011-04-08,2011-04-14,2011-04-26,0.32788,0.33582,0.35605,0.32194,0.37016
morganmonroe,DB,0001,rising,gcc_mean,2012-03-11,2012-03-17,2012-03-29,2012-03-05,2012-03-14,2012-03-23,2012-03-14,2012-03-20,2012-04-01,0.32641,0.33364,0.35154,0.321,0.37001
morganmonroe,DB,0001,rising,gcc_mean,2013-04-08,2013-04-14,2013-04-26,2013-04-02,2013-04-11,2013-04-17,2013-04-11,2013-04-17,2013-04-29,0.32831,0.33524,0.35826,0.32182,0.37081
morganmonroe,DB,0001,rising,gcc_mean,2014-04-20,2014-04-23,2014-05-02,2014-04-14,2014-04-20,2014-04-26,2014-04-23,2014-04-26,2014-05-05,0.33332,0.33906,0.35556,0.3243,0.37065
morganmonroe,DB,0001,rising,gcc_mean,2015-04-08,2015-04-14,2015-04-26,2015-04-05,2015-04-11,2015-04-17,2015-04-11,2015-04-17,2015-04-29,0.32926,0.33741,0.35839,0.32377,0.36993
morganmonroe,DB,0001,falling,gcc_90,2015-10-29,2015-10-23,2015-10-11,2015-11-04,2015-10-26,2015-10-17,2015-10-26,2015-10-20,2015-10-08,0.33344,0.34019,0.35866,0.32573,0.37986
morganmonroe,DB,0001,falling,gcc_90,2014-10-29,2014-10-23,2014-10-11,2014-11-01,2014-10-26,2014-10-17,2014-10-26,2014-10-20,2014-10-08,0.3347,0.34275,0.3611,0.3274,0.38122
morganmonroe,DB,0001,falling,gcc_90,2013-11-10,2013-11-01,2013-10-20,2013-11-13,2013-11-07,2013-10-26,2013-11-07,2013-10-29,2013-10-17,0.33234,0.34271,0.35757,0.32712,0.37906
morganmonroe,DB,0001,falling,gcc_90,2012-10-22,2012-10-16,2012-10-04,2012-10-25,2012-10-19,2012-10-13,2012-10-19,2012-10-13,2012-10-01,0.3329,0.34084,0.36013,0.32573,0.37901
morganmonroe,DB,0001,falling,gcc_90,2011-11-04,2011-10-26,2011-10-11,2011-11-10,2011-11-01,2011-10-20,2011-11-01,2011-10-23,2011-10-08,0.33223,0.34156,0.35795,0.32505,0.37996
morganmonroe,DB,0001,falling,gcc_90,2010-10-26,2010-10-17,2010-10-02,2010-11-01,2010-10-23,2010-10-11,2010-10-23,2010-10-14,2010-09-29,0.33174,0.34122,0.35924,0.32497,0.3831
morganmonroe,DB,0001,falling,gcc_90,2009-10-29,2009-10-23,2009-10-08,2009-11-04,2009-10-26,2009-10-17,2009-10-26,2009-10-20,2009-10-05,0.33059,0.33857,0.36068,0.32307,0.38254
morganmonroe,DB,0001,falling,gcc_90,2008-11-06,2008-10-31,2008-10-22,2008-11-12,2008-11-03,2008-10-28,2008-11-03,2008-10-28,2008-10-19,0.32826,0.33625,0.34829,0.32277,0.36501
