#
# Transition date estimate for nationalcapital
#
# Site: nationalcapital
# Veg Type: DB
# ROI ID Number: 0002
# Aggregation period: 3
# Year min: 2009
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:45
# Spline RMSE gcc_mean: 0.06698
# Spline RMSE gcc_50: 0.08537
# Spline RMSE gcc_75: 0.08225
# Spline RMSE gcc_90: 0.07945
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
nationalcapital,DB,0002,rising,gcc_90,2010-03-24,2010-04-02,2010-04-17,2010-03-18,2010-03-27,2010-04-05,2010-03-30,2010-04-05,2010-04-20,0.33807,0.35075,0.37866,0.33071,0.4031
nationalcapital,DB,0002,rising,gcc_90,2011-03-30,2011-04-05,2011-04-17,2011-03-24,2011-04-02,2011-04-11,2011-04-02,2011-04-08,2011-04-20,0.33717,0.34938,0.38005,0.32681,0.41279
nationalcapital,DB,0002,rising,gcc_90,2012-03-14,2012-03-23,2012-04-07,2012-03-08,2012-03-17,2012-03-29,2012-03-17,2012-03-26,2012-04-10,0.34016,0.35421,0.38383,0.32758,0.42064
nationalcapital,DB,0002,rising,gcc_90,2013-03-30,2013-04-08,2013-04-20,2013-03-27,2013-04-02,2013-04-14,2013-04-02,2013-04-11,2013-04-23,0.33578,0.35618,0.38719,0.32606,0.42266
nationalcapital,DB,0002,rising,gcc_90,2014-04-05,2014-04-14,2014-04-26,2014-03-30,2014-04-11,2014-04-11,2014-04-08,2014-04-29,2014-04-29,0.34162,0.36,0.39471,0.33021,0.43565
nationalcapital,DB,0002,rising,gcc_90,2015-04-02,2015-04-11,2015-04-23,2015-03-30,2015-04-05,2015-04-17,2015-04-05,2015-04-14,2015-04-26,0.33723,0.35604,0.38774,0.3259,0.42359
nationalcapital,DB,0002,rising,gcc_75,2010-03-24,2010-04-02,2010-04-14,2010-03-18,2010-03-27,2010-04-05,2010-03-27,2010-04-05,2010-04-20,0.33671,0.34866,0.36983,0.32913,0.39702
nationalcapital,DB,0002,rising,gcc_75,2011-03-30,2011-04-05,2011-04-17,2011-03-21,2011-04-02,2011-04-08,2011-04-02,2011-04-08,2011-04-20,0.33503,0.34692,0.37679,0.32398,0.40749
nationalcapital,DB,0002,rising,gcc_75,2012-03-14,2012-03-23,2012-04-07,2012-03-08,2012-03-17,2012-03-29,2012-03-17,2012-03-26,2012-04-10,0.33845,0.35243,0.38065,0.32588,0.41288
nationalcapital,DB,0002,rising,gcc_75,2013-03-30,2013-04-08,2013-04-20,2013-03-27,2013-04-02,2013-04-11,2013-04-02,2013-04-11,2013-04-23,0.33446,0.35411,0.38349,0.32462,0.41547
