#
# Transition date estimate for ncssm
#
# Site: ncssm
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2013
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:45
# Spline RMSE gcc_mean: 0.03103
# Spline RMSE gcc_50: 0.03682
# Spline RMSE gcc_75: 0.04822
# Spline RMSE gcc_90: 0.0517
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
ncssm,DB,0001,rising,gcc_90,2014-04-17,2014-04-20,2014-04-23,2014-04-11,2014-04-14,2014-04-17,2014-04-20,2014-04-23,2014-04-26,0.36016,0.36591,0.37045,0.35539,0.3752
ncssm,DB,0001,rising,gcc_90,2015-04-05,2015-04-08,2015-04-17,2015-03-27,2015-04-02,2015-04-08,2015-04-08,2015-04-11,2015-04-20,0.35235,0.35612,0.36824,0.3471,0.3758
ncssm,DB,0001,rising,gcc_75,2014-04-17,2014-04-17,2014-04-23,2014-04-11,2014-04-11,2014-04-17,2014-04-20,2014-04-20,2014-04-26,0.35567,0.35567,0.36414,0.35076,0.36785
ncssm,DB,0001,rising,gcc_50,2014-04-17,2014-04-20,2014-04-23,2014-04-11,2014-04-14,2014-04-17,2014-04-20,2014-04-23,2014-04-26,0.34782,0.35225,0.35573,0.34494,0.35814
ncssm,DB,0001,rising,gcc_mean,2014-04-17,2014-04-20,2014-04-23,2014-04-11,2014-04-14,2014-04-17,2014-04-20,2014-04-23,2014-04-26,0.34842,0.35326,0.35721,0.34539,0.35994
ncssm,DB,0001,falling,gcc_90,2014-11-04,2014-11-01,2014-10-23,2014-11-07,2014-11-07,2014-10-26,2014-11-01,2014-10-29,2014-10-20,0.35104,0.35583,0.366,0.3471,0.3752
ncssm,DB,0001,falling,gcc_90,2013-11-01,2013-10-29,2013-10-20,2013-11-04,2013-11-04,2013-10-29,2013-10-29,2013-10-26,2013-09-26,0.3486,0.35273,0.35896,0.34548,0.36798
ncssm,DB,0001,falling,gcc_75,2014-11-01,2014-10-29,2014-10-23,2014-11-07,2014-11-04,2014-10-26,2014-10-29,2014-10-26,2014-10-20,0.35143,0.3552,0.36177,0.34602,0.36785
ncssm,DB,0001,falling,gcc_75,2013-10-29,2013-10-29,2013-10-17,2013-11-04,2013-11-04,2013-10-29,2013-10-26,2013-10-23,2013-09-26,0.34875,0.34875,0.35539,0.34289,0.36366
ncssm,DB,0001,falling,gcc_50,2014-11-01,2014-11-01,2014-10-26,2014-11-07,2014-11-04,2014-10-29,2014-10-29,2014-10-29,2014-10-23,0.34633,0.34633,0.35341,0.34159,0.35814
ncssm,DB,0001,falling,gcc_50,2013-11-01,2013-10-29,2013-10-05,2013-11-04,2013-11-04,2013-10-08,2013-10-29,2013-10-20,2013-09-29,0.34103,0.34543,0.35034,0.33906,0.35782
ncssm,DB,0001,falling,gcc_mean,2014-11-01,2014-10-29,2014-10-23,2014-11-04,2014-11-04,2014-10-26,2014-10-29,2014-10-26,2014-10-20,0.34543,0.34874,0.35331,0.34225,0.35994
ncssm,DB,0001,falling,gcc_mean,2013-11-01,2013-10-29,2013-10-02,2013-11-04,2013-11-04,2013-10-05,2013-10-29,2013-10-26,2013-09-23,0.34201,0.3466,0.34974,0.3397,0.35732
