#
# Transition date estimate for niwot2
#
# Site: niwot2
# Veg Type: EN
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2010
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:45
# Spline RMSE gcc_mean: 0.11269
# Spline RMSE gcc_50: 0.12547
# Spline RMSE gcc_75: 0.10657
# Spline RMSE gcc_90: 0.10252
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
niwot2,EN,0001,rising,gcc_90,2010-03-21,2010-04-11,2010-05-11,2010-03-06,2010-03-27,2010-04-26,2010-04-02,2010-04-20,2010-05-14,0.44809,0.45247,0.46051,0.44525,0.47226
niwot2,EN,0001,rising,gcc_90,2011-03-27,2011-04-11,2011-05-08,2011-03-15,2011-03-30,2011-04-23,2011-04-05,2011-04-23,2011-05-14,0.44794,0.45163,0.45796,0.4456,0.46783
niwot2,EN,0001,rising,gcc_90,2012-03-02,2012-03-20,2012-04-16,2012-02-19,2012-03-05,2012-04-01,2012-03-14,2012-03-29,2012-04-25,0.4461,0.44958,0.45587,0.44354,0.46688
niwot2,EN,0001,rising,gcc_90,2013-03-24,2013-04-08,2013-05-08,2013-03-09,2013-03-27,2013-04-23,2013-04-05,2013-04-23,2013-05-17,0.4441,0.44732,0.45364,0.44178,0.46369
niwot2,EN,0001,rising,gcc_90,2014-03-24,2014-04-08,2014-05-08,2014-03-15,2014-03-30,2014-04-23,2014-04-02,2014-04-17,2014-05-11,0.4361,0.44037,0.44877,0.43305,0.46104
niwot2,EN,0001,rising,gcc_90,2015-04-14,2015-05-05,2015-06-04,2015-03-30,2015-04-23,2015-05-20,2015-04-23,2015-05-11,2015-06-07,0.43868,0.44331,0.45184,0.43519,0.46492
niwot2,EN,0001,rising,gcc_75,2010-03-12,2010-04-05,2010-05-08,2010-02-25,2010-03-21,2010-04-26,2010-03-24,2010-04-14,2010-05-11,0.43963,0.44441,0.45312,0.43638,0.46646
niwot2,EN,0001,rising,gcc_75,2011-03-27,2011-04-08,2011-05-05,2011-03-15,2011-03-30,2011-04-23,2011-04-02,2011-04-17,2011-05-11,0.44074,0.44442,0.45196,0.43715,0.46452
niwot2,EN,0001,rising,gcc_75,2012-03-02,2012-03-20,2012-04-16,2012-02-16,2012-03-05,2012-04-01,2012-03-11,2012-03-26,2012-04-22,0.44147,0.44518,0.45175,0.43838,0.46326
niwot2,EN,0001,rising,gcc_75,2013-03-24,2013-04-08,2013-05-08,2013-03-09,2013-03-27,2013-04-23,2013-04-05,2013-04-20,2013-05-14,0.44045,0.4438,0.45022,0.4381,0.46013
niwot2,EN,0001,rising,gcc_75,2014-03-24,2014-04-08,2014-05-05,2014-03-12,2014-03-27,2014-04-23,2014-04-02,2014-04-20,2014-05-11,0.43383,0.43779,0.4452,0.43107,0.45744
niwot2,EN,0001,rising,gcc_75,2015-04-14,2015-05-05,2015-06-04,2015-04-02,2015-04-23,2015-05-23,2015-04-26,2015-05-14,2015-06-07,0.43465,0.43915,0.44749,0.43178,0.46039
niwot2,EN,0001,rising,gcc_50,2010-03-09,2010-04-02,2010-05-08,2010-02-22,2010-03-21,2010-04-26,2010-03-24,2010-04-14,2010-05-11,0.42977,0.43474,0.44488,0.42633,0.45983
niwot2,EN,0001,rising,gcc_50,2011-03-21,2011-04-05,2011-05-05,2011-03-09,2011-03-27,2011-04-23,2011-03-30,2011-04-14,2011-05-08,0.43347,0.43825,0.4471,0.43035,0.46086
niwot2,EN,0001,rising,gcc_50,2012-02-28,2012-03-14,2012-04-13,2012-02-13,2012-03-02,2012-03-29,2012-03-08,2012-03-26,2012-04-22,0.43535,0.43865,0.44615,0.43204,0.4582
niwot2,EN,0001,rising,gcc_50,2013-03-27,2013-04-11,2013-05-08,2013-03-12,2013-03-30,2013-04-23,2013-04-05,2013-04-23,2013-05-14,0.43385,0.43745,0.44382,0.43123,0.45438
niwot2,EN,0001,rising,gcc_50,2014-03-24,2014-04-05,2014-05-02,2014-03-09,2014-03-24,2014-04-20,2014-03-30,2014-04-17,2014-05-08,0.43012,0.43343,0.44034,0.42683,0.45168
niwot2,EN,0001,rising,gcc_50,2015-04-14,2015-05-05,2015-06-04,2015-03-30,2015-04-23,2015-05-23,2015-04-26,2015-05-14,2015-06-10,0.42907,0.43332,0.44123,0.42631,0.45354
niwot2,EN,0001,rising,gcc_mean,2010-03-21,2010-04-11,2010-05-11,2010-03-06,2010-03-30,2010-04-29,2010-03-30,2010-04-23,2010-05-17,0.42987,0.43488,0.44445,0.42622,0.46038
niwot2,EN,0001,rising,gcc_mean,2011-03-27,2011-04-11,2011-05-08,2011-03-15,2011-03-30,2011-04-26,2011-04-02,2011-04-20,2011-05-14,0.43218,0.43684,0.44487,0.42841,0.45909
