#
# Transition date estimate for northattleboroma
#
# Site: northattleboroma
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:45
# Spline RMSE gcc_mean: 0.06988
# Spline RMSE gcc_50: 0.079
# Spline RMSE gcc_75: 0.08363
# Spline RMSE gcc_90: 0.08868
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
northattleboroma,DB,0001,rising,gcc_90,2013-05-02,2013-05-05,2013-05-11,2013-04-26,2013-04-29,2013-05-05,2013-05-05,2013-05-08,2013-05-14,0.34624,0.36068,0.39571,0.32728,0.41992
northattleboroma,DB,0001,rising,gcc_90,2014-05-05,2014-05-08,2014-05-14,2014-04-29,2014-05-02,2014-05-08,2014-05-08,2014-05-11,2014-05-17,0.33683,0.35065,0.3835,0.31978,0.41105
northattleboroma,DB,0001,rising,gcc_90,2015-05-02,2015-05-05,2015-05-14,2015-04-26,2015-05-02,2015-05-05,2015-05-05,2015-05-08,2015-05-17,0.33269,0.34499,0.38937,0.32342,0.40524
northattleboroma,DB,0001,rising,gcc_75,2013-05-02,2013-05-05,2013-05-11,2013-04-26,2013-04-29,2013-05-05,2013-05-05,2013-05-08,2013-05-14,0.34149,0.35549,0.38974,0.32248,0.41173
northattleboroma,DB,0001,rising,gcc_75,2014-05-02,2014-05-08,2014-05-14,2014-04-26,2014-05-02,2014-05-08,2014-05-05,2014-05-11,2014-05-17,0.32522,0.34714,0.37941,0.31495,0.40657
northattleboroma,DB,0001,rising,gcc_75,2015-05-02,2015-05-05,2015-05-14,2015-04-26,2015-05-02,2015-05-05,2015-05-05,2015-05-08,2015-05-17,0.32872,0.34134,0.38562,0.31879,0.39865
northattleboroma,DB,0001,rising,gcc_50,2013-05-02,2013-05-05,2013-05-11,2013-04-26,2013-04-29,2013-05-05,2013-05-05,2013-05-08,2013-05-14,0.33576,0.34941,0.3823,0.31857,0.40242
northattleboroma,DB,0001,rising,gcc_50,2014-05-02,2014-05-08,2014-05-14,2014-04-26,2014-05-02,2014-05-08,2014-05-05,2014-05-11,2014-05-17,0.31841,0.33995,0.37235,0.30783,0.39767
northattleboroma,DB,0001,rising,gcc_50,2015-05-02,2015-05-05,2015-05-14,2015-04-26,2015-05-02,2015-05-05,2015-05-05,2015-05-08,2015-05-17,0.32493,0.33722,0.37924,0.31251,0.39047
northattleboroma,DB,0001,rising,gcc_mean,2013-04-29,2013-05-05,2013-05-11,2013-04-26,2013-04-29,2013-05-05,2013-05-02,2013-05-08,2013-05-14,0.32223,0.3475,0.37837,0.314,0.39626
northattleboroma,DB,0001,rising,gcc_mean,2014-05-02,2014-05-08,2014-05-14,2014-04-23,2014-05-02,2014-05-08,2014-05-05,2014-05-11,2014-05-17,0.31737,0.33853,0.36931,0.30576,0.39147
northattleboroma,DB,0001,rising,gcc_mean,2015-05-02,2015-05-05,2015-05-14,2015-04-26,2015-05-02,2015-05-05,2015-05-05,2015-05-08,2015-05-17,0.32312,0.33486,0.37511,0.31,0.38684
