#
# Transition date estimate for nwohiocrop
#
# Site: nwohiocrop
# Veg Type: AG
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2012
# Year max: 2013
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:46
# Spline RMSE gcc_mean: 0.13159
# Spline RMSE gcc_50: 0.12863
# Spline RMSE gcc_75: 0.13342
# Spline RMSE gcc_90: 0.13691
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
nwohiocrop,AG,0001,rising,gcc_90,2012-05-10,2012-05-19,2012-06-06,2012-05-01,2012-05-13,2012-05-13,2012-05-16,2012-06-12,2012-06-12,0.38943,0.40152,0.42251,0.38074,0.45622
nwohiocrop,AG,0001,rising,gcc_90,2013-03-30,2013-04-02,2013-04-17,2013-03-21,2013-03-27,2013-04-08,2013-04-02,2013-04-08,2013-04-20,0.4081,0.41353,0.44168,0.39521,0.46716
nwohiocrop,AG,0001,rising,gcc_75,2012-05-10,2012-05-19,2012-06-06,2012-05-01,2012-05-13,2012-05-13,2012-05-16,2012-06-12,2012-06-12,0.38672,0.39844,0.41883,0.37829,0.45186
nwohiocrop,AG,0001,rising,gcc_75,2013-03-27,2013-04-02,2013-04-17,2013-03-21,2013-03-27,2013-04-08,2013-04-02,2013-04-08,2013-04-20,0.39958,0.41084,0.4385,0.39223,0.46355
nwohiocrop,AG,0001,rising,gcc_50,2012-05-10,2012-05-19,2012-06-06,2012-05-01,2012-05-13,2012-05-13,2012-05-16,2012-06-12,2012-06-12,0.38421,0.39545,0.41509,0.37613,0.44731
nwohiocrop,AG,0001,rising,gcc_50,2013-03-27,2013-04-02,2013-04-17,2013-03-21,2013-03-27,2013-04-08,2013-03-30,2013-04-08,2013-04-20,0.39628,0.40754,0.43499,0.38771,0.45963
nwohiocrop,AG,0001,rising,gcc_mean,2012-05-10,2012-05-19,2012-06-06,2012-05-01,2012-05-13,2012-05-13,2012-05-16,2012-06-12,2012-06-12,0.38263,0.39314,0.41137,0.37504,0.44012
nwohiocrop,AG,0001,rising,gcc_mean,2013-03-27,2013-04-02,2013-04-17,2013-03-21,2013-03-27,2013-04-05,2013-03-30,2013-04-08,2013-04-20,0.39747,0.40869,0.435,0.38877,0.4582
nwohiocrop,AG,0001,falling,gcc_90,2012-09-07,2012-09-01,2012-08-17,2012-09-19,2012-09-07,2012-08-20,2012-09-04,2012-08-29,2012-08-08,0.40198,0.41119,0.43085,0.39521,0.45621
nwohiocrop,AG,0001,falling,gcc_75,2012-09-07,2012-09-01,2012-08-17,2012-09-22,2012-09-07,2012-08-20,2012-09-04,2012-08-29,2012-08-08,0.39939,0.40835,0.42743,0.39223,0.45186
nwohiocrop,AG,0001,falling,gcc_50,2012-09-07,2012-09-01,2012-08-20,2012-09-19,2012-09-07,2012-08-29,2012-09-04,2012-08-29,2012-08-14,0.39513,0.40423,0.42041,0.38771,0.44731
nwohiocrop,AG,0001,falling,gcc_mean,2012-09-07,2012-09-01,2012-08-17,2012-09-22,2012-09-10,2012-08-20,2012-09-04,2012-08-26,2012-08-08,0.39506,0.40279,0.41907,0.38877,0.4401
