#
# Transition date estimate for oakridge1
#
# Site: oakridge1
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2008
# Year max: 2009
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:46
# Spline RMSE gcc_mean: 0.00735
# Spline RMSE gcc_50: 0.0072
# Spline RMSE gcc_75: 0.00879
# Spline RMSE gcc_90: 0.00971
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
oakridge1,DB,0001,rising,gcc_90,2008-04-07,2008-04-13,2008-04-22,2008-04-04,2008-04-10,2008-04-16,2008-04-10,2008-04-16,2008-04-25,0.33754,0.34302,0.35631,0.33349,0.36566
oakridge1,DB,0001,rising,gcc_90,2009-04-08,2009-04-14,2009-04-26,2009-04-05,2009-04-11,2009-04-17,2009-04-11,2009-04-17,2009-04-29,0.33888,0.34415,0.36628,0.33496,0.37168
oakridge1,DB,0001,rising,gcc_75,2008-04-07,2008-04-13,2008-04-22,2008-04-04,2008-04-10,2008-04-16,2008-04-10,2008-04-16,2008-04-25,0.33658,0.34208,0.35514,0.33246,0.36437
oakridge1,DB,0001,rising,gcc_75,2009-04-08,2009-04-14,2009-04-23,2009-04-02,2009-04-11,2009-04-17,2009-04-11,2009-04-17,2009-04-26,0.33777,0.34284,0.35734,0.33385,0.3675
oakridge1,DB,0001,rising,gcc_50,2008-04-07,2008-04-13,2008-04-22,2008-04-01,2008-04-07,2008-04-16,2008-04-10,2008-04-16,2008-04-25,0.33539,0.3412,0.35383,0.33073,0.36256
oakridge1,DB,0001,rising,gcc_50,2009-04-08,2009-04-14,2009-04-23,2009-04-02,2009-04-11,2009-04-17,2009-04-11,2009-04-17,2009-04-26,0.33671,0.3416,0.35552,0.33224,0.36615
oakridge1,DB,0001,rising,gcc_mean,2008-04-07,2008-04-13,2008-04-22,2008-04-04,2008-04-10,2008-04-16,2008-04-10,2008-04-16,2008-04-25,0.33535,0.34103,0.35336,0.33117,0.36238
oakridge1,DB,0001,rising,gcc_mean,2009-04-08,2009-04-14,2009-04-23,2009-04-02,2009-04-11,2009-04-17,2009-04-11,2009-04-17,2009-04-26,0.33696,0.34183,0.35468,0.33252,0.36485
oakridge1,DB,0001,falling,gcc_90,2008-11-21,2008-10-10,2008-07-24,2009-01-08,2009-01-08,2009-01-08,2008-06-12,2008-06-12,2008-06-12,0.33843,0.34281,0.35094,0.33508,0.3657
oakridge1,DB,0001,falling,gcc_75,2008-11-27,2008-10-16,2008-08-02,2009-01-08,2009-01-08,2009-01-08,2008-06-12,2008-06-12,2008-06-12,0.33718,0.34164,0.34962,0.3339,0.36439
oakridge1,DB,0001,falling,gcc_50,2008-12-09,2008-10-28,2008-08-14,2009-01-08,2009-01-08,2009-01-08,2008-06-12,2008-06-12,2008-06-12,0.33535,0.33991,0.34806,0.33224,0.36259
oakridge1,DB,0001,falling,gcc_mean,2008-12-06,2008-10-25,2008-08-11,2009-01-08,2009-01-08,2009-01-08,2008-06-12,2008-06-12,2008-06-12,0.33577,0.3402,0.34812,0.3326,0.36241
