#
# Transition date estimate for oregonMP
#
# Site: oregonMP
# Veg Type: EN
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2011
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:06:13
# Spline RMSE gcc_mean: 0.04233
# Spline RMSE gcc_50: 0.04519
# Spline RMSE gcc_75: 0.04303
# Spline RMSE gcc_90: 0.04135
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
oregonMP,EN,0001,rising,gcc_90,2012-04-19,2012-04-25,2012-05-10,2012-04-16,2012-04-22,2012-05-01,2012-04-22,2012-04-28,2012-05-13,0.35272,0.35685,0.3642,0.35017,0.37565
oregonMP,EN,0001,rising,gcc_90,2013-03-18,2013-04-05,2013-05-02,2013-03-12,2013-03-27,2013-04-23,2013-03-24,2013-04-11,2013-05-05,0.34546,0.35057,0.35985,0.34189,0.37499
oregonMP,EN,0001,rising,gcc_90,2014-03-30,2014-04-14,2014-05-11,2014-03-21,2014-04-08,2014-05-02,2014-04-05,2014-04-20,2014-05-14,0.3461,0.35073,0.35964,0.34218,0.3752
oregonMP,EN,0001,rising,gcc_90,2015-03-24,2015-05-08,2015-06-01,2015-03-12,2015-04-20,2015-05-23,2015-04-20,2015-05-17,2015-06-04,0.3556,0.35834,0.36458,0.3534,0.37237
oregonMP,EN,0001,rising,gcc_75,2012-04-22,2012-04-25,2012-05-10,2012-04-16,2012-04-22,2012-05-01,2012-04-25,2012-04-28,2012-05-13,0.35349,0.3553,0.36246,0.3488,0.3738
oregonMP,EN,0001,rising,gcc_75,2013-03-18,2013-04-05,2013-05-02,2013-03-12,2013-03-27,2013-04-23,2013-03-24,2013-04-11,2013-05-05,0.34399,0.34871,0.35818,0.34054,0.3724
oregonMP,EN,0001,rising,gcc_75,2014-03-27,2014-04-14,2014-05-11,2014-03-18,2014-04-08,2014-04-29,2014-04-02,2014-04-20,2014-05-14,0.3445,0.34933,0.3579,0.341,0.37258
oregonMP,EN,0001,rising,gcc_75,2015-03-06,2015-03-24,2015-05-26,2015-02-22,2015-03-12,2015-05-14,2015-03-12,2015-04-20,2015-05-29,0.35069,0.35391,0.36018,0.34828,0.36967
oregonMP,EN,0001,rising,gcc_50,2012-04-22,2012-04-25,2012-05-10,2012-04-16,2012-04-19,2012-05-01,2012-04-25,2012-04-28,2012-05-13,0.35098,0.35265,0.35952,0.34665,0.36901
oregonMP,EN,0001,rising,gcc_50,2013-03-18,2013-04-05,2013-04-29,2013-03-12,2013-03-27,2013-04-20,2013-03-24,2013-04-08,2013-05-02,0.34143,0.34648,0.35437,0.33835,0.36769
oregonMP,EN,0001,rising,gcc_50,2014-03-27,2014-04-14,2014-05-11,2014-03-18,2014-04-05,2014-04-29,2014-04-02,2014-04-20,2014-05-14,0.34258,0.3468,0.3546,0.33928,0.36755
oregonMP,EN,0001,rising,gcc_50,2015-03-06,2015-04-14,2015-05-29,2015-02-22,2015-03-15,2015-05-14,2015-03-18,2015-05-02,2015-06-01,0.34887,0.35152,0.35711,0.34698,0.36482
oregonMP,EN,0001,rising,gcc_mean,2012-04-22,2012-04-25,2012-05-10,2012-04-16,2012-04-19,2012-05-01,2012-04-25,2012-04-28,2012-05-13,0.34931,0.35078,0.35641,0.34602,0.36428
oregonMP,EN,0001,rising,gcc_mean,2013-03-18,2013-03-30,2013-04-29,2013-03-12,2013-03-24,2013-04-20,2013-03-21,2013-04-05,2013-05-02,0.34099,0.3442,0.3514,0.33794,0.36249
oregonMP,EN,0001,rising,gcc_mean,2014-03-27,2014-04-14,2014-05-14,2014-03-18,2014-04-05,2014-04-29,2014-04-02,2014-04-20,2014-05-17,0.34158,0.34561,0.35218,0.33898,0.36352
oregonMP,EN,0001,rising,gcc_mean,2015-03-06,2015-04-29,2015-05-29,2015-02-19,2015-03-06,2015-05-14,2015-03-15,2015-05-11,2015-06-01,0.34822,0.35004,0.35427,0.34638,0.36023
