#
# Transition date estimate for oregonYP
#
# Site: oregonYP
# Veg Type: EN
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2011
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:47
# Spline RMSE gcc_mean: 0.04962
# Spline RMSE gcc_50: 0.04964
# Spline RMSE gcc_75: 0.05273
# Spline RMSE gcc_90: 0.0583
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
oregonYP,EN,0001,rising,gcc_90,2012-04-07,2012-04-13,2012-04-28,2012-03-29,2012-04-04,2012-04-16,2012-04-10,2012-04-16,2012-05-01,0.37457,0.37764,0.38325,0.37157,0.39124
oregonYP,EN,0001,rising,gcc_90,2013-03-09,2013-03-24,2013-04-20,2013-03-03,2013-03-15,2013-04-08,2013-03-15,2013-03-30,2013-04-26,0.37244,0.37748,0.3862,0.36909,0.40099
oregonYP,EN,0001,rising,gcc_90,2014-03-21,2014-04-02,2014-04-26,2014-03-12,2014-03-24,2014-04-14,2014-03-24,2014-04-05,2014-04-29,0.37217,0.37802,0.38824,0.36787,0.40344
oregonYP,EN,0001,rising,gcc_90,2015-03-24,2015-04-08,2015-05-02,2015-03-15,2015-03-24,2015-04-17,2015-04-05,2015-04-17,2015-05-08,0.38396,0.38722,0.39278,0.38178,0.40181
oregonYP,EN,0001,rising,gcc_75,2012-04-07,2012-04-13,2012-04-28,2012-04-01,2012-04-07,2012-04-16,2012-04-10,2012-04-16,2012-05-01,0.37236,0.37534,0.38084,0.3694,0.38923
oregonYP,EN,0001,rising,gcc_75,2013-03-12,2013-03-27,2013-04-23,2013-03-03,2013-03-18,2013-04-11,2013-03-18,2013-04-02,2013-04-26,0.37099,0.37566,0.38423,0.36736,0.39796
oregonYP,EN,0001,rising,gcc_75,2014-03-21,2014-04-02,2014-04-26,2014-03-15,2014-03-27,2014-04-14,2014-03-24,2014-04-05,2014-04-29,0.36998,0.37536,0.38487,0.36618,0.39923
oregonYP,EN,0001,rising,gcc_75,2015-03-15,2015-03-30,2015-04-26,2015-01-29,2015-03-15,2015-04-11,2015-03-18,2015-04-08,2015-05-02,0.37976,0.38281,0.38848,0.377,0.39861
oregonYP,EN,0001,rising,gcc_50,2012-04-04,2012-04-10,2012-04-25,2012-03-29,2012-04-04,2012-04-16,2012-04-07,2012-04-16,2012-04-28,0.36866,0.37159,0.37731,0.36633,0.38614
oregonYP,EN,0001,rising,gcc_50,2013-03-12,2013-03-27,2013-04-20,2013-03-03,2013-03-18,2013-04-08,2013-03-18,2013-04-02,2013-04-23,0.36875,0.37332,0.38103,0.36526,0.3948
oregonYP,EN,0001,rising,gcc_50,2014-03-21,2014-04-02,2014-04-26,2014-03-15,2014-03-27,2014-04-14,2014-03-27,2014-04-05,2014-04-29,0.36774,0.37292,0.38218,0.36426,0.3956
oregonYP,EN,0001,rising,gcc_50,2015-03-21,2015-04-05,2015-05-02,2015-03-15,2015-03-24,2015-04-17,2015-04-02,2015-04-14,2015-05-08,0.37819,0.38119,0.38689,0.37625,0.3954
oregonYP,EN,0001,rising,gcc_mean,2012-04-04,2012-04-10,2012-04-25,2012-03-29,2012-04-04,2012-04-13,2012-04-07,2012-04-13,2012-04-28,0.36854,0.37143,0.37704,0.36583,0.38562
oregonYP,EN,0001,rising,gcc_mean,2013-03-09,2013-03-24,2013-04-20,2013-03-03,2013-03-15,2013-04-08,2013-03-15,2013-03-30,2013-04-23,0.36769,0.37234,0.38079,0.36473,0.3942
oregonYP,EN,0001,rising,gcc_mean,2014-03-21,2014-03-30,2014-04-23,2014-03-12,2014-03-24,2014-04-14,2014-03-24,2014-04-05,2014-04-26,0.36768,0.37166,0.38093,0.36376,0.39477
oregonYP,EN,0001,rising,gcc_mean,2015-02-28,2015-03-18,2015-04-17,2015-01-29,2015-03-15,2015-04-02,2015-03-18,2015-03-27,2015-04-23,0.37432,0.37772,0.38363,0.37148,0.39401
oregonYP,EN,0001,falling,gcc_90,2015-11-22,2015-11-13,2015-10-17,2015-12-01,2015-11-19,2015-10-29,2015-11-19,2015-11-07,2015-10-11,0.37576,0.37989,0.38763,0.37177,0.40181
oregonYP,EN,0001,falling,gcc_90,2014-11-10,2014-10-26,2014-09-23,2014-11-25,2014-11-10,2014-10-11,2014-11-01,2014-10-14,2014-09-14,0.38449,0.3872,0.39339,0.38178,0.40344
oregonYP,EN,0001,falling,gcc_90,2013-12-04,2013-11-19,2013-10-26,2013-12-13,2013-11-28,2013-11-04,2013-11-28,2013-11-13,2013-10-23,0.37176,0.3767,0.38557,0.36787,0.40099
oregonYP,EN,0001,falling,gcc_90,2012-12-15,2012-12-06,2012-11-12,2012-12-24,2012-12-15,2012-11-27,2012-12-09,2012-11-30,2012-11-06,0.37194,0.37566,0.38152,0.36909,0.39124
oregonYP,EN,0001,falling,gcc_90,2011-12-07,2011-11-16,2011-10-14,2012-01-14,2012-01-14,2011-11-01,2011-11-10,2011-11-10,2011-10-08,0.36331,0.36861,0.37693,0.36022,0.391
oregonYP,EN,0001,falling,gcc_75,2015-11-22,2015-11-10,2015-10-11,2015-11-28,2015-11-19,2015-10-26,2015-11-16,2015-11-04,2015-10-08,0.37335,0.37815,0.38564,0.3703,0.39861
oregonYP,EN,0001,falling,gcc_75,2014-11-25,2014-11-13,2014-10-05,2014-11-28,2014-11-25,2014-10-23,2014-11-19,2014-11-01,2014-09-26,0.37992,0.38283,0.38873,0.377,0.39923
oregonYP,EN,0001,falling,gcc_75,2013-12-04,2013-11-19,2013-10-23,2013-12-13,2013-11-28,2013-11-04,2013-11-28,2013-11-13,2013-10-20,0.36978,0.37428,0.38333,0.36618,0.39796
oregonYP,EN,0001,falling,gcc_75,2012-12-15,2012-12-06,2012-11-09,2012-12-21,2012-12-12,2012-11-24,2012-12-09,2012-11-30,2012-11-03,0.36957,0.37301,0.37929,0.36736,0.38923
oregonYP,EN,0001,falling,gcc_75,2011-12-10,2011-11-22,2011-10-23,2012-01-14,2012-01-14,2011-11-10,2011-11-10,2011-11-10,2011-10-17,0.36074,0.36479,0.37188,0.3578,0.38431
oregonYP,EN,0001,falling,gcc_50,2015-11-19,2015-11-10,2015-10-11,2015-11-28,2015-11-16,2015-10-23,2015-11-16,2015-11-01,2015-10-05,0.37111,0.37451,0.38236,0.36745,0.3954
oregonYP,EN,0001,falling,gcc_50,2014-11-10,2014-10-26,2014-09-26,2014-11-25,2014-11-10,2014-10-11,2014-11-01,2014-10-17,2014-09-20,0.3787,0.38138,0.38688,0.37625,0.3956
oregonYP,EN,0001,falling,gcc_50,2013-12-04,2013-11-19,2013-10-23,2013-12-13,2013-11-28,2013-11-04,2013-11-28,2013-11-13,2013-10-20,0.36781,0.37205,0.38055,0.36426,0.3948
oregonYP,EN,0001,falling,gcc_50,2012-12-12,2012-12-03,2012-11-09,2012-12-21,2012-12-12,2012-11-21,2012-12-09,2012-11-27,2012-11-03,0.36812,0.37118,0.37671,0.36526,0.38614
oregonYP,EN,0001,falling,gcc_50,2011-12-07,2011-11-22,2011-10-26,2012-01-14,2012-01-14,2011-11-13,2011-11-10,2011-11-10,2011-10-17,0.35854,0.3618,0.36761,0.35622,0.37787
oregonYP,EN,0001,falling,gcc_mean,2015-11-22,2015-11-10,2015-10-14,2015-11-28,2015-11-19,2015-10-26,2015-11-16,2015-11-07,2015-10-11,0.37009,0.3748,0.38194,0.36711,0.39401
oregonYP,EN,0001,falling,gcc_mean,2014-12-04,2014-11-25,2014-10-20,2014-12-16,2014-11-28,2014-11-10,2014-11-25,2014-11-16,2014-10-14,0.37461,0.37743,0.38407,0.37148,0.39477
oregonYP,EN,0001,falling,gcc_mean,2013-12-04,2013-11-19,2013-10-26,2013-12-13,2013-11-28,2013-11-04,2013-12-01,2013-11-13,2013-10-23,0.36771,0.37206,0.37984,0.36376,0.3942
oregonYP,EN,0001,falling,gcc_mean,2012-12-15,2012-12-06,2012-11-09,2012-12-21,2012-12-12,2012-11-24,2012-12-09,2012-11-30,2012-11-06,0.3669,0.37017,0.37651,0.36473,0.38562
oregonYP,EN,0001,falling,gcc_mean,2011-12-04,2011-11-19,2011-10-20,2012-01-14,2012-01-14,2011-11-10,2011-11-10,2011-11-10,2011-10-14,0.35857,0.36219,0.36829,0.35622,0.37859
